chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	8	1	116	113	0.83	31207.91	92139	2024-05-07 16:20:16	174.31	False	True	True	True	3	be35b4	0.00009213	38.11	38.11	-22.82	28.98	2024-05-07 21:14:34.450575
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	9	2	119	107	0.91	33246.25	104574	2024-05-07 16:20:16	176.69	False	True	True	True	3	be35b4	0.0001045	56.75	56.75	-9.27	18.31	2024-05-07 21:16:57.461460
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	8	4	119	105	0.81	31618.49	94769	2024-05-07 16:20:16	179.15	False	True	True	True	3	be35b4	0.00009476	42.05	42.05	-13.88	2.85	2024-05-07 21:19:24.834266
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	0	5	117	93		30980.74	90826	2024-05-07 16:20:16	181.54	False	True	True	True	3	be35b4	0.00009082	36.14	36.14	-4.23	-5.37	2024-05-07 21:21:48.659460
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	0	6	101	86		29191.24	80531	2024-05-07 16:20:16	183.94	False	True	True	True	3	be35b4	0.00008053	20.71	20.71	0.87	-15.02	2024-05-07 21:24:12.107355
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	0	1	75	75		29191.24	80531	2024-05-07 16:20:16	186.33	False	True	True	True	3	be35b4	0.00008053	20.71	20.71	-21.85	-1.56	2024-05-07 21:26:35.573766
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	2	1	75	62	0.32	29197.03	80525	2024-05-07 16:20:16	188.73	False	True	True	True	3	be35b4	0.00008052	20.7	20.7	-9.19	-0.01	2024-05-07 21:29:00.008752
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	6	4	75	57	0.96	27943.34	73727	2024-05-07 16:20:16	191.11	False	True	True	True	3	be35b4	0.00007372	10.51	10.51	-13.48	-8.45	2024-05-07 21:31:22.715526
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	2	4	62	54	0.39	27686.43	72478	2024-05-07 16:20:16	193.79	False	True	True	True	3	be35b4	0.00007247	8.64	8.64	-22.29	-10.33	2024-05-07 21:34:03.655271
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	0	2	61	53		27527.73	71562	2024-05-07 16:20:16	196.17	False	True	True	True	3	be35b4	0.00007156	7.27	7.27	-23.73	-2.94	2024-05-07 21:36:26.162378
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	0	2	59	46		26875.13	68297	2024-05-07 16:20:16	198.52	False	True	True	True	3	be35b4	0.00006829	2.37	2.37	-4.8	-5.77	2024-05-07 21:38:47.211659
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	5	3	61	46	0.98	27131.27	69540	2024-05-07 16:20:16	200.84	False	True	True	True	3	be35b4	0.00006954	4.23	4.23	-15.95	-2.83	2024-05-07 21:41:06.388610
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	7	2	60	47	1.4	28112.88	74709	2024-05-07 16:20:16	203.3	False	True	True	True	3	be35b4	0.00007470	11.98	11.98	-16.15	12.33	2024-05-07 21:43:33.899513
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	7	3	63	47	1.33	28387.14	76104	2024-05-07 16:20:16	205.65	False	True	True	True	3	be35b4	0.00007610	14.07	14.07	-9.77	9.44	2024-05-07 21:45:55.233691
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	8	3	65	45	1.48	28608.23	77330	2024-05-07 16:20:16	207.99	False	True	True	True	3	be35b4	0.00007733	15.91	15.91	21.38	3.51	2024-05-07 21:48:15.125436
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	5	4	59	41	1.02	27711.96	72583	2024-05-07 16:20:16	210.37	False	True	True	True	3	be35b4	0.00007258	8.8	8.8	8.36	-6.18	2024-05-07 21:50:38.067478
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	3	4	56	39	0.64	27660.51	72289	2024-05-07 16:20:16	212.74	False	True	True	True	3	be35b4	0.00007228	8.36	8.36	6.41	-6.52	2024-05-07 21:53:00.178647
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	0	2	51	37		27504.08	71514	2024-05-07 16:20:16	215.08	False	True	True	True	3	be35b4	0.00007151	7.19	7.19	0.74	-1.47	2024-05-07 21:55:20.544463
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	1	4	47	39	0.26	27056.06	69187	2024-05-07 16:20:16	217.44	False	True	True	True	3	be35b4	0.00006918	3.71	3.71	-10.8	-4.29	2024-05-07 21:57:42.359993
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	2	5	48	42	0.5	26695.62	67310	2024-05-07 16:20:16	219.88	False	True	True	True	3	be35b4	0.00006731	0.89	0.89	-13.22	-4.9	2024-05-07 22:00:08.603949
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	1	4	44	40	0.27	26559.4	66658	2024-05-07 16:20:16	222.32	False	True	True	True	3	be35b4	0.00006665	-0.09	-0.09	-13.4	-3.66	2024-05-07 22:02:35.087469
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	2	5	46	43	0.52	26360.31	65454	2024-05-07 16:20:16	224.67	False	True	True	True	3	be35b4	0.00006545	-1.89	-1.89	-14.55	-2.76	2024-05-07 22:04:55.948921
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	2	7	46	44	0.52	25061.08	59126	2024-05-07 16:20:16	227.12	False	True	True	True	3	be35b4	0.00005912	-11.37	-11.37	-18.35	-11.3	2024-05-07 22:07:23.292577
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	0	6	43	46		23534.46	52096	2024-05-07 16:20:16	229.77	False	True	True	True	3	be35b4	0.00005209	-21.91	-21.91	-31.94	-20.41	2024-05-07 22:10:01.976985
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	0	4	38	46		23466.55	51765	2024-05-07 16:20:16	232.29	False	True	True	True	3	be35b4	0.00005176	-22.41	-22.41	-42.78	-12.45	2024-05-07 22:12:33.643221
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	2	5	37	49	0.65	24572.71	56779	2024-05-07 16:20:16	234.71	False	True	True	True	3	be35b4	0.00005677	-14.89	-14.89	-38.38	8.99	2024-05-07 22:14:58.786392
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	5	4	34	48	1.76	24629.92	57017	2024-05-07 16:20:16	237.06	False	True	True	True	3	be35b4	0.00005701	-14.54	-14.54	-40.59	10.15	2024-05-07 22:17:19.424053
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	1	2	35	46	0.34	23859.5	53309	2024-05-07 16:20:16	239.5	False	True	True	True	3	be35b4	0.00005330	-20.09	-20.09	-43.05	-6.5	2024-05-07 22:19:45.804695
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	5	1	46	31	1.3	23877.06	53916	2024-05-07 16:20:16	336.23	False	True	True	True	3	be35b4	0.00005391	-19.18	-19.18	42.41	12.14	2024-05-07 23:56:29.689539
solana	raydium	jGYJzCWnLQhJY3HuF8jMcdWkAeZu8X9cErgv6AePt5u	FK4ZEeVqFjGLbN7DcmAVKP4o8fjAYX1Kfbhc8yBu1wZU	Patriot Coin	PATRIOT	17	7	60	36	3.4	23905.76	53545	2024-05-07 16:20:16	338.57	False	True	True	True	3	be35b4	0.00005354	-19.74	-19.74	66.68	4.59	2024-05-07 23:58:50.442726
