chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	EUB27GAs1699i9fbjZzAXqiikpmks2neAR4MXbwFKt87	FNUXJtsWyt1kYoCTUZ8hViCyxjqEmXEpCCvpJiL4s991	alon mush	alon	150	66	150	66	12.0	34893.86	107831	2024-05-18 19:51:36	3.4	False	True	False	True	2	445f83	0.0001078	59.73	59.73	59.73	59.73	2024-05-18 21:54:59.701084
solana	raydium	EUB27GAs1699i9fbjZzAXqiikpmks2neAR4MXbwFKt87	FNUXJtsWyt1kYoCTUZ8hViCyxjqEmXEpCCvpJiL4s991	alon mush	alon	192	101	252	104	9.14	50960.34	228684	2024-05-18 19:51:36	5.8	False	True	False	True	2	445f83	0.0002286	239	239	239	138	2024-05-18 21:57:23.710994
solana	raydium	EUB27GAs1699i9fbjZzAXqiikpmks2neAR4MXbwFKt87	FNUXJtsWyt1kYoCTUZ8hViCyxjqEmXEpCCvpJiL4s991	alon mush	alon	218	101	384	172	6.81	54681.53	262372	2024-05-18 19:51:36	8.19	False	True	False	True	2	445f83	0.0002623	289	289	289	71.49	2024-05-18 21:59:47.532159
solana	raydium	EUB27GAs1699i9fbjZzAXqiikpmks2neAR4MXbwFKt87	FNUXJtsWyt1kYoCTUZ8hViCyxjqEmXEpCCvpJiL4s991	alon mush	alon	349	157	614	264	6.82	67386.84	397147	2024-05-18 19:51:36	10.58	False	True	False	True	2	445f83	0.0003971	488	488	488	66.16	2024-05-18 22:02:11.041405
solana	raydium	EUB27GAs1699i9fbjZzAXqiikpmks2neAR4MXbwFKt87	FNUXJtsWyt1kYoCTUZ8hViCyxjqEmXEpCCvpJiL4s991	alon mush	alon	393	184	766	348	6.16	69959.28	426808	2024-05-18 19:51:36	12.95	False	True	False	True	2	445f83	0.0004268	532	532	532	65.45	2024-05-18 22:04:32.796438
solana	raydium	EUB27GAs1699i9fbjZzAXqiikpmks2neAR4MXbwFKt87	FNUXJtsWyt1kYoCTUZ8hViCyxjqEmXEpCCvpJiL4s991	alon mush	alon	277	170	917	442	3.62	77823.17	526088	2024-05-18 19:51:36	15.38	False	True	False	True	2	445f83	0.0005260	679	679	679	18.17	2024-05-18 22:06:58.828517
solana	raydium	EUB27GAs1699i9fbjZzAXqiikpmks2neAR4MXbwFKt87	FNUXJtsWyt1kYoCTUZ8hViCyxjqEmXEpCCvpJiL4s991	alon mush	alon	295	175	1069	527	3.31	64586.6	361817	2024-05-18 19:51:36	17.76	False	True	False	True	2	445f83	0.0003618	436	436	436	-24.44	2024-05-18 22:09:21.584922
solana	raydium	EUB27GAs1699i9fbjZzAXqiikpmks2neAR4MXbwFKt87	FNUXJtsWyt1kYoCTUZ8hViCyxjqEmXEpCCvpJiL4s991	alon mush	alon	399	223	1355	680	3.53	70573.55	429768	2024-05-18 19:51:36	20.09	False	True	False	True	2	445f83	0.0004297	537	537	537	-17.71	2024-05-18 22:11:41.661925
solana	raydium	EUB27GAs1699i9fbjZzAXqiikpmks2neAR4MXbwFKt87	FNUXJtsWyt1kYoCTUZ8hViCyxjqEmXEpCCvpJiL4s991	alon mush	alon	429	217	1519	769	3.39	74623.58	479352	2024-05-18 19:51:36	22.49	False	True	False	True	2	445f83	0.0004793	610	610	610	60.66	2024-05-18 22:14:05.406855
solana	raydium	EUB27GAs1699i9fbjZzAXqiikpmks2neAR4MXbwFKt87	FNUXJtsWyt1kYoCTUZ8hViCyxjqEmXEpCCvpJiL4s991	alon mush	alon	336	162	1680	840	2.4	76719.94	505135	2024-05-18 19:51:36	24.79	False	True	False	True	2	445f83	0.0005051	648	648	648	17.4	2024-05-18 22:16:23.235775
