chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	29	10	480	274	0.72	23334.11	56983	2024-05-09 12:15:49	34.94	False	True	False	True	2	7673d7	0.00005698	-2.26	-2.26	-2.26	56.04	2024-05-09 14:50:45.474576
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	50	30	508	298	1.18	25821.17	69688	2024-05-09 12:15:49	37.21	False	True	False	True	2	7673d7	0.00006968	19.53	19.53	19.53	77.99	2024-05-09 14:53:01.797254
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	55	34	531	308	1.24	24713.31	63718	2024-05-09 12:15:49	39.48	False	True	False	True	2	7673d7	0.00006371	9.29	9.29	9.29	16.88	2024-05-09 14:55:17.917743
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	23	18	538	320	0.51	22475.46	52689	2024-05-09 12:15:49	41.77	False	True	False	True	2	7673d7	0.00005268	-9.63	-9.63	-9.63	-28.7	2024-05-09 14:57:35.037573
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	17	17	548	327	0.37	24544.59	62809	2024-05-09 12:15:49	44.04	False	True	False	True	2	7673d7	0.00006280	7.73	7.73	7.73	-0.51	2024-05-09 14:59:51.646441
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	25	8	563	328	0.53	27911.62	81229	2024-05-09 12:15:49	46.34	False	True	False	True	2	7673d7	0.00008122	39.32	39.32	39.32	54.17	2024-05-09 15:02:09.627374
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	27	11	579	338	0.56	26108.79	71061	2024-05-09 12:15:49	48.63	False	True	False	True	2	7673d7	0.00007106	21.88	21.88	21.88	-0.37	2024-05-09 15:04:26.761679
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	20	17	587	346	0.41	25447.2	67528	2024-05-09 12:15:49	50.9	False	True	False	True	2	7673d7	0.00006752	15.82	15.82	15.82	-23.75	2024-05-09 15:06:43.241477
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	26	11	605	349	0.52	26688.86	74225	2024-05-09 12:15:49	53.18	False	True	False	True	2	7673d7	0.00007422	27.31	27.31	27.31	4.45	2024-05-09 15:08:59.780539
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	26	17	611	362	0.51	24897.04	64584	2024-05-09 12:15:49	55.47	False	True	False	True	2	7673d7	0.00006458	10.77	10.77	10.77	-4.12	2024-05-09 15:11:17.419324
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	12	25	617	376	0.23	22670.75	53295	2024-05-09 12:15:49	57.75	False	True	False	True	2	7673d7	0.00005329	-8.59	-8.59	-8.59	-25.68	2024-05-09 15:13:34.148287
solana	raydium	AUpXDJidBrdQPffaVmEAPyKGkkJ68r4q52FdaBfR7dFS	FPaEa9HbtAw13FQy6rnisKwfz78SnS9cBNgkcVCS5HdB	Dude on Goggles 	DG	13	21	562	383	0.28	22362.88	51950	2024-05-09 12:15:49	60.01	False	True	False	True	2	7673d7	0.00005194	-10.9	-10.9	-34.74	-18.2	2024-05-09 15:15:49.801495
