chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	196	113	1119	566	2.1	88709.46	168355	2024-05-19 10:42:08	16.79	False	True	False	True	2	180336	0.0006763	917	917	917	-6.16	2024-05-19 12:58:55.478260
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	181	99	1192	616	1.82	88135.51	165887	2024-05-19 10:42:08	19.15	False	True	False	True	2	180336	0.0006664	902	902	902	22.39	2024-05-19 13:01:16.711927
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	133	77	1275	651	1.25	93859.95	188196	2024-05-19 10:42:08	21.5	False	True	False	True	2	180336	0.0007561	1037	1037	1037	9.43	2024-05-19 13:03:37.901774
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	150	79	1357	700	1.33	103222.4	228304	2024-05-19 10:42:08	23.83	False	True	False	True	2	180336	0.0009172	1280	1280	1280	31.09	2024-05-19 13:05:57.821414
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	181	112	1456	763	1.49	95128.1	193143	2024-05-19 10:42:08	26.19	False	True	False	True	2	180336	0.0007759	1067	1067	1067	2.63	2024-05-19 13:08:19.388394
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	152	107	1531	826	1.19	111367.42	263746	2024-05-19 10:42:08	28.56	False	True	False	True	2	180336	0.001059	1494	1494	1494	61.11	2024-05-19 13:10:41.371364
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	144	105	1605	869	1.08	110082.77	258077	2024-05-19 10:42:08	30.9	False	True	False	True	2	180336	0.001036	1460	1460	1460	32.02	2024-05-19 13:13:01.816423
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	166	97	1687	918	1.18	107403.81	244898	2024-05-19 10:42:08	33.23	False	True	False	True	2	180336	0.0009839	1380	1380	1380	-2.31	2024-05-19 13:15:21.849109
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	133	59	1754	950	0.91	111871.38	265486	2024-05-19 10:42:08	35.58	False	True	False	True	2	180336	0.001066	1504	1504	1504	13.31	2024-05-19 13:17:42.524198
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	154	86	1848	1006	1.0	125396.09	333142	2024-05-19 10:42:08	37.91	False	True	False	True	2	180336	0.001338	1913	1913	1913	37.56	2024-05-19 13:20:02.359581
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	238	288	1988	1235	1.44	139003.15	408737	2024-05-19 10:42:08	40.23	False	True	False	True	2	180336	0.001642	2370	2370	2370	55.29	2024-05-19 13:22:21.559493
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	325	354	2192	1372	1.78	161528.78	551684	2024-05-19 10:42:08	42.56	False	True	False	True	2	180336	0.002216	3234	3234	3234	62.99	2024-05-19 13:24:41.835809
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	429	285	2426	1523	2.12	129311.29	353070	2024-05-19 10:42:08	44.95	False	True	False	True	2	180336	0.001418	2034	2034	2034	-14.69	2024-05-19 13:27:04.737331
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	453	265	2641	1633	2.06	152356.54	488762	2024-05-19 10:42:08	47.29	False	True	False	True	2	180336	0.001963	2854	2854	2854	4.73	2024-05-19 13:29:25.235730
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	278	185	2769	1747	1.2	149021.72	465923	2024-05-19 10:42:08	49.63	False	True	False	True	2	180336	0.001871	2716	2716	2716	9.25	2024-05-19 13:31:45.847598
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	240	205	2884	1838	1.0	138353.24	401552	2024-05-19 10:42:08	51.96	False	True	False	True	2	180336	0.001613	2327	2327	2327	-18.67	2024-05-19 13:34:05.734038
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	302	240	3064	1984	1.18	126467.31	333748	2024-05-19 10:42:08	54.3	False	True	False	True	2	180336	0.001340	1917	1917	1917	-27.76	2024-05-19 13:36:25.855011
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	376	324	3310	2187	1.36	120307	301039	2024-05-19 10:42:08	56.66	False	True	False	True	2	180336	0.001209	1719	1719	1719	-27.75	2024-05-19 13:38:47.421335
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	344	269	3436	2269	1.2	132193.53	363441	2024-05-19 10:42:08	59.01	False	True	False	True	2	180336	0.001460	2096	2096	2096	9.28	2024-05-19 13:41:08.783841
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	159	119	3280	2294	0.58	134925.05	377590	2024-05-19 10:42:08	61.35	False	True	False	True	2	180336	0.001517	2182	2182	125	11.32	2024-05-19 13:43:28.919388
solana	raydium	2ERqywig3DbJP82ZZ1RLVt118bgfeazdW7FApxNGMXre	FkH44GX8DNp9jMXUSJf2gVktggxrH6mSc74KoLZYXmk7	Angry Dog	angry	107	117	3085	2241	0.42	143538.89	426121	2024-05-19 10:42:08	63.69	False	True	False	True	2	180336	0.001712	2475	2475	124	26.09	2024-05-19 13:45:49.644222
