chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	67fv2rXvGYu2GCq6oR41BmtZ3FWwTo138n8AQzrNfx42	GBwwXoRzcPShAjHMKNcmuUWseFdicArgZ4xvFph8u1Eo	JOCAT THE JOCK CAT	JOCAT	100	20	100	20	12.0	26978.06	68304	2024-05-16 12:18:39	1.77	False	True	True	True	3	284c29	0.00006830	9.47	9.47	9.47	9.47	2024-05-16 14:20:25.176083
solana	raydium	67fv2rXvGYu2GCq6oR41BmtZ3FWwTo138n8AQzrNfx42	GBwwXoRzcPShAjHMKNcmuUWseFdicArgZ4xvFph8u1Eo	JOCAT THE JOCK CAT	JOCAT	186	67	186	67	12.0	29571.22	82212	2024-05-16 12:18:39	4.06	False	True	True	True	3	284c29	0.00008221	31.76	31.76	31.76	31.76	2024-05-16 14:22:42.370282
solana	raydium	67fv2rXvGYu2GCq6oR41BmtZ3FWwTo138n8AQzrNfx42	GBwwXoRzcPShAjHMKNcmuUWseFdicArgZ4xvFph8u1Eo	JOCAT THE JOCK CAT	JOCAT	171	100	271	120	7.57	31852.63	95108	2024-05-16 12:18:39	6.34	False	True	True	True	3	284c29	0.00009510	52.43	52.43	52.43	39.24	2024-05-16 14:24:59.387819
solana	raydium	67fv2rXvGYu2GCq6oR41BmtZ3FWwTo138n8AQzrNfx42	GBwwXoRzcPShAjHMKNcmuUWseFdicArgZ4xvFph8u1Eo	JOCAT THE JOCK CAT	JOCAT	155	107	333	166	5.59	33969.36	107704	2024-05-16 12:18:39	8.64	False	True	True	True	3	284c29	0.0001077	72.61	72.61	72.61	21.61	2024-05-16 14:27:17.187687
solana	raydium	67fv2rXvGYu2GCq6oR41BmtZ3FWwTo138n8AQzrNfx42	GBwwXoRzcPShAjHMKNcmuUWseFdicArgZ4xvFph8u1Eo	JOCAT THE JOCK CAT	JOCAT	172	142	424	248	4.87	39753.73	147133	2024-05-16 12:18:39	10.91	False	True	True	True	3	284c29	0.0001471	136	136	136	55.82	2024-05-16 14:29:33.857011
solana	raydium	67fv2rXvGYu2GCq6oR41BmtZ3FWwTo138n8AQzrNfx42	GBwwXoRzcPShAjHMKNcmuUWseFdicArgZ4xvFph8u1Eo	JOCAT THE JOCK CAT	JOCAT	203	180	548	346	4.45	37129.25	127511	2024-05-16 12:18:39	13.22	False	True	True	True	3	284c29	0.0001275	104	104	104	-0.33	2024-05-16 14:31:51.938453
solana	raydium	67fv2rXvGYu2GCq6oR41BmtZ3FWwTo138n8AQzrNfx42	GBwwXoRzcPShAjHMKNcmuUWseFdicArgZ4xvFph8u1Eo	JOCAT THE JOCK CAT	JOCAT	232	166	657	415	4.24	43915.41	177844	2024-05-16 12:18:39	15.52	False	True	True	True	3	284c29	0.0001778	185	185	185	3.71	2024-05-16 14:34:10.425426
solana	raydium	67fv2rXvGYu2GCq6oR41BmtZ3FWwTo138n8AQzrNfx42	GBwwXoRzcPShAjHMKNcmuUWseFdicArgZ4xvFph8u1Eo	JOCAT THE JOCK CAT	JOCAT	207	137	739	466	3.36	39817.42	146317	2024-05-16 12:18:39	17.83	False	True	True	True	3	284c29	0.0001463	134	134	134	-3.49	2024-05-16 14:36:28.733983
solana	raydium	67fv2rXvGYu2GCq6oR41BmtZ3FWwTo138n8AQzrNfx42	GBwwXoRzcPShAjHMKNcmuUWseFdicArgZ4xvFph8u1Eo	JOCAT THE JOCK CAT	JOCAT	129	88	802	512	1.93	39375.25	143400	2024-05-16 12:18:39	20.13	False	True	True	True	3	284c29	0.0001433	130	130	130	-18.5	2024-05-16 14:38:46.793541
solana	raydium	67fv2rXvGYu2GCq6oR41BmtZ3FWwTo138n8AQzrNfx42	GBwwXoRzcPShAjHMKNcmuUWseFdicArgZ4xvFph8u1Eo	JOCAT THE JOCK CAT	JOCAT	118	116	865	584	1.64	36673.92	124208	2024-05-16 12:18:39	22.44	False	True	True	True	3	284c29	0.0001242	99.06	99.06	99.06	-21.19	2024-05-16 14:41:05.269319
