chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	137	94	426	227	3.86	13071.38	52639	2024-05-07 10:43:09	10.84	False	True	True	True	4	5eca16	0.0005263	3629	3629	3629	30.03	2024-05-07 12:53:59.694086
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	107	102	516	321	2.49	13137.54	52695	2024-05-07 10:43:09	15.19	False	True	True	True	4	5eca16	0.0005269	3633	3633	3633	34.21	2024-05-07 12:58:20.521388
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	100	89	570	374	2.11	13285.76	53638	2024-05-07 10:43:09	17.37	False	True	True	True	4	5eca16	0.0005363	3699	3699	3699	12.19	2024-05-07 13:00:31.074640
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	96	90	614	414	1.88	14760.04	66044	2024-05-07 10:43:09	19.54	False	True	True	True	4	5eca16	0.0006604	4578	4578	4578	13.12	2024-05-07 13:02:41.698167
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	79	79	649	453	1.46	14189.2	60939	2024-05-07 10:43:09	21.7	False	True	True	True	4	5eca16	0.0006093	4217	4217	4217	13.61	2024-05-07 13:04:50.889998
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	78	88	691	501	1.35	15026.43	68230	2024-05-07 10:43:09	23.93	False	True	True	True	4	5eca16	0.0006823	4733	4733	4733	12.22	2024-05-07 13:07:04.668488
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	86	82	730	535	1.41	15302.32	70583	2024-05-07 10:43:09	26.09	False	True	True	True	4	5eca16	0.0007058	4900	4900	4900	26.74	2024-05-07 13:09:14.556475
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	105	100	784	587	1.61	14097.85	59706	2024-05-07 10:43:09	28.29	False	True	True	True	4	5eca16	0.0005970	4129	4129	4129	-1.63	2024-05-07 13:11:26.297724
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	75	79	819	627	1.1	14221.83	60574	2024-05-07 10:43:09	30.45	False	True	True	True	4	5eca16	0.0006057	4191	4191	4191	-2.82	2024-05-07 13:13:36.151287
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	79	78	866	670	1.09	15909.21	75453	2024-05-07 10:43:09	32.63	False	True	True	True	4	5eca16	0.0007545	5245	5245	5245	32.59	2024-05-07 13:15:46.558734
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	112	89	927	714	1.45	16660.07	82473	2024-05-07 10:43:09	34.81	False	True	True	True	4	5eca16	0.0008247	5742	5742	5742	43.56	2024-05-07 13:17:57.613769
solana	raydium	27fn2TjVF8oShi7YHAb8FMewumSfVdKYaFW5xzJsQ5rj	GUfnJ6kWweJdKCQGZLdT6Aw43UybVXpdfUs5QBo5Cddz	LINUX EXCHANGE	LIX	118	89	980	757	1.44	16326.42	78846	2024-05-07 10:43:09	36.98	False	True	True	True	4	5eca16	0.0007884	5485	5485	5485	16.13	2024-05-07 13:20:08.024503
