chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	140	97	236	156	7.12	12132.23	75985	2024-05-06 14:00:00	9.56	False	True	True	True	3	48e001	0.0007598	64.49	64.49	64.49	28.01	2024-05-06 16:09:33.456499
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	126	90	305	208	4.96	13779.03	97099	2024-05-06 14:00:00	11.73	False	True	True	True	3	48e001	0.0009709	110	110	110	56.53	2024-05-06 16:11:43.911659
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	145	101	382	257	4.55	15224.17	116914	2024-05-06 14:00:00	13.93	False	True	True	True	3	48e001	0.001169	153	153	153	54.11	2024-05-06 16:13:55.663132
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	147	104	442	307	3.99	10626.88	56427	2024-05-06 14:00:00	16.11	False	True	True	True	3	48e001	0.0005642	22.15	22.15	22.15	-46.99	2024-05-06 16:16:06.376701
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	135	121	506	370	3.2	11371.59	63886	2024-05-06 14:00:00	18.29	False	True	True	True	3	48e001	0.0006388	38.29	38.29	38.29	-39.69	2024-05-06 16:18:17.284324
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	136	133	566	425	2.88	11669.78	66444	2024-05-06 14:00:00	20.47	False	True	True	True	3	48e001	0.0006644	43.83	43.83	43.83	-14.49	2024-05-06 16:20:28.420483
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	93	82	612	463	1.82	12395.98	74187	2024-05-06 14:00:00	22.68	False	True	True	True	3	48e001	0.0007418	60.59	60.59	60.59	16.91	2024-05-06 16:22:40.856695
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	98	79	666	505	1.77	13902.6	92053	2024-05-06 14:00:00	24.85	False	True	True	True	3	48e001	0.0009205	99.27	99.27	99.27	42.7	2024-05-06 16:24:50.714524
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	96	88	706	549	1.63	12212.86	70800	2024-05-06 14:00:00	27.01	False	True	True	True	3	48e001	0.0007079	53.26	53.26	53.26	-7.32	2024-05-06 16:27:00.745485
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	75	85	739	589	1.22	11757.81	64856	2024-05-06 14:00:00	29.19	False	True	True	True	3	48e001	0.0006485	40.39	40.39	40.39	-21.43	2024-05-06 16:29:11.230753
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	76	86	771	624	1.18	11876.6	65825	2024-05-06 14:00:00	31.36	False	True	True	True	3	48e001	0.0006582	42.49	42.49	42.49	-7.18	2024-05-06 16:31:21.855872
solana	raydium	4yNeZp78Gm84QhD7GpKcFxfLstKahFKVJAjgBw7HMUut	GZ3zzXMUhe8QTU9iLGHQEZPrBMQhX31QGCkT74WAnDBu	Connect AI	CONNECT	85	80	811	651	1.26	12262.37	69432	2024-05-06 14:00:00	33.55	False	True	True	True	3	48e001	0.0006943	50.3	50.3	50.3	-1.94	2024-05-06 16:33:32.782917
