chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	8anRNXhiUbgwU3SdSck3K62JcbY3cBmwhLU5VREP1QVH	GcCnafKwJJJzXndETUi8wBz5WDS2gxT4vhiSJZSRVETp	dofi	dofi	188	116	771	516	2.93	9195.05	56700	2024-05-07 07:01:19	14.4	False	True	True	True	3	fbc460	0.0005670	1799	1799	1799	60.75	2024-05-07 09:15:43.189169
solana	raydium	8anRNXhiUbgwU3SdSck3K62JcbY3cBmwhLU5VREP1QVH	GcCnafKwJJJzXndETUi8wBz5WDS2gxT4vhiSJZSRVETp	dofi	dofi	240	193	921	658	3.13	9008.21	53647	2024-05-07 07:01:19	16.59	False	True	True	True	3	fbc460	0.0005364	1696	1696	1696	58.77	2024-05-07 09:17:54.174033
solana	raydium	8anRNXhiUbgwU3SdSck3K62JcbY3cBmwhLU5VREP1QVH	GcCnafKwJJJzXndETUi8wBz5WDS2gxT4vhiSJZSRVETp	dofi	dofi	264	266	1027	779	3.08	9552.34	59309	2024-05-07 07:01:19	18.76	False	True	True	True	3	fbc460	0.0005930	1886	1886	1886	32.57	2024-05-07 09:20:04.552046
solana	raydium	8anRNXhiUbgwU3SdSck3K62JcbY3cBmwhLU5VREP1QVH	GcCnafKwJJJzXndETUi8wBz5WDS2gxT4vhiSJZSRVETp	dofi	dofi	268	262	1161	882	2.77	9403.28	56811	2024-05-07 07:01:19	20.94	False	True	True	True	3	fbc460	0.0005681	1802	1802	1802	10.91	2024-05-07 09:22:15.114662
solana	raydium	8anRNXhiUbgwU3SdSck3K62JcbY3cBmwhLU5VREP1QVH	GcCnafKwJJJzXndETUi8wBz5WDS2gxT4vhiSJZSRVETp	dofi	dofi	251	205	1255	949	2.4	9064.46	52330	2024-05-07 07:01:19	23.12	False	True	True	True	3	fbc460	0.0005232	1652	1652	1652	-32.3	2024-05-07 09:24:26.218932
solana	raydium	8anRNXhiUbgwU3SdSck3K62JcbY3cBmwhLU5VREP1QVH	GcCnafKwJJJzXndETUi8wBz5WDS2gxT4vhiSJZSRVETp	dofi	dofi	155	118	1326	1009	1.4	9322.99	54899	2024-05-07 07:01:19	25.3	False	True	True	True	3	fbc460	0.0005489	1738	1738	1738	24.59	2024-05-07 09:26:37.214553
solana	raydium	8anRNXhiUbgwU3SdSck3K62JcbY3cBmwhLU5VREP1QVH	GcCnafKwJJJzXndETUi8wBz5WDS2gxT4vhiSJZSRVETp	dofi	dofi	151	140	1412	1089	1.28	9743.66	59487	2024-05-07 07:01:19	27.53	False	True	True	True	3	fbc460	0.0005948	1892	1892	1892	2.62	2024-05-07 09:28:50.554844
solana	raydium	8anRNXhiUbgwU3SdSck3K62JcbY3cBmwhLU5VREP1QVH	GcCnafKwJJJzXndETUi8wBz5WDS2gxT4vhiSJZSRVETp	dofi	dofi	201	175	1527	1184	1.58	9868.99	60110	2024-05-07 07:01:19	29.69	False	True	True	True	3	fbc460	0.0006010	1913	1913	1913	9.49	2024-05-07 09:31:00.629689
solana	raydium	8anRNXhiUbgwU3SdSck3K62JcbY3cBmwhLU5VREP1QVH	GcCnafKwJJJzXndETUi8wBz5WDS2gxT4vhiSJZSRVETp	dofi	dofi	202	182	1605	1266	1.51	10034.01	61628	2024-05-07 07:01:19	31.87	False	True	True	True	3	fbc460	0.0006162	1964	1964	1964	3.23	2024-05-07 09:33:10.918993
solana	raydium	8anRNXhiUbgwU3SdSck3K62JcbY3cBmwhLU5VREP1QVH	GcCnafKwJJJzXndETUi8wBz5WDS2gxT4vhiSJZSRVETp	dofi	dofi	244	214	1734	1372	1.69	11482.74	79736	2024-05-07 07:01:19	34.04	False	True	True	True	3	fbc460	0.0007973	2570	2570	2570	28.7	2024-05-07 09:35:21.456915
