chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	26	13	412	315	0.76	9240.61	51753	2024-05-11 04:10:20	114.24	False	True	True	True	3	3aee83	0.0005175	2309	2309	257	31.85	2024-05-11 08:04:34.120386
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	40	29	429	326	1.12	9812.86	58363	2024-05-11 04:10:20	116.5	False	True	True	True	3	3aee83	0.0005836	2617	2617	288	27.27	2024-05-11 08:06:49.996865
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	45	55	434	349	1.24	9534.67	54844	2024-05-11 04:10:20	118.77	False	True	True	True	3	3aee83	0.0005484	2453	2453	254	5.97	2024-05-11 08:09:06.421610
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	52	46	447	350	1.4	9237.69	51368	2024-05-11 04:10:20	121.02	False	True	True	True	3	3aee83	0.0005136	2291	2291	164	-14.49	2024-05-11 08:11:21.313340
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	40	20	441	341	1.09	9382.49	53005	2024-05-11 04:10:20	123.28	False	True	True	True	3	3aee83	0.0005300	2367	2367	126	-3.81	2024-05-11 08:13:36.928892
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	16	9	443	376	0.43	9505.81	53589	2024-05-11 04:10:20	148.23	False	True	True	True	3	3aee83	0.0005358	2394	2394	89.6	52.1	2024-05-11 08:38:33.954142
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	18	16	425	360	0.51	9514.74	53665	2024-05-11 04:10:20	150.49	False	True	True	True	3	3aee83	0.0005366	2398	2398	51.31	27.22	2024-05-11 08:40:49.553242
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	4	1	132	112	0.36	9329.69	50854	2024-05-11 04:10:20	234.5	False	True	True	True	3	3aee83	0.0005085	2267	2267	4.1	3.52	2024-05-11 10:04:49.945346
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	10	1	135	112	0.89	10290.74	61862	2024-05-11 04:10:20	236.79	False	True	True	True	3	3aee83	0.0006186	2779	2779	25.74	24.43	2024-05-11 10:07:07.428412
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	13	10	135	116	1.16	10423.18	63590	2024-05-11 04:10:20	239.08	False	True	True	True	3	3aee83	0.0006358	2860	2860	51.45	26	2024-05-11 10:09:24.568998
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	13	25	139	128	1.12	11790.89	81503	2024-05-11 04:10:20	241.37	False	True	True	True	3	3aee83	0.0008150	3694	3694	92.95	29.2	2024-05-11 10:11:42.137221
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	18	25	147	130	1.47	11387.62	75976	2024-05-11 04:10:20	243.65	False	True	True	True	3	3aee83	0.0007597	3436	3436	142	16.17	2024-05-11 10:13:59.031978
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	20	15	150	128	1.6	11711.68	80216	2024-05-11 04:10:20	245.91	False	True	True	True	3	3aee83	0.0008021	3634	3634	168	-4.89	2024-05-11 10:16:14.338875
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	27	13	158	126	2.05	12142.39	86490	2024-05-11 04:10:20	248.26	False	True	True	True	3	3aee83	0.0008649	3926	3926	171	17.27	2024-05-11 10:18:35.622231
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	26	21	159	133	1.96	11659.76	79660	2024-05-11 04:10:20	250.54	False	True	True	True	3	3aee83	0.0007965	3608	3608	117	22.52	2024-05-11 10:20:52.658007
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	18	23	161	135	1.34	11689.25	79879	2024-05-11 04:10:20	252.81	False	True	True	True	3	3aee83	0.0007987	3618	3618	98.05	-7.64	2024-05-11 10:23:08.861557
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	19	18	161	136	1.42	11471.84	76886	2024-05-11 04:10:20	255.08	False	True	True	True	3	3aee83	0.0007688	3479	3479	57.88	-6.81	2024-05-11 10:25:25.004003
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	11	12	162	134	0.81	10992.96	70684	2024-05-11 04:10:20	257.35	False	True	True	True	3	3aee83	0.0007068	3190	3190	72.42	-8.01	2024-05-11 10:27:41.014207
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	4	8	155	135	0.31	10869.44	69055	2024-05-11 04:10:20	259.6	False	True	True	True	3	3aee83	0.0006905	3114	3114	40.91	-10.19	2024-05-11 10:29:56.027519
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	17	11	165	140	1.24	10672.26	66487	2024-05-11 04:10:20	261.86	False	True	True	True	3	3aee83	0.0006648	2995	2995	40.05	-4.69	2024-05-11 10:32:11.744655
solana	raydium	63iC2ZtDhmoHSSZmrcxEM1o26VfZgQHY46V17o2NXsF7	HC9AsMtBY3EmwLuW7f22bTX3bCJkzvAapWgmZPnhr87L	lizzi	lizzi	32	22	176	145	2.18	9879.95	56898	2024-05-11 04:10:20	264.13	False	True	True	True	3	3aee83	0.0005689	2548	2548	29.63	-17.6	2024-05-11 10:34:27.832757
