chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	102	85	841	632	1.46	16368.84	61128	2024-05-07 13:15:51	35.23	False	True	True	True	3	9ce999	0.0001455	3586	3586	3586	54.63	2024-05-07 15:51:05.095304
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	133	116	901	695	1.77	15352.64	53733	2024-05-07 13:15:51	37.54	False	True	True	True	3	9ce999	0.0001279	3140	3140	3140	16.37	2024-05-07 15:53:23.396436
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	98	95	950	740	1.24	16124.92	58865	2024-05-07 13:15:51	39.87	False	True	True	True	3	9ce999	0.0001401	3449	3449	3449	-2.29	2024-05-07 15:55:43.311409
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	91	94	997	791	1.1	15737.7	56092	2024-05-07 13:15:51	42.18	False	True	True	True	3	9ce999	0.0001335	3282	3282	3282	-1.33	2024-05-07 15:58:01.652640
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	95	102	1042	837	1.09	16690.89	63200	2024-05-07 13:15:51	44.29	False	True	True	True	3	9ce999	0.0001504	3711	3711	3711	-0.95	2024-05-07 16:00:08.693245
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	165	151	1152	935	1.72	24395.73	133685	2024-05-07 13:15:51	46.59	False	True	True	True	3	9ce999	0.0003182	7961	7961	7961	144	2024-05-07 16:02:26.572463
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	179	189	1247	1046	1.72	24445.35	132714	2024-05-07 13:15:51	48.88	False	True	True	True	3	9ce999	0.0003159	7902	7902	7902	72.45	2024-05-07 16:04:43.809683
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	217	196	1376	1141	1.89	25376.77	142731	2024-05-07 13:15:51	51.24	False	True	True	True	3	9ce999	0.0003398	8506	8506	8506	26.64	2024-05-07 16:07:05.431624
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	227	193	1468	1231	1.86	24479.65	132250	2024-05-07 13:15:51	53.56	False	True	True	True	3	9ce999	0.0003148	7874	7874	7874	-1.22	2024-05-07 16:09:24.567578
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	161	147	1504	1278	1.28	24362.09	130788	2024-05-07 13:15:51	55.85	False	True	True	True	3	9ce999	0.0003113	7786	7786	7786	-9.45	2024-05-07 16:11:42.093106
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	121	127	1593	1362	0.91	19949.32	87332	2024-05-07 13:15:51	58.16	False	True	True	True	3	9ce999	0.0002079	5166	5166	5166	-35.76	2024-05-07 16:14:00.765141
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	196	174	1677	1466	1.4	16834.27	61888	2024-05-07 13:15:51	60.56	False	True	True	True	3	9ce999	0.0001473	3632	3632	317	-51.13	2024-05-07 16:16:24.734890
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	178	187	1685	1526	1.27	16314.45	57806	2024-05-07 13:15:51	62.89	False	True	True	True	3	9ce999	0.0001376	3385	3385	114	-23.35	2024-05-07 16:18:44.204133
solana	raydium	GneS3f4SDbpyjJXNyhEU9Nkrx7tgByXXY6H8xBGQryde	HLKDJJsnHnHyYfJfkfJ7QPas9cEFqEdaC4x9oBsD6Nod	dogi	DOGI	162	175	1709	1576	1.14	19020.47	78229	2024-05-07 13:15:51	65.25	False	True	True	True	3	9ce999	0.0001862	4617	4617	147	25.6	2024-05-07 16:21:05.855500
