chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	44YSHzFtbj3p8D21mkDNrkaB3SvgPyTXPTNcL7UTqp7K	HRx3LZGbwfQN8ANMTZAKV9TFatg72KirqfWLD8vbadub	Miji	MIJI	373	159	1170	482	3.83	12894.57	58488	2024-05-18 22:17:41	15.09	False	True	True	True	3	37c229	0.0004755	5721	5721	5721	74.73	2024-05-19 00:32:46.355799
solana	raydium	44YSHzFtbj3p8D21mkDNrkaB3SvgPyTXPTNcL7UTqp7K	HRx3LZGbwfQN8ANMTZAKV9TFatg72KirqfWLD8vbadub	Miji	MIJI	452	211	1431	605	3.79	12988.24	58304	2024-05-18 22:17:41	17.39	False	True	True	True	3	37c229	0.0004740	5703	5703	5703	36.67	2024-05-19 00:35:04.412734
solana	raydium	44YSHzFtbj3p8D21mkDNrkaB3SvgPyTXPTNcL7UTqp7K	HRx3LZGbwfQN8ANMTZAKV9TFatg72KirqfWLD8vbadub	Miji	MIJI	451	214	1621	697	3.34	14881.72	75326	2024-05-18 22:17:41	19.74	False	True	True	True	3	37c229	0.0006124	7397	7397	7397	29.08	2024-05-19 00:37:25.127760
solana	raydium	44YSHzFtbj3p8D21mkDNrkaB3SvgPyTXPTNcL7UTqp7K	HRx3LZGbwfQN8ANMTZAKV9TFatg72KirqfWLD8vbadub	Miji	MIJI	448	204	2078	904	2.59	13483.02	59886	2024-05-18 22:17:41	24.4	False	True	True	True	3	37c229	0.0004868	5860	5860	5860	-0.42	2024-05-19 00:42:05.288682
solana	raydium	44YSHzFtbj3p8D21mkDNrkaB3SvgPyTXPTNcL7UTqp7K	HRx3LZGbwfQN8ANMTZAKV9TFatg72KirqfWLD8vbadub	Miji	MIJI	477	238	2288	1014	2.5	15418.41	77291	2024-05-18 22:17:41	26.93	False	True	True	True	3	37c229	0.0006283	7592	7592	7592	58.52	2024-05-19 00:44:36.702038
solana	raydium	44YSHzFtbj3p8D21mkDNrkaB3SvgPyTXPTNcL7UTqp7K	HRx3LZGbwfQN8ANMTZAKV9TFatg72KirqfWLD8vbadub	Miji	MIJI	318	162	2442	1087	1.56	15439.31	76804	2024-05-18 22:17:41	29.28	False	True	True	True	3	37c229	0.0006244	7544	7544	7544	23.77	2024-05-19 00:46:57.596375
solana	raydium	44YSHzFtbj3p8D21mkDNrkaB3SvgPyTXPTNcL7UTqp7K	HRx3LZGbwfQN8ANMTZAKV9TFatg72KirqfWLD8vbadub	Miji	MIJI	321	146	2615	1165	1.47	16127.18	82932	2024-05-18 22:17:41	31.61	False	True	True	True	3	37c229	0.0006742	8154	8154	8154	6.84	2024-05-19 00:49:17.374861
solana	raydium	44YSHzFtbj3p8D21mkDNrkaB3SvgPyTXPTNcL7UTqp7K	HRx3LZGbwfQN8ANMTZAKV9TFatg72KirqfWLD8vbadub	Miji	MIJI	336	149	2832	1265	1.42	13427.15	56915	2024-05-18 22:17:41	33.94	False	True	True	True	3	37c229	0.0004627	5564	5564	5564	-27.67	2024-05-19 00:51:37.366242
solana	raydium	44YSHzFtbj3p8D21mkDNrkaB3SvgPyTXPTNcL7UTqp7K	HRx3LZGbwfQN8ANMTZAKV9TFatg72KirqfWLD8vbadub	Miji	MIJI	354	164	3006	1351	1.41	14897.35	69486	2024-05-18 22:17:41	36.24	False	True	True	True	3	37c229	0.0005649	6816	6816	6816	-21.06	2024-05-19 00:53:55.568361
solana	raydium	44YSHzFtbj3p8D21mkDNrkaB3SvgPyTXPTNcL7UTqp7K	HRx3LZGbwfQN8ANMTZAKV9TFatg72KirqfWLD8vbadub	Miji	MIJI	293	161	3125	1426	1.13	14101.88	61853	2024-05-18 22:17:41	38.54	False	True	True	True	3	37c229	0.0005028	6056	6056	6056	8.68	2024-05-19 00:56:13.698242
