chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	157	87	316	151	5.96	10377.76	57753	2024-05-11 05:00:00	7.88	False	True	True	True	3	08c9d1	0.0005775	32.74	32.74	32.74	2	2024-05-11 07:07:52.944822
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	195	100	423	202	5.53	10989.78	63128	2024-05-11 05:00:00	10.15	False	True	True	True	3	08c9d1	0.0006312	45.1	45.1	45.1	16.76	2024-05-11 07:10:08.846329
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	233	115	543	262	5.15	11730.09	69869	2024-05-11 05:00:00	12.4	False	True	True	True	3	08c9d1	0.0006986	60.59	60.59	60.59	11.78	2024-05-11 07:12:24.096942
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	214	116	653	324	3.93	12411.33	76019	2024-05-11 05:00:00	14.65	False	True	True	True	3	08c9d1	0.0007601	74.73	74.73	74.73	15.75	2024-05-11 07:14:39.160599
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	196	108	748	374	3.14	12874.02	80095	2024-05-11 05:00:00	16.93	False	True	True	True	3	08c9d1	0.0008009	84.1	84.1	84.1	10.11	2024-05-11 07:16:55.667939
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	201	106	854	430	2.82	12390.86	72599	2024-05-11 05:00:00	19.2	False	True	True	True	3	08c9d1	0.0007259	66.87	66.87	66.87	-4.5	2024-05-11 07:19:12.276112
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	191	99	918	463	2.5	12233.58	69834	2024-05-11 05:00:00	21.49	False	True	True	True	3	08c9d1	0.0006983	60.51	60.51	60.51	-6.04	2024-05-11 07:21:29.244919
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	157	82	1011	514	1.86	10676.68	51962	2024-05-11 05:00:00	23.76	False	True	True	True	3	08c9d1	0.0005196	19.43	19.43	19.43	-26.01	2024-05-11 07:23:45.469686
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	155	86	1085	555	1.71	11127.7	55335	2024-05-11 05:00:00	26.03	False	True	True	True	3	08c9d1	0.0005533	27.19	27.19	27.19	-30.46	2024-05-11 07:26:01.651880
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	202	108	1200	615	2.02	11467.73	57172	2024-05-11 05:00:00	28.32	False	True	True	True	3	08c9d1	0.0005717	31.41	31.41	31.41	-1.91	2024-05-11 07:28:19.243736
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	205	103	1290	658	1.91	11665.34	57921	2024-05-11 05:00:00	30.57	False	True	True	True	3	08c9d1	0.0005792	33.13	33.13	33.13	3.65	2024-05-11 07:30:34.457767
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	185	94	1390	711	1.6	11862.51	58290	2024-05-11 05:00:00	32.85	False	True	True	True	3	08c9d1	0.0005828	33.98	33.98	33.98	1.17	2024-05-11 07:32:50.785026
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	190	99	1500	767	1.52	12757.63	65748	2024-05-11 05:00:00	35.1	False	True	True	True	3	08c9d1	0.0006574	51.12	51.12	51.12	2.23	2024-05-11 07:35:05.747084
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	219	111	1601	817	1.64	12528.96	62039	2024-05-11 05:00:00	37.36	False	True	True	True	3	08c9d1	0.0006203	42.6	42.6	42.6	-5.05	2024-05-11 07:37:21.544948
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	152	75	1677	854	1.09	13505.64	70909	2024-05-11 05:00:00	39.66	False	True	True	True	3	08c9d1	0.0007090	62.98	62.98	62.98	7.46	2024-05-11 07:39:39.729066
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	184	89	1809	918	1.22	13316.16	67201	2024-05-11 05:00:00	41.92	False	True	True	True	3	08c9d1	0.0006720	54.46	54.46	54.46	-0.94	2024-05-11 07:41:55.309346
solana	raydium	F84tf9Gy83yVQxZ2mjvqdtB8sxiZW2DFgGTJC6YSK26T	HzqMC6fGDYj1GP2goQjbhg15foYWWhaNKP4LFbZGZk9s	SolX	X	212	102	1889	956	1.35	13728.66	70303	2024-05-11 05:00:00	44.17	False	True	True	True	3	08c9d1	0.0007030	61.59	61.59	61.59	-0.85	2024-05-11 07:44:10.397102
