chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	41B3ohSZuyfCaJMbtZhzoAxZ1rAJt6vBck3gaNuf27he	e9LFGWYWwzMA6sr8UobK9oxenYrY29obYxcgR6eqRWa	simp	SIMP	201	184	559	342	4.31	26985.41	72504	2024-05-08 03:27:26	9.94	False	True	True	True	3	13f654	0.00007250	27.34	27.34	27.34	8.12	2024-05-08 05:37:22.631860
solana	raydium	41B3ohSZuyfCaJMbtZhzoAxZ1rAJt6vBck3gaNuf27he	e9LFGWYWwzMA6sr8UobK9oxenYrY29obYxcgR6eqRWa	simp	SIMP	158	108	644	404	2.94	23163.25	53080	2024-05-08 03:27:26	12.21	False	True	True	True	3	13f654	0.00005308	-6.77	-6.77	-6.77	8.42	2024-05-08 05:39:38.493911
solana	raydium	41B3ohSZuyfCaJMbtZhzoAxZ1rAJt6vBck3gaNuf27he	e9LFGWYWwzMA6sr8UobK9oxenYrY29obYxcgR6eqRWa	simp	SIMP	143	89	710	440	2.42	25055.71	61830	2024-05-08 03:27:26	14.47	False	True	True	True	3	13f654	0.00006182	8.59	8.59	8.59	-9.82	2024-05-08 05:41:54.202337
solana	raydium	41B3ohSZuyfCaJMbtZhzoAxZ1rAJt6vBck3gaNuf27he	e9LFGWYWwzMA6sr8UobK9oxenYrY29obYxcgR6eqRWa	simp	SIMP	95	88	967	671	1.18	24561.75	58510	2024-05-08 03:27:26	25.79	False	True	True	True	3	13f654	0.00005851	2.76	2.76	2.76	58.88	2024-05-08 05:53:13.496820
solana	raydium	41B3ohSZuyfCaJMbtZhzoAxZ1rAJt6vBck3gaNuf27he	e9LFGWYWwzMA6sr8UobK9oxenYrY29obYxcgR6eqRWa	simp	SIMP	119	78	1032	705	1.38	28659.22	79429	2024-05-08 03:27:26	28.05	False	True	True	True	3	13f654	0.00007942	39.5	39.5	39.5	73.53	2024-05-08 05:55:28.877306
solana	raydium	41B3ohSZuyfCaJMbtZhzoAxZ1rAJt6vBck3gaNuf27he	e9LFGWYWwzMA6sr8UobK9oxenYrY29obYxcgR6eqRWa	simp	SIMP	97	50	1071	725	1.09	30106.99	87570	2024-05-08 03:27:26	30.29	False	True	True	True	3	13f654	0.00008757	53.8	53.8	53.8	43.16	2024-05-08 05:57:43.230974
solana	raydium	41B3ohSZuyfCaJMbtZhzoAxZ1rAJt6vBck3gaNuf27he	e9LFGWYWwzMA6sr8UobK9oxenYrY29obYxcgR6eqRWa	simp	SIMP	100	67	1132	773	1.06	28838.89	80093	2024-05-08 03:27:26	32.54	False	True	True	True	3	13f654	0.00008009	40.67	40.67	40.67	0.44	2024-05-08 05:59:58.255533
solana	raydium	41B3ohSZuyfCaJMbtZhzoAxZ1rAJt6vBck3gaNuf27he	e9LFGWYWwzMA6sr8UobK9oxenYrY29obYxcgR6eqRWa	simp	SIMP	101	80	1172	805	1.03	30878.46	91769	2024-05-08 03:27:26	34.79	False	True	True	True	3	13f654	0.00009176	61.17	61.17	61.17	4.8	2024-05-08 06:02:13.577265
solana	raydium	41B3ohSZuyfCaJMbtZhzoAxZ1rAJt6vBck3gaNuf27he	e9LFGWYWwzMA6sr8UobK9oxenYrY29obYxcgR6eqRWa	simp	SIMP	139	90	1257	857	1.33	26521.07	67406	2024-05-08 03:27:26	37.06	False	True	True	True	3	13f654	0.00006740	18.39	18.39	18.39	-19.94	2024-05-08 06:04:29.695632
solana	raydium	41B3ohSZuyfCaJMbtZhzoAxZ1rAJt6vBck3gaNuf27he	e9LFGWYWwzMA6sr8UobK9oxenYrY29obYxcgR6eqRWa	simp	SIMP	119	107	1379	966	1.04	23948.8	54700	2024-05-08 03:27:26	41.57	False	True	True	True	3	13f654	0.00005469	-3.93	-3.93	-3.93	-23.19	2024-05-08 06:09:00.306480
