chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	120	49	120	49	12.0	28112.93	66377	2024-05-06 16:01:28	2.02	False	True	True	True	3	4f887d	0.00007809	18.02	18.02	18.02	18.02	2024-05-06 18:03:29.009232
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	232	109	232	109	12.0	26928.89	60474	2024-05-06 16:01:28	4.23	False	True	True	True	3	4f887d	0.00007114	7.52	7.52	7.52	7.52	2024-05-06 18:05:41.789320
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	59	37	427	286	1.66	25464.69	53538	2024-05-06 16:01:28	13.22	False	True	True	True	3	4f887d	0.00006298	-4.81	-4.81	-4.81	15.44	2024-05-06 18:14:41.489826
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	88	48	544	347	1.94	28254.49	65641	2024-05-06 16:01:28	18.43	False	True	True	True	3	4f887d	0.00007722	16.71	16.71	16.71	-0.97	2024-05-06 18:19:53.671455
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	90	35	589	365	1.83	26810.95	59115	2024-05-06 16:01:28	20.63	False	True	True	True	3	4f887d	0.00006954	5.11	5.11	5.11	8.41	2024-05-06 18:22:05.925236
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	114	40	650	386	2.1	30426.37	75928	2024-05-06 16:01:28	22.82	False	True	True	True	3	4f887d	0.00008932	35	35	35	27.28	2024-05-06 18:24:17.017063
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	90	66	698	437	1.55	30295.97	75179	2024-05-06 16:01:28	25.07	False	True	True	True	3	4f887d	0.00008844	33.67	33.67	33.67	19.65	2024-05-06 18:26:32.388766
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	86	67	745	461	1.39	33453.09	91561	2024-05-06 16:01:28	27.28	False	True	True	True	3	4f887d	0.0001077	62.8	62.8	62.8	10.05	2024-05-06 18:28:44.979619
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	142	64	838	501	2.03	36818.04	110845	2024-05-06 16:01:28	29.52	False	True	True	True	3	4f887d	0.0001304	97.08	97.08	97.08	48.12	2024-05-06 18:30:59.276504
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	155	89	896	544	2.08	36702.24	110133	2024-05-06 16:01:28	31.7	False	True	True	True	3	4f887d	0.0001295	95.82	95.82	95.82	14.03	2024-05-06 18:33:09.999758
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	158	121	981	616	1.93	30972.38	78232	2024-05-06 16:01:28	33.89	False	True	True	True	3	4f887d	0.00009203	39.1	39.1	39.1	-19.28	2024-05-06 18:35:21.176872
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	172	118	1085	674	1.9	33805.82	92433	2024-05-06 16:01:28	36.08	False	True	True	True	3	4f887d	0.0001087	64.35	64.35	64.35	-6.77	2024-05-06 18:37:32.581751
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	144	93	1140	721	1.52	34683.78	97310	2024-05-06 16:01:28	38.29	False	True	True	True	3	4f887d	0.0001144	73.02	73.02	73.02	30.35	2024-05-06 18:39:45.539668
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	123	71	1208	745	1.22	37446.33	113528	2024-05-06 16:01:28	40.51	False	True	True	True	3	4f887d	0.0001335	102	102	102	22.82	2024-05-06 18:41:58.458946
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	127	64	1264	782	1.21	35251.33	100622	2024-05-06 16:01:28	42.77	False	True	True	True	3	4f887d	0.0001183	78.91	78.91	78.91	2.84	2024-05-06 18:44:14.436715
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	142	86	1330	826	1.28	32577.55	85717	2024-05-06 16:01:28	45.02	False	True	True	True	3	4f887d	0.0001008	52.41	52.41	52.41	-23.05	2024-05-06 18:46:29.058737
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	168	97	1443	891	1.4	29774.28	71436	2024-05-06 16:01:28	47.22	False	True	True	True	3	4f887d	0.00008404	27.01	27.01	27.01	-15.49	2024-05-06 18:48:41.423334
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	159	116	1494	944	1.28	30001.55	72426	2024-05-06 16:01:28	49.43	False	True	True	True	3	4f887d	0.00008520	28.78	28.78	28.78	-6.94	2024-05-06 18:50:53.611366
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	103	93	1534	980	0.81	29981.73	72339	2024-05-06 16:01:28	51.62	False	True	True	True	3	4f887d	0.00008510	28.62	28.62	28.62	5.44	2024-05-06 18:53:05.203369
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	70	70	1564	1005	0.54	28476.28	65340	2024-05-06 16:01:28	53.82	False	True	True	True	3	4f887d	0.00007687	16.18	16.18	16.18	-21.82	2024-05-06 18:55:17.419690
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	73	66	1598	1037	0.55	30421.82	74373	2024-05-06 16:01:28	56.05	False	True	True	True	3	4f887d	0.00008749	32.24	32.24	32.24	2.29	2024-05-06 18:57:31.172606
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	59	60	1627	1067	0.44	33883.57	91985	2024-05-06 16:01:28	58.24	False	True	True	True	3	4f887d	0.0001082	63.55	63.55	63.55	21.63	2024-05-06 18:59:42.625228
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	43	51	1592	1061	0.32	31996.7	81789	2024-05-06 16:01:28	60.43	False	True	True	True	3	4f887d	0.00009622	45.42	45.42	64.54	9.27	2024-05-06 19:01:53.970731
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	38	45	1485	1037	0.31	29919.56	71263	2024-05-06 16:01:28	62.65	False	True	True	True	3	4f887d	0.00008383	26.71	26.71	21.03	-16.62	2024-05-06 19:04:07.016251
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	41	43	1423	985	0.35	29386.88	68626	2024-05-06 16:01:28	64.82	False	True	True	True	3	4f887d	0.00008073	22.02	22.02	33.02	-17.85	2024-05-06 19:06:17.374266
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	59	51	1400	936	0.51	28835.75	66120	2024-05-06 16:01:28	67.04	False	True	True	True	3	4f887d	0.00007778	17.56	17.56	146	-8.54	2024-05-06 19:08:30.635221
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	45	49	1344	918	0.4	27894.49	61616	2024-05-06 16:01:28	69.25	False	True	True	True	3	4f887d	0.00007248	9.55	9.55	36.61	-11.09	2024-05-06 19:10:43.073160
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	64	55	1335	928	0.58	26324.64	54678	2024-05-06 16:01:28	73.68	False	True	True	True	3	4f887d	0.00006432	-2.78	-2.78	-17.51	-9.09	2024-05-06 19:15:08.700053
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	61	42	1311	923	0.56	25367.36	50658	2024-05-06 16:01:28	78.06	False	True	True	True	3	4f887d	0.00005959	-9.93	-9.93	-22.45	-9.2	2024-05-06 19:19:31.828830
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	55	42	1221	890	0.54	26857.21	56887	2024-05-06 16:01:28	84.68	False	True	True	True	3	4f887d	0.00006692	1.15	1.15	-23.98	11.83	2024-05-06 19:26:08.843694
solana	raydium	BsHUREnYq4PKN9WFWY8YkigAvJUQfb4Xg56BGNofjZuw	gBp7tU2FuieHzkaFxxWj6t61fgU2EJkJDAgts2j4pBL	FOMO CAT	FOMO	55	29	1200	882	0.55	26144.09	53751	2024-05-06 16:01:28	86.91	False	True	True	True	3	4f887d	0.00006323	-4.43	-4.43	-44.34	32.83	2024-05-06 19:28:22.444547
