chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	200	58	200	58	12.0	29476.51	81428	2024-05-07 05:31:01	2.45	False	True	False	True	2	fc0046	0.00008455	26.7	26.7	26.7	26.7	2024-05-07 07:33:28.249511
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	334	130	334	130	12.0	35372.61	116766	2024-05-07 05:31:01	4.61	False	True	False	True	2	fc0046	0.0001212	81.69	81.69	81.69	81.69	2024-05-07 07:35:37.386043
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	309	201	532	270	6.97	38305.39	135520	2024-05-07 05:31:01	6.79	False	True	False	True	2	fc0046	0.0001407	111	111	111	62.15	2024-05-07 07:37:48.698528
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	322	212	653	342	5.92	35820.03	117693	2024-05-07 05:31:01	8.95	False	True	False	True	2	fc0046	0.0001222	83.13	83.13	83.13	4.64	2024-05-07 07:39:58.088446
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	315	209	827	467	4.57	28008.84	71244	2024-05-07 05:31:01	11.13	False	True	False	True	2	fc0046	0.00007398	10.86	10.86	10.86	-52.46	2024-05-07 07:42:08.766436
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	154	116	1133	738	1.63	23931.77	50823	2024-05-07 05:31:01	17.64	False	True	False	True	2	fc0046	0.00005277	-20.92	-20.92	-20.92	11.67	2024-05-07 07:48:39.647424
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	144	83	1213	771	1.42	26954.82	64239	2024-05-07 05:31:01	19.82	False	True	False	True	2	fc0046	0.00006670	-0.04	-0.04	-0.04	98.94	2024-05-07 07:50:50.203485
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	132	67	1261	804	1.26	30818.79	83853	2024-05-07 05:31:01	21.99	False	True	False	True	2	fc0046	0.00008707	30.47	30.47	30.47	62.79	2024-05-07 07:53:00.108667
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	90	61	1298	831	0.83	28285.7	70607	2024-05-07 05:31:01	24.16	False	True	False	True	2	fc0046	0.00007331	9.86	9.86	9.86	17.38	2024-05-07 07:55:10.648533
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	87	77	1398	921	0.75	24425.74	52493	2024-05-07 05:31:01	28.49	False	True	False	True	2	fc0046	0.00005450	-18.32	-18.32	-18.32	-19.79	2024-05-07 07:59:30.695581
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	53	38	1451	959	0.44	24526.5	52694	2024-05-07 05:31:01	32.84	False	True	False	True	2	fc0046	0.00005471	-18.01	-18.01	-18.01	0.38	2024-05-07 08:03:51.618238
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	44	20	1484	1077	0.36	26613.71	62175	2024-05-07 05:31:01	61.14	False	True	False	True	2	fc0046	0.00006456	-3.26	-3.26	2.43	79.13	2024-05-07 08:32:09.203386
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	19	5	514	415	0.44	24223.07	51191	2024-05-07 05:31:01	78.51	False	True	False	True	2	fc0046	0.00005315	-20.35	-20.35	-9.93	18.57	2024-05-07 08:49:31.447717
solana	raydium	A7PNCN76w7RWgMKb3jadGT2F5DNnSfdLjGe85viH84kV	iirMsYRCrGS6ds3vckJ5NcgWGpdfZvC7PjJNf9D4CEt	goodgirl	$goodgirl	17	5	436	378	0.47	25030.29	54634	2024-05-07 05:31:01	80.67	False	True	False	True	2	fc0046	0.00005673	-14.99	-14.99	-24.07	26.51	2024-05-07 08:51:41.344861
