chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Gnt4fwe2nBqipCDm28Nr2jmLNQgtoFNyhoWN3SavbGcd	2a2KtDuDHStmPAtQYWMoZzHh4UUyZQCi2TL3tKW587EM	Kabosu	DOGE 	57	45	1348	1197	0.51	42891.31	267969	2024-05-24 06:02:46	398.2	False	False	False	True	2	819627	0.02679	9313	-93.35	-21.2	-15.47	2024-05-24 14:40:58.067610
solana	raydium	Gnt4fwe2nBqipCDm28Nr2jmLNQgtoFNyhoWN3SavbGcd	2a2KtDuDHStmPAtQYWMoZzHh4UUyZQCi2TL3tKW587EM	Kabosu	DOGE 	56	58	1270	1135	0.53	43912.33	280480	2024-05-24 06:02:46	400.48	False	False	False	True	2	819627	0.02804	9753	-94.3	-6.46	-4.09	2024-05-24 14:43:14.984825
solana	raydium	Gnt4fwe2nBqipCDm28Nr2jmLNQgtoFNyhoWN3SavbGcd	2a2KtDuDHStmPAtQYWMoZzHh4UUyZQCi2TL3tKW587EM	Kabosu	DOGE 	42	31	1137	1025	0.44	41482.81	249336	2024-05-24 06:02:46	402.78	False	False	False	True	2	819627	0.02493	8659	-92.66	-19.54	-10.87	2024-05-24 14:45:32.819074
solana	raydium	Gnt4fwe2nBqipCDm28Nr2jmLNQgtoFNyhoWN3SavbGcd	2a2KtDuDHStmPAtQYWMoZzHh4UUyZQCi2TL3tKW587EM	Kabosu	DOGE 	59	38	1105	963	0.64	42815.6	265334	2024-05-24 06:02:46	405.09	False	False	False	True	2	819627	0.02653	9221	-90.13	-4.02	-5.81	2024-05-24 14:47:51.433619
solana	raydium	Gnt4fwe2nBqipCDm28Nr2jmLNQgtoFNyhoWN3SavbGcd	2a2KtDuDHStmPAtQYWMoZzHh4UUyZQCi2TL3tKW587EM	Kabosu	DOGE 	56	46	1050	923	0.64	44532.04	288125	2024-05-24 06:02:46	407.41	False	False	False	True	2	819627	0.02881	10021	-91.09	9.85	15.77	2024-05-24 14:50:10.610077
solana	raydium	Gnt4fwe2nBqipCDm28Nr2jmLNQgtoFNyhoWN3SavbGcd	2a2KtDuDHStmPAtQYWMoZzHh4UUyZQCi2TL3tKW587EM	Kabosu	DOGE 	35	41	955	843	0.44	45298.99	296542	2024-05-24 06:02:46	409.71	False	False	False	True	2	819627	0.02965	10317	-84.62	36.43	2.35	2024-05-24 14:52:28.568787
solana	raydium	Gnt4fwe2nBqipCDm28Nr2jmLNQgtoFNyhoWN3SavbGcd	2a2KtDuDHStmPAtQYWMoZzHh4UUyZQCi2TL3tKW587EM	Kabosu	DOGE 	37	37	858	784	0.52	42889.52	265666	2024-05-24 06:02:46	412.02	False	False	False	True	2	819627	0.02656	9232	-88.09	18.22	-9.37	2024-05-24 14:54:47.081614
solana	raydium	Gnt4fwe2nBqipCDm28Nr2jmLNQgtoFNyhoWN3SavbGcd	2a2KtDuDHStmPAtQYWMoZzHh4UUyZQCi2TL3tKW587EM	Kabosu	DOGE 	37	40	831	763	0.53	47208.78	322102	2024-05-24 06:02:46	414.32	False	False	False	True	2	819627	0.03221	11215	-81.87	43.95	9.68	2024-05-24 14:57:05.445999
solana	raydium	Gnt4fwe2nBqipCDm28Nr2jmLNQgtoFNyhoWN3SavbGcd	2a2KtDuDHStmPAtQYWMoZzHh4UUyZQCi2TL3tKW587EM	Kabosu	DOGE 	36	28	666	647	0.65	39167.78	206980	2024-05-24 06:02:46	543.83	False	False	False	True	2	819627	0.02069	7171	-10.56	2.62	18.45	2024-05-24 17:06:35.714598
solana	raydium	Gnt4fwe2nBqipCDm28Nr2jmLNQgtoFNyhoWN3SavbGcd	2a2KtDuDHStmPAtQYWMoZzHh4UUyZQCi2TL3tKW587EM	Kabosu	DOGE 	30	38	609	619	0.59	39364.06	208656	2024-05-24 06:02:46	546.38	False	False	False	True	2	819627	0.02086	7230	-28.14	-2.21	11.79	2024-05-24 17:09:08.703163
