chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Gi4tmwYLtve5LjvJYyMPcdCamH7Ynbw8GW3569cCAKeG	2cGTS551CfcJdxuetozRSbCTo4yyCWDmN3dzeGWp8Tfp	kabosoo	SOO	415	228	671	337	7.42	13110.12	62218	2024-05-24 18:46:42	10.01	False	True	True	True	3	2cc5f2	0.006221	8082	8082	8082	76.03	2024-05-24 20:56:42.623221
solana	raydium	Gi4tmwYLtve5LjvJYyMPcdCamH7Ynbw8GW3569cCAKeG	2cGTS551CfcJdxuetozRSbCTo4yyCWDmN3dzeGWp8Tfp	kabosoo	SOO	340	133	1947	1041	2.1	12641.66	57189	2024-05-24 18:46:42	24.76	False	True	True	True	3	2cc5f2	0.005718	7420	7420	7420	28.09	2024-05-24 21:11:27.729678
solana	raydium	Gi4tmwYLtve5LjvJYyMPcdCamH7Ynbw8GW3569cCAKeG	2cGTS551CfcJdxuetozRSbCTo4yyCWDmN3dzeGWp8Tfp	kabosoo	SOO	311	131	2094	1084	1.78	12582.07	56673	2024-05-24 18:46:42	27.33	False	True	True	True	3	2cc5f2	0.005667	7353	7353	7353	-2.06	2024-05-24 21:14:01.712814
solana	raydium	Gi4tmwYLtve5LjvJYyMPcdCamH7Ynbw8GW3569cCAKeG	2cGTS551CfcJdxuetozRSbCTo4yyCWDmN3dzeGWp8Tfp	kabosoo	SOO	256	82	2208	1124	1.39	14052.57	69833	2024-05-24 18:46:42	29.82	False	True	True	True	3	2cc5f2	0.006983	9083	9083	9083	25.54	2024-05-24 21:16:30.933762
solana	raydium	Gi4tmwYLtve5LjvJYyMPcdCamH7Ynbw8GW3569cCAKeG	2cGTS551CfcJdxuetozRSbCTo4yyCWDmN3dzeGWp8Tfp	kabosoo	SOO	359	215	2464	1300	1.75	14549.61	71222	2024-05-24 18:46:42	32.85	False	True	True	True	3	2cc5f2	0.007122	9266	9266	9266	20.09	2024-05-24 21:19:33.036792
solana	raydium	Gi4tmwYLtve5LjvJYyMPcdCamH7Ynbw8GW3569cCAKeG	2cGTS551CfcJdxuetozRSbCTo4yyCWDmN3dzeGWp8Tfp	kabosoo	SOO	289	255	2629	1453	1.32	14522.81	67935	2024-05-24 18:46:42	35.21	False	True	True	True	3	2cc5f2	0.006793	8834	8834	8834	-1.93	2024-05-24 21:21:54.575579
solana	raydium	Gi4tmwYLtve5LjvJYyMPcdCamH7Ynbw8GW3569cCAKeG	2cGTS551CfcJdxuetozRSbCTo4yyCWDmN3dzeGWp8Tfp	kabosoo	SOO	254	241	2742	1562	1.11	13781.83	59673	2024-05-24 18:46:42	37.61	False	True	True	True	3	2cc5f2	0.005967	7747	7747	7747	-16.77	2024-05-24 21:24:18.513451
solana	raydium	Gi4tmwYLtve5LjvJYyMPcdCamH7Ynbw8GW3569cCAKeG	2cGTS551CfcJdxuetozRSbCTo4yyCWDmN3dzeGWp8Tfp	kabosoo	SOO	267	247	3134	1935	1.02	13944.84	56124	2024-05-24 18:46:42	44.74	False	True	True	True	3	2cc5f2	0.005612	7280	7280	7280	21.12	2024-05-24 21:31:26.539925
solana	raydium	Gi4tmwYLtve5LjvJYyMPcdCamH7Ynbw8GW3569cCAKeG	2cGTS551CfcJdxuetozRSbCTo4yyCWDmN3dzeGWp8Tfp	kabosoo	SOO	246	226	3267	2063	0.9	13738.6	53267	2024-05-24 18:46:42	47.23	False	True	True	True	3	2cc5f2	0.005326	6905	6905	6905	17.37	2024-05-24 21:33:55.613054
solana	raydium	Gi4tmwYLtve5LjvJYyMPcdCamH7Ynbw8GW3569cCAKeG	2cGTS551CfcJdxuetozRSbCTo4yyCWDmN3dzeGWp8Tfp	kabosoo	SOO	253	244	3398	2190	0.89	15707.71	68528	2024-05-24 18:46:42	49.59	False	True	True	True	3	2cc5f2	0.006852	8912	8912	8912	31.06	2024-05-24 21:36:17.510854
