chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	13	14	167	142	0.93	15532.88	57191	2024-05-25 07:50:06	424.36	False	True	True	True	3	2d11f1	0.0005719	3022	51.71	33.85	-1.39	2024-05-25 16:54:27.339858
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	7	9	166	143	0.51	15887.28	59822	2024-05-25 07:50:06	426.66	False	True	True	True	3	2d11f1	0.0005982	3166	131	45.83	6.03	2024-05-25 16:56:45.586450
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	2	10	159	140	0.15	15678.18	58270	2024-05-25 07:50:06	428.97	False	True	True	True	3	2d11f1	0.0005827	3081	52.61	42.56	1.89	2024-05-25 16:59:04.016529
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	4	11	162	142	0.3	15297.65	55501	2024-05-25 07:50:06	431.29	False	True	True	True	3	2d11f1	0.0005550	2930	24.58	36.64	-8.11	2024-05-25 17:01:23.371313
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	6	4	158	139	0.46	15283.46	55300	2024-05-25 07:50:06	433.6	False	True	True	True	3	2d11f1	0.0005530	2919	42.1	28.78	-4.1	2024-05-25 17:03:41.836544
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	5	5	155	138	0.39	15645.71	57897	2024-05-25 07:50:06	435.92	False	True	True	True	3	2d11f1	0.0005789	3061	53.23	28.1	4.32	2024-05-25 17:06:00.973721
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	5	7	150	139	0.4	16185.65	61973	2024-05-25 07:50:06	438.23	False	True	True	True	3	2d11f1	0.0006197	3283	61.63	28.22	10.79	2024-05-25 17:08:19.717711
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	6	5	144	137	0.5	16420.83	63808	2024-05-25 07:50:06	440.55	False	True	True	True	3	2d11f1	0.0006381	3383	62.74	29.13	10.21	2024-05-25 17:10:39.182114
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	4	7	142	140	0.34	15912.61	59827	2024-05-25 07:50:06	442.86	False	True	True	True	3	2d11f1	0.0005982	3166	59.38	21.07	-3.46	2024-05-25 17:12:57.812963
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	4	5	144	134	0.33	16118.49	61429	2024-05-25 07:50:06	445.17	False	True	True	True	3	2d11f1	0.0006143	3253	10.87	30.35	-3.73	2024-05-25 17:15:16.279130
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	11	6	148	137	0.89	15707.62	58304	2024-05-25 07:50:06	447.5	False	True	True	True	3	2d11f1	0.0005830	3083	-27.14	21.45	1.57	2024-05-25 17:17:35.948784
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	9	11	149	139	0.72	15264.15	55141	2024-05-25 07:50:06	449.87	False	True	True	True	3	2d11f1	0.0005514	2910	-8.97	8.28	-10.96	2024-05-25 17:19:58.085430
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	6	7	136	136	0.53	15229.95	54874	2024-05-25 07:50:06	452.17	False	True	True	True	3	2d11f1	0.0005487	2896	-33.54	-3.01	-5.88	2024-05-25 17:22:16.412704
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	5	8	131	132	0.46	15367.91	55813	2024-05-25 07:50:06	454.48	False	True	True	True	3	2d11f1	0.0005581	2947	-17.92	-10.71	-0.27	2024-05-25 17:24:34.665910
solana	raydium	DfRDde26CrjjbyxCeDnT5dtKapn13Lx2XnQYrK4Qxf9N	2x33ghdhqgUrSpmJAUChxpxskc55SPGtLUJqCXJiXYoR	FLOKI	FLOKI	33	14	118	117	3.36	14898.97	52300	2024-05-25 07:50:06	539.32	False	True	True	True	3	2d11f1	0.0005230	2755	-63.26	54.71	46.41	2024-05-25 18:49:25.352304
