chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	18	18	342	290	0.63	15157.21	69666	2024-05-25 16:08:56	67.6	False	True	True	True	3	f85061	0.06966	6840	6840	-34.12	-36.71	2024-05-25 19:16:32.185254
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	28	24	335	283	1.0	15239.3	70453	2024-05-25 16:08:56	69.87	False	True	True	True	3	f85061	0.07045	6918	6918	-24.79	-3.2	2024-05-25 19:18:48.356433
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	20	16	331	281	0.73	14778.74	66253	2024-05-25 16:08:56	72.17	False	True	True	True	3	f85061	0.06625	6500	6500	-23.68	-4.9	2024-05-25 19:21:05.939819
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	14	17	320	281	0.53	13796.29	57645	2024-05-25 16:08:56	74.43	False	True	True	True	3	f85061	0.05764	5642	5642	-38.34	-19.3	2024-05-25 19:23:22.002106
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	8	13	304	266	0.32	13786.74	57505	2024-05-25 16:08:56	76.7	False	True	True	True	3	f85061	0.05750	5628	5628	-41.9	-9.65	2024-05-25 19:25:38.209364
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	6	6	291	264	0.25	14436.06	63023	2024-05-25 16:08:56	78.97	False	True	True	True	3	f85061	0.06302	6178	6178	-42.27	9.21	2024-05-25 19:27:53.916216
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	10	5	287	255	0.42	14754.38	65830	2024-05-25 16:08:56	81.23	False	True	True	True	3	f85061	0.06583	6458	6458	-39.41	14.48	2024-05-25 19:30:09.873029
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	10	5	280	236	0.43	14778.58	66097	2024-05-25 16:08:56	83.5	False	True	True	True	3	f85061	0.06609	6484	6484	-35.1	13.38	2024-05-25 19:32:26.232334
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	9	7	267	227	0.4	15497.99	72756	2024-05-25 16:08:56	85.77	False	True	True	True	3	f85061	0.07275	7147	7147	-31.1	10.52	2024-05-25 19:34:42.093072
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	11	8	267	213	0.49	14907.88	67317	2024-05-25 16:08:56	88.03	False	True	True	True	3	f85061	0.06731	6606	6606	-17.64	0.5	2024-05-25 19:36:57.896809
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	10	7	267	205	0.45	14761.2	66086	2024-05-25 16:08:56	90.3	False	True	True	True	3	f85061	0.06608	6483	6483	-21.23	-6.38	2024-05-25 19:39:13.962421
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	2	8	253	200	0.09	13470.76	54997	2024-05-25 16:08:56	92.57	False	True	True	True	3	f85061	0.05499	5379	5379	-38.58	-16.61	2024-05-25 19:41:30.347381
solana	raydium	HEmQTVZzP7pbDrSbGcvwVpXyWyKv9CiMDs78MLKZBgz3	36qetGWbDKamWgmoPWBrLQnemyxmACZ7vkUueEshcKYr	JuJu The Banana Cat	JUJU	1	14	243	200	0.05	12849.28	50051	2024-05-25 16:08:56	94.85	False	True	True	True	3	f85061	0.05005	4886	4886	-27.34	-24.26	2024-05-25 19:43:46.976534
