chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	4	4	137	103	0.35	27352.16	63509	2024-05-23 14:01:30	163.69	False	True	True	True	3	ce3f6d	0.00006350	-3.46	-3.46	-14.71	0.76	2024-05-23 18:45:11.445813
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	3	6	135	106	0.27	26699.54	60444	2024-05-23 14:01:30	166.04	False	True	True	True	3	ce3f6d	0.00006044	-8.12	-8.12	-23.82	-6.24	2024-05-23 18:47:32.688464
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	2	4	134	106	0.18	26779.97	60945	2024-05-23 14:01:30	168.37	False	True	True	True	3	ce3f6d	0.00006094	-7.36	-7.36	-22.23	-4.04	2024-05-23 18:49:52.304535
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	4	2	135	102	0.36	27933.58	66242	2024-05-23 14:01:30	170.76	False	True	True	True	3	ce3f6d	0.00006624	0.69	0.69	-9.03	9.59	2024-05-23 18:52:15.564730
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	5	2	124	94	0.48	27423.34	63741	2024-05-23 14:01:30	173.15	False	True	True	True	3	ce3f6d	0.00006374	-3.11	-3.11	23.56	4.59	2024-05-23 18:54:38.930573
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	6	5	110	86	0.65	24315.55	50083	2024-05-23 14:01:30	175.51	False	True	True	True	3	ce3f6d	0.00005008	-23.87	-23.87	1.88	-22.3	2024-05-23 18:57:00.743652
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	6	3	94	76	0.77	24514.43	50421	2024-05-23 14:01:30	194.52	False	True	True	True	3	ce3f6d	0.00005042	-23.35	-23.35	-11.8	9.22	2024-05-23 19:16:01.075578
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	13	7	101	80	1.54	25142.71	52941	2024-05-23 14:01:30	196.92	False	True	True	True	3	ce3f6d	0.00005294	-19.52	-19.52	-6.49	15.46	2024-05-23 19:18:24.967444
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	10	6	105	82	1.14	25386.53	53932	2024-05-23 14:01:30	199.31	False	True	True	True	3	ce3f6d	0.00005393	-18.02	-18.02	-8.3	1.35	2024-05-23 19:20:48.377212
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	6	5	101	83	0.71	25280.15	53423	2024-05-23 14:01:30	201.68	False	True	True	True	3	ce3f6d	0.00005342	-18.79	-18.79	-14.65	0.88	2024-05-23 19:23:10.812228
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	1	5	98	81	0.12	24844.78	51583	2024-05-23 14:01:30	204.02	False	True	True	True	3	ce3f6d	0.00005158	-21.59	-21.59	-20.09	-4.36	2024-05-23 19:25:31.198870
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	0	3	89	78		24619.14	50671	2024-05-23 14:01:30	206.38	False	True	True	True	3	ce3f6d	0.00005067	-22.97	-22.97	-26.11	-5.15	2024-05-23 19:27:53.019405
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	1	2	86	78	0.14	24688.46	50869	2024-05-23 14:01:30	208.77	False	True	True	True	3	ce3f6d	0.00005086	-22.67	-22.67	-30.04	-1.39	2024-05-23 19:30:15.976775
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	2	1	84	71	0.29	24731.82	51042	2024-05-23 14:01:30	211.11	False	True	True	True	3	ce3f6d	0.00005104	-22.41	-22.41	-26.91	0.73	2024-05-23 19:32:36.677805
solana	raydium	AdusoSj4rpqAdbjKsBGG9fZbYbHmA2bGbMhZYUEDnrf9	49xnJumyhPreTYgvBzyAgWyCngF69DLPHu8SPTVYKJXT	CRYPTOESTIGMA	ESTIGMA	0	1	83	70		24514.56	50297	2024-05-23 14:01:30	213.5	False	True	True	True	3	ce3f6d	0.00005029	-23.54	-23.54	-18.47	-1.46	2024-05-23 19:34:59.894105
