chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	97	35	97	35	12.0	32013.33	88059	2024-05-22 22:56:21	2.04	False	True	True	True	3	28b55f	0.00008805	29.1	29.1	29.1	29.1	2024-05-23 00:58:23.365385
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	210	120	210	120	12.0	31207.81	83146	2024-05-22 22:56:21	4.35	False	True	True	True	3	28b55f	0.00008314	21.89	21.89	21.89	21.89	2024-05-23 01:00:41.980699
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	232	201	334	241	8.34	24961.99	52901	2024-05-22 22:56:21	6.64	False	True	True	True	3	28b55f	0.00005290	-22.45	-22.45	-22.45	-36.72	2024-05-23 01:02:59.509248
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	184	196	393	313	5.62	25885.81	56681	2024-05-22 22:56:21	8.95	False	True	True	True	3	28b55f	0.00005668	-16.9	-16.9	-16.9	-33.06	2024-05-23 01:05:17.714277
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	90	95	445	352	2.43	27334.13	63132	2024-05-22 22:56:21	11.23	False	True	True	True	3	28b55f	0.00006313	-7.45	-7.45	-7.45	10.23	2024-05-23 01:07:34.552593
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	82	56	479	373	2.05	26685.78	60062	2024-05-22 22:56:21	13.52	False	True	True	True	3	28b55f	0.00006006	-11.95	-11.95	-11.95	7.58	2024-05-23 01:09:52.207642
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	62	50	504	402	1.48	26917.54	60923	2024-05-22 22:56:21	15.81	False	True	True	True	3	28b55f	0.00006092	-10.69	-10.69	-10.69	-0.23	2024-05-23 01:12:09.492506
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	41	51	516	421	0.95	27784.64	64946	2024-05-22 22:56:21	18.1	False	True	True	True	3	28b55f	0.00006494	-4.79	-4.79	-4.79	2.06	2024-05-23 01:14:26.817565
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	21	35	528	440	0.48	25129.27	53284	2024-05-22 22:56:21	20.43	False	True	True	True	3	28b55f	0.00005328	-21.88	-21.88	-21.88	-12.46	2024-05-23 01:16:46.554267
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	58	40	574	461	1.21	26316.18	58331	2024-05-22 22:56:21	22.77	False	True	True	True	3	28b55f	0.00005833	-14.48	-14.48	-14.48	-10.18	2024-05-23 01:19:06.988049
solana	raydium	9z7UTKxknf99WT5ctYrmXDzwW2Qdr7Ck1v379TL1ySsu	5ofNNEzZZz2H1Zia97BQXKrTLX2795qRcbGHC5B8xrLa	Bwekfast	BWEK	46	29	588	480	0.94	24971	52527	2024-05-22 22:56:21	25.09	False	True	True	True	3	28b55f	0.00005252	-22.99	-22.99	-22.99	13.83	2024-05-23 01:21:26.441429
