chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	GtMkWg2GqcjEV653jv9QLLjqibpL4F2X2FMkgiyb5v5H	6L6MXnP7T5Agy2TmpuitwtbbYk2ZXdMFzgzThPyNebKZ	Rat	RAT	8	12	346	293	0.28	17283.72	62536	2024-05-25 06:53:22	543.53	False	True	True	True	3	c45fc8	0.00006317	6952	-57.16	-23.94	-11.2	2024-05-25 17:56:53.783186
solana	raydium	GtMkWg2GqcjEV653jv9QLLjqibpL4F2X2FMkgiyb5v5H	6L6MXnP7T5Agy2TmpuitwtbbYk2ZXdMFzgzThPyNebKZ	Rat	RAT	12	7	316	268	0.46	17145.12	61546	2024-05-25 06:53:22	545.83	False	True	True	True	3	c45fc8	0.00006217	6840	-57.31	-30.66	-6.39	2024-05-25 17:59:11.747327
solana	raydium	GtMkWg2GqcjEV653jv9QLLjqibpL4F2X2FMkgiyb5v5H	6L6MXnP7T5Agy2TmpuitwtbbYk2ZXdMFzgzThPyNebKZ	Rat	RAT	22	10	304	248	0.87	17146.31	61497	2024-05-25 06:53:22	548.13	False	True	True	True	3	c45fc8	0.00006212	6834	-66.5	-21.93	-1.76	2024-05-25 18:01:29.932726
solana	raydium	GtMkWg2GqcjEV653jv9QLLjqibpL4F2X2FMkgiyb5v5H	6L6MXnP7T5Agy2TmpuitwtbbYk2ZXdMFzgzThPyNebKZ	Rat	RAT	19	12	285	238	0.8	16987.55	60350	2024-05-25 06:53:22	550.43	False	True	True	True	3	c45fc8	0.00006097	6705	-67.89	-22.45	7.54	2024-05-25 18:03:47.557978
solana	raydium	GtMkWg2GqcjEV653jv9QLLjqibpL4F2X2FMkgiyb5v5H	6L6MXnP7T5Agy2TmpuitwtbbYk2ZXdMFzgzThPyNebKZ	Rat	RAT	19	10	272	226	0.84	16153.13	54521	2024-05-25 06:53:22	552.72	False	True	True	True	3	c45fc8	0.00005508	6048	-73.18	-37.54	-11.34	2024-05-25 18:06:05.279878
solana	raydium	GtMkWg2GqcjEV653jv9QLLjqibpL4F2X2FMkgiyb5v5H	6L6MXnP7T5Agy2TmpuitwtbbYk2ZXdMFzgzThPyNebKZ	Rat	RAT	26	7	274	211	1.14	16390.7	56127	2024-05-25 06:53:22	555.02	False	True	True	True	3	c45fc8	0.00005670	6229	-67.31	-35.05	-7	2024-05-25 18:08:23.375803
solana	raydium	GtMkWg2GqcjEV653jv9QLLjqibpL4F2X2FMkgiyb5v5H	6L6MXnP7T5Agy2TmpuitwtbbYk2ZXdMFzgzThPyNebKZ	Rat	RAT	18	8	271	205	0.8	16138.53	54376	2024-05-25 06:53:22	557.33	False	True	True	True	3	c45fc8	0.00005493	6031	-67.86	-40.16	-0.72	2024-05-25 18:10:41.825694
solana	raydium	GtMkWg2GqcjEV653jv9QLLjqibpL4F2X2FMkgiyb5v5H	6L6MXnP7T5Agy2TmpuitwtbbYk2ZXdMFzgzThPyNebKZ	Rat	RAT	10	7	269	194	0.45	16110.43	54199	2024-05-25 06:53:22	559.63	False	True	True	True	3	c45fc8	0.00005475	6011	-64	-32.39	-2.85	2024-05-25 18:12:59.669172
solana	raydium	GtMkWg2GqcjEV653jv9QLLjqibpL4F2X2FMkgiyb5v5H	6L6MXnP7T5Agy2TmpuitwtbbYk2ZXdMFzgzThPyNebKZ	Rat	RAT	3	5	261	192	0.14	15851.07	52505	2024-05-25 06:53:22	561.94	False	True	True	True	3	c45fc8	0.00005304	5820	-68.88	-27.18	-3.44	2024-05-25 18:15:18.521263
solana	raydium	GtMkWg2GqcjEV653jv9QLLjqibpL4F2X2FMkgiyb5v5H	6L6MXnP7T5Agy2TmpuitwtbbYk2ZXdMFzgzThPyNebKZ	Rat	RAT	24	10	264	189	1.09	15543.17	50640	2024-05-25 06:53:22	564.24	False	True	True	True	3	c45fc8	0.00005116	5610	-75.15	-36.61	-6.57	2024-05-25 18:17:36.269298
