chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5227maBQohK7sciAauuLkf8Batg8jkssdrpeT8c55GBj	6iPjmSsMZQs4UsjhwSfCoYn4DYvAA2MuVVufdTPRP6ER	Kum & Go (fan token) 	KUMGO	0	3	105	77		26138.23	54185	2024-05-23 16:59:45	145.29	False	True	True	True	3	872d06	0.00006051	-16.18	-16.18	-25.48	-31.22	2024-05-23 21:25:02.478332
solana	raydium	5227maBQohK7sciAauuLkf8Batg8jkssdrpeT8c55GBj	6iPjmSsMZQs4UsjhwSfCoYn4DYvAA2MuVVufdTPRP6ER	Kum & Go (fan token) 	KUMGO	1	6	101	79	0.12	25456.51	51388	2024-05-23 16:59:45	148.03	False	True	True	True	3	872d06	0.00005738	-20.51	-20.51	-29.68	-34.77	2024-05-23 21:27:46.632475
solana	raydium	5227maBQohK7sciAauuLkf8Batg8jkssdrpeT8c55GBj	6iPjmSsMZQs4UsjhwSfCoYn4DYvAA2MuVVufdTPRP6ER	Kum & Go (fan token) 	KUMGO	0	3	57	80		25323.54	50840	2024-05-23 16:59:45	150.72	False	True	True	True	3	872d06	0.00005677	-21.36	-21.36	-62.06	-1.28	2024-05-23 21:30:28.467843
solana	raydium	5227maBQohK7sciAauuLkf8Batg8jkssdrpeT8c55GBj	6iPjmSsMZQs4UsjhwSfCoYn4DYvAA2MuVVufdTPRP6ER	Kum & Go (fan token) 	KUMGO	0	0	24	66		25323.54	50840	2024-05-23 16:59:45	153.41	False	True	True	True	3	872d06	0.00005677	-21.36	-21.36	-49.79	0	2024-05-23 21:33:09.677979
solana	raydium	5227maBQohK7sciAauuLkf8Batg8jkssdrpeT8c55GBj	6iPjmSsMZQs4UsjhwSfCoYn4DYvAA2MuVVufdTPRP6ER	Kum & Go (fan token) 	KUMGO	0	0	16	60		25323.54	50840	2024-05-23 16:59:45	156.17	False	True	True	True	3	872d06	0.00005677	-21.36	-21.36	-48.37	0	2024-05-23 21:35:55.498129
solana	raydium	5227maBQohK7sciAauuLkf8Batg8jkssdrpeT8c55GBj	6iPjmSsMZQs4UsjhwSfCoYn4DYvAA2MuVVufdTPRP6ER	Kum & Go (fan token) 	KUMGO	4	4	19	49	2.53	25213.81	50152	2024-05-23 16:59:45	159.02	False	True	True	True	3	872d06	0.00005600	-22.42	-22.42	-46.01	-1.35	2024-05-23 21:38:46.016693
solana	raydium	5227maBQohK7sciAauuLkf8Batg8jkssdrpeT8c55GBj	6iPjmSsMZQs4UsjhwSfCoYn4DYvAA2MuVVufdTPRP6ER	Kum & Go (fan token) 	KUMGO	1	1	16	39	0.75	25213.81	50152	2024-05-23 16:59:45	161.79	False	True	True	True	3	872d06	0.00005600	-22.42	-22.42	-44.84	-3.03	2024-05-23 21:41:32.233725
solana	raydium	5227maBQohK7sciAauuLkf8Batg8jkssdrpeT8c55GBj	6iPjmSsMZQs4UsjhwSfCoYn4DYvAA2MuVVufdTPRP6ER	Kum & Go (fan token) 	KUMGO	0	0	15	31		25213.81	50152	2024-05-23 16:59:45	164.47	False	True	True	True	3	872d06	0.00005600	-22.42	-22.42	-42.01	0	2024-05-23 21:44:13.209901
solana	raydium	5227maBQohK7sciAauuLkf8Batg8jkssdrpeT8c55GBj	6iPjmSsMZQs4UsjhwSfCoYn4DYvAA2MuVVufdTPRP6ER	Kum & Go (fan token) 	KUMGO	2	0	15	27	1.6	25505.99	51577	2024-05-23 16:59:45	167.27	False	True	True	True	3	872d06	0.00005759	-20.22	-20.22	-39.43	2.84	2024-05-23 21:47:01.341247
solana	raydium	5227maBQohK7sciAauuLkf8Batg8jkssdrpeT8c55GBj	6iPjmSsMZQs4UsjhwSfCoYn4DYvAA2MuVVufdTPRP6ER	Kum & Go (fan token) 	KUMGO	2	1	16	23	1.5	25450.49	51359	2024-05-23 16:59:45	169.96	False	True	True	True	3	872d06	0.00005735	-20.56	-20.56	-37.46	0.81	2024-05-23 21:49:42.810822
