chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	32	41	414	511	0.93	87652.06	716074	2024-05-23 17:04:21	138.19	False	True	True	True	3	41497e	0.0007160	27355	27355	-35.24	2.61	2024-05-23 21:22:32.218613
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	34	46	417	525	0.98	93444	813238	2024-05-23 17:04:21	140.69	False	True	True	True	3	41497e	0.0008132	31081	31081	-26.85	11.51	2024-05-23 21:25:02.476328
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	32	44	422	541	0.91	92773.93	801413	2024-05-23 17:04:21	143.4	False	True	True	True	3	41497e	0.0008014	30627	30627	-26.64	11.59	2024-05-23 21:27:44.867506
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	36	41	427	546	1.01	87294.18	705241	2024-05-23 17:04:21	146.09	False	True	True	True	3	41497e	0.0007052	26940	26940	-38.96	-9.33	2024-05-23 21:30:26.689926
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	30	33	426	552	0.85	86105.18	687281	2024-05-23 17:04:21	148.81	False	True	True	True	3	41497e	0.0006872	26251	26251	-33.31	-13.73	2024-05-23 21:33:09.675975
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	31	63	436	585	0.85	85448.41	673511	2024-05-23 17:04:21	151.57	False	True	True	True	3	41497e	0.0006735	25723	25723	-21.23	1.79	2024-05-23 21:35:55.496172
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	35	32	433	592	0.97	80938.08	605965	2024-05-23 17:04:21	154.42	False	True	True	True	3	41497e	0.0006059	23134	23134	-36.3	-9.73	2024-05-23 21:38:46.013696
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	34	37	439	595	0.93	70739.62	462744	2024-05-23 17:04:21	157.19	False	True	True	True	3	41497e	0.0004627	17642	17642	-53.3	-34.95	2024-05-23 21:41:32.231725
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	51	37	460	594	1.33	62101.39	356092	2024-05-23 17:04:21	159.87	False	True	True	True	3	41497e	0.0003560	13553	13553	-64.42	-37.57	2024-05-23 21:44:13.208913
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	25	70	468	627	0.64	44479.49	183242	2024-05-23 17:04:21	162.62	False	True	True	True	3	41497e	0.0001832	6926	6926	-80.39	-59.71	2024-05-23 21:46:58.490762
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	40	72	472	637	1.02	39531.85	144542	2024-05-23 17:04:21	165.34	False	True	True	True	3	41497e	0.0001445	5442	5442	-83.3	-44.94	2024-05-23 21:49:41.160137
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	33	63	478	658	0.83	35333.85	115458	2024-05-23 17:04:21	167.95	False	True	True	True	3	41497e	0.0001154	4327	4327	-86.29	-34.13	2024-05-23 21:52:17.867032
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	28	66	471	681	0.71	29607.18	80861	2024-05-23 17:04:21	170.6	False	True	True	True	3	41497e	0.00008086	3000	3000	-90.81	-37.86	2024-05-23 21:54:57.007995
solana	raydium	APoqaDdk9ou1Lq2xZ8UpEiTu5UYmxXbanQqJTrk8Xuta	7CMCqT1uiPVPJuLBko9pmHKuAc1c5LHZZG9BSsGnFmTf	RAJEET	RAJEET	19	51	467	681	0.49	24772.53	56520	2024-05-23 17:04:21	173.24	False	True	True	True	3	41497e	0.00005651	2067	2067	-93.82	-51.29	2024-05-23 21:57:35.239284
