chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	141	76	1058	752	1.6	190408.12	1927434	2024-05-23 02:12:16	615.58	False	True	True	True	3	fcb578	0.002050	2901	4.43	-31.98	1.58	2024-05-23 14:27:50.526477
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	106	112	1050	786	1.21	190598.96	1931452	2024-05-23 02:12:16	617.98	False	True	True	True	3	fcb578	0.002054	2907	7.82	-33.9	3.5	2024-05-23 14:30:14.530655
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	68	88	1048	793	0.78	194756.49	2014927	2024-05-23 02:12:16	620.33	False	True	True	True	3	fcb578	0.002143	3037	23.49	-26.54	0.79	2024-05-23 14:32:36.039979
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	51	74	1049	806	0.58	199564.65	2118035	2024-05-23 02:12:16	622.75	False	True	True	True	3	fcb578	0.002253	3198	45.85	-23.88	9.42	2024-05-23 14:35:01.108161
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	67	57	1084	820	0.74	197029.35	2064329	2024-05-23 02:12:16	625.19	False	True	True	True	3	fcb578	0.002196	3114	25.38	-24.06	2.45	2024-05-23 14:37:27.292468
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	57	45	1038	813	0.66	193280.09	1984849	2024-05-23 02:12:16	627.7	False	True	True	True	3	fcb578	0.002111	2991	16.79	-25.25	-5.12	2024-05-23 14:39:57.752306
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	78	46	1076	817	0.87	190117.23	1926650	2024-05-23 02:12:16	630.18	False	True	True	True	3	fcb578	0.002049	2900	17.12	-24.03	-9.17	2024-05-23 14:42:26.566481
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	71	43	1086	801	0.78	185507.86	1837494	2024-05-23 02:12:16	632.64	False	True	True	True	3	fcb578	0.001954	2761	16.34	-33.56	-1.33	2024-05-23 14:44:54.356775
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	85	52	1118	825	0.91	188942.43	1910151	2024-05-23 02:12:16	635.07	False	True	True	True	3	fcb578	0.002032	2874	39.84	-22.97	-1.09	2024-05-23 14:47:20.465801
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	48	40	1035	796	0.56	189183.61	1914469	2024-05-23 02:12:16	637.47	False	True	True	True	3	fcb578	0.002036	2881	37.26	-16.71	6.75	2024-05-23 14:49:44.372471
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	37	37	1012	779	0.44	186005.54	1848048	2024-05-23 02:12:16	640.12	False	True	True	True	3	fcb578	0.001966	2778	53.34	-19.49	-3.7	2024-05-23 14:52:23.195362
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	37	32	989	729	0.45	183199.29	1791738	2024-05-23 02:12:16	642.66	False	True	True	True	3	fcb578	0.001906	2690	17.84	-25.98	-5.16	2024-05-23 14:54:55.874869
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	58	36	998	715	0.7	181113.62	1756007	2024-05-23 02:12:16	645.04	False	True	True	True	3	fcb578	0.001868	2634	11.62	-29.49	-4.72	2024-05-23 14:57:18.544046
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	60	27	1019	702	0.71	178147.48	1711840	2024-05-23 02:12:16	647.4	False	True	True	True	3	fcb578	0.001821	2566	2.32	-28.66	-3.19	2024-05-23 14:59:40.114032
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	57	46	1018	715	0.67	181079	1762082	2024-05-23 02:12:16	649.83	False	True	True	True	3	fcb578	0.001874	2644	8.17	-16.85	2.54	2024-05-23 15:02:06.042565
solana	raydium	54jK9t3be8KhxManfTUKSQMUdtk85gq9dHMtYZ1isVNs	8JAoMxhNwJbMPMHTtdUnHafUhr43rbF6odddfFFfzb3N	ZION THOMAS	ZION	62	70	1006	748	0.74	190723.39	1953706	2024-05-23 02:12:16	652.21	False	True	True	True	3	fcb578	0.002078	2942	20.67	-11.29	9.69	2024-05-23 15:04:28.749638
