chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	1	7	182	254	0.07	53534.39	70800	2024-05-23 17:28:55	108.83	False	True	True	True	3	0f7437	0.0001638	225	225	-55.64	-5.35	2024-05-23 21:17:44.958052
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	1	4	156	245	0.08	53925.78	71703	2024-05-23 17:28:55	111.25	False	True	True	True	3	0f7437	0.0001659	230	230	-58.42	0.99	2024-05-23 21:20:09.733299
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	0	4	130	221		52112.52	67232	2024-05-23 17:28:55	113.58	False	True	True	True	3	0f7437	0.0001556	209	209	-59.09	-6.08	2024-05-23 21:22:29.731393
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	0	3	119	212		51748.69	66291	2024-05-23 17:28:55	116.1	False	True	True	True	3	0f7437	0.0001534	205	205	-58.1	-6.93	2024-05-23 21:25:00.833031
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	2	4	105	176	0.23	52043.86	67049	2024-05-23 17:28:55	118.8	False	True	True	True	3	0f7437	0.0001552	208	208	-48.52	-0.27	2024-05-23 21:27:42.910172
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	1	3	102	149	0.12	52141.4	66982	2024-05-23 17:28:55	121.5	False	True	True	True	3	0f7437	0.0001550	208	208	-42.55	0.22	2024-05-23 21:30:24.884512
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	0	5	90	121		51384.21	65127	2024-05-23 17:28:55	124.19	False	True	True	True	3	0f7437	0.0001507	199	199	-27.26	-2.87	2024-05-23 21:33:06.173313
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	0	5	83	105		50745.18	63309	2024-05-23 17:28:55	126.97	False	True	True	True	3	0f7437	0.0001465	191	191	-17.5	-4.67	2024-05-23 21:35:53.433991
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	1	8	81	99	0.15	49631.05	60616	2024-05-23 17:28:55	129.79	False	True	True	True	3	0f7437	0.0001403	179	179	-15.9	-6.16	2024-05-23 21:38:42.374945
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	0	9	61	97		48273.9	57402	2024-05-23 17:28:55	132.58	False	True	True	True	3	0f7437	0.0001328	164	164	-29.31	-9.01	2024-05-23 21:41:29.806273
solana	raydium	FvJFghmM2Rt7X2FzshVBoaQ9zpxj8ZsHCqdKVLc337Kd	9QLeGHYKt7DYh8oUDg6Bd47z5oYB1VjfwHcQ4v4Tt3zi	Bivis and Tremp	BITR	0	8	50	101		46802.46	53948	2024-05-23 17:28:55	135.28	False	True	True	True	3	0f7437	0.0001248	148	148	-37	-9.88	2024-05-23 21:44:11.633753
