chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	203	144	233	155	10.45	25625.04	56350	2024-05-25 10:03:43	5.58	False	True	True	True	3	cae13f	0.00005869	-9.94	-9.94	-9.94	-12.22	2024-05-25 12:09:17.650619
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	126	110	298	213	5.07	26798.94	61453	2024-05-25 10:03:43	8.45	False	True	True	True	3	cae13f	0.00006401	-1.79	-1.79	-1.79	44.08	2024-05-25 12:12:10.136109
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	66	63	325	241	2.44	26185.83	58469	2024-05-25 10:03:43	11.14	False	True	True	True	3	cae13f	0.00006090	-6.56	-6.56	-6.56	-2.47	2024-05-25 12:14:51.368741
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	45	47	356	273	1.52	27218.56	63081	2024-05-25 10:03:43	13.73	False	True	True	True	3	cae13f	0.00006570	0.81	0.81	0.81	16.02	2024-05-25 12:17:26.820820
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	114	47	443	295	3.09	28905.12	71069	2024-05-25 10:03:43	16.56	False	True	True	True	3	cae13f	0.00007403	13.58	13.58	13.58	26.16	2024-05-25 12:20:16.488202
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	149	74	524	350	3.41	40181.01	136909	2024-05-25 10:03:43	19.26	False	True	True	True	3	cae13f	0.0001426	119	119	119	89.24	2024-05-25 12:22:58.844187
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	154	101	620	406	2.98	33312.64	93690	2024-05-25 10:03:43	21.91	False	True	True	True	3	cae13f	0.00009759	49.73	49.73	49.73	10.27	2024-05-25 12:25:37.463861
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	135	107	714	479	2.27	31569.55	84043	2024-05-25 10:03:43	24.96	False	True	True	True	3	cae13f	0.00008754	34.32	34.32	34.32	-30.39	2024-05-25 12:28:40.420013
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	106	103	755	535	1.68	28795.61	69828	2024-05-25 10:03:43	27.21	False	True	True	True	3	cae13f	0.00007273	11.6	11.6	11.6	-8.56	2024-05-25 12:30:55.875614
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	92	110	801	586	1.38	28158.69	66501	2024-05-25 10:03:43	29.49	False	True	True	True	3	cae13f	0.00006927	6.28	6.28	6.28	-22.53	2024-05-25 12:33:12.541786
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	79	95	825	620	1.15	26271.5	57923	2024-05-25 10:03:43	31.76	False	True	True	True	3	cae13f	0.00006033	-7.43	-7.43	-7.43	-12.36	2024-05-25 12:35:28.514272
solana	raydium	3S2Ha8cVCAvVQNEQfLaQD4xmyd9Nhn2WRrNPcCw5qZEr	BpY9bNJQqgziGU1AwGvibD4PE9jqa1Nh3zPRB4RwQrsp	pov dog	pov dog	55	43	862	637	0.77	27070.07	61467	2024-05-25 10:03:43	34.03	False	True	True	True	3	cae13f	0.00006402	-1.76	-1.76	-1.76	-5.03	2024-05-25 12:37:44.684435
