chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	4Nuaxp4ZtenfVCnB8mkMPYCfbC5dEw8iXEQJhL8UbQDZ	ENM1YkRTDvvbmnZZQJB58hwT1o3ycxaHdQypVFjodAwv	Life Before Crypto	LBC	32	41	1067	721	0.36	29311.45	72268	2024-05-24 23:59:39	55.23	False	True	False	True	2	2b624f	0.00007226	8.43	8.43	8.43	-13.33	2024-05-25 02:54:52.611279
solana	raydium	4Nuaxp4ZtenfVCnB8mkMPYCfbC5dEw8iXEQJhL8UbQDZ	ENM1YkRTDvvbmnZZQJB58hwT1o3ycxaHdQypVFjodAwv	Life Before Crypto	LBC	35	35	1086	728	0.39	30412.25	77847	2024-05-24 23:59:39	57.52	False	True	False	True	2	2b624f	0.00007784	16.8	16.8	16.8	-10.96	2024-05-25 02:57:10.096089
solana	raydium	4Nuaxp4ZtenfVCnB8mkMPYCfbC5dEw8iXEQJhL8UbQDZ	ENM1YkRTDvvbmnZZQJB58hwT1o3ycxaHdQypVFjodAwv	Life Before Crypto	LBC	41	15	1071	726	0.46	33081.7	92089	2024-05-24 23:59:39	59.79	False	True	False	True	2	2b624f	0.00009208	38.17	38.17	3.98	13.17	2024-05-25 02:59:26.592390
solana	raydium	4Nuaxp4ZtenfVCnB8mkMPYCfbC5dEw8iXEQJhL8UbQDZ	ENM1YkRTDvvbmnZZQJB58hwT1o3ycxaHdQypVFjodAwv	Life Before Crypto	LBC	34	26	1016	690	0.4	31164.98	81613	2024-05-24 23:59:39	62.07	False	True	False	True	2	2b624f	0.00008161	22.45	22.45	40.5	4.36	2024-05-25 03:01:42.940268
solana	raydium	4Nuaxp4ZtenfVCnB8mkMPYCfbC5dEw8iXEQJhL8UbQDZ	ENM1YkRTDvvbmnZZQJB58hwT1o3ycxaHdQypVFjodAwv	Life Before Crypto	LBC	18	25	939	658	0.23	30643	78950	2024-05-24 23:59:39	64.34	False	True	False	True	2	2b624f	0.00007895	18.46	18.46	12.04	-14.27	2024-05-25 03:03:59.360748
solana	raydium	4Nuaxp4ZtenfVCnB8mkMPYCfbC5dEw8iXEQJhL8UbQDZ	ENM1YkRTDvvbmnZZQJB58hwT1o3ycxaHdQypVFjodAwv	Life Before Crypto	LBC	19	22	890	639	0.26	26976.15	60990	2024-05-24 23:59:39	66.63	False	True	False	True	2	2b624f	0.00006098	-8.49	-8.49	-12.73	-26.02	2024-05-25 03:06:16.616154
solana	raydium	4Nuaxp4ZtenfVCnB8mkMPYCfbC5dEw8iXEQJhL8UbQDZ	ENM1YkRTDvvbmnZZQJB58hwT1o3ycxaHdQypVFjodAwv	Life Before Crypto	LBC	25	23	829	612	0.36	26383.55	58379	2024-05-24 23:59:39	68.9	False	True	False	True	2	2b624f	0.00005837	-12.41	-12.41	-23.79	-30.32	2024-05-25 03:08:32.706233
solana	raydium	4Nuaxp4ZtenfVCnB8mkMPYCfbC5dEw8iXEQJhL8UbQDZ	ENM1YkRTDvvbmnZZQJB58hwT1o3ycxaHdQypVFjodAwv	Life Before Crypto	LBC	30	19	807	596	0.45	28202.6	66664	2024-05-24 23:59:39	71.17	False	True	False	True	2	2b624f	0.00006666	0.02	0.02	-21.18	8.57	2024-05-25 03:10:49.111614
solana	raydium	4Nuaxp4ZtenfVCnB8mkMPYCfbC5dEw8iXEQJhL8UbQDZ	ENM1YkRTDvvbmnZZQJB58hwT1o3ycxaHdQypVFjodAwv	Life Before Crypto	LBC	23	13	743	551	0.37	28706.95	69121	2024-05-24 23:59:39	73.46	False	True	False	True	2	2b624f	0.00006912	3.71	3.71	42.56	16.78	2024-05-25 03:13:06.501820
solana	raydium	4Nuaxp4ZtenfVCnB8mkMPYCfbC5dEw8iXEQJhL8UbQDZ	ENM1YkRTDvvbmnZZQJB58hwT1o3ycxaHdQypVFjodAwv	Life Before Crypto	LBC	21	24	703	525	0.36	25654.49	55108	2024-05-24 23:59:39	75.73	False	True	False	True	2	2b624f	0.00005510	-17.32	-17.32	4.65	-13.58	2024-05-25 03:15:23.009503
