chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	125	73	217	78	6.91	15151.56	62855	2024-05-22 22:03:20	5.56	False	True	True	True	3	c0778d	0.00006285	6654	6654	6654	145	2024-05-23 00:08:53.405114
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	109	71	257	111	5.09	15202.11	63188	2024-05-22 22:03:20	7.87	False	True	True	True	3	c0778d	0.00006318	6689	6689	6689	59.41	2024-05-23 00:11:12.266476
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	56	33	314	146	2.14	15353.92	64214	2024-05-22 22:03:20	12.57	False	True	True	True	3	c0778d	0.00006421	6800	6800	6800	6.98	2024-05-23 00:15:54.318342
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	59	21	345	158	2.05	15962.06	69319	2024-05-22 22:03:20	14.91	False	True	True	True	3	c0778d	0.00006931	7348	7348	7348	52.06	2024-05-23 00:18:14.651374
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	56	31	376	182	1.79	18098.33	88738	2024-05-22 22:03:20	17.34	False	True	True	True	3	c0778d	0.00008873	9435	9435	9435	38.4	2024-05-23 00:20:40.377680
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	55	45	405	206	1.63	16864.78	77156	2024-05-22 22:03:20	19.81	False	True	True	True	3	c0778d	0.00007715	8190	8190	8190	9.76	2024-05-23 00:23:08.625951
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	70	36	478	243	1.76	13928.82	52556	2024-05-22 22:03:20	24.78	False	True	True	True	3	c0778d	0.00005255	5547	5547	5547	-33.1	2024-05-23 00:28:06.798579
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	80	29	584	298	1.64	16701.81	75403	2024-05-22 22:03:20	31.85	False	True	True	True	3	c0778d	0.00007540	8002	8002	8002	225	2024-05-23 00:35:11.257675
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	102	59	638	338	1.92	16723.19	75357	2024-05-22 22:03:20	34.19	False	True	True	True	3	c0778d	0.00007535	7997	7997	7997	89.49	2024-05-23 00:37:31.169683
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	83	60	675	364	1.48	19281.66	99725	2024-05-22 22:03:20	36.53	False	True	True	True	3	c0778d	0.00009972	10615	10615	10615	44.55	2024-05-23 00:39:52.095122
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	76	67	715	405	1.28	16455.06	72223	2024-05-22 22:03:20	38.87	False	True	True	True	3	c0778d	0.00007222	7660	7660	7660	-7.13	2024-05-23 00:42:12.456145
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	60	56	744	437	0.97	14311.83	54419	2024-05-22 22:03:20	41.22	False	True	True	True	3	c0778d	0.00005441	5747	5747	5747	-39.66	2024-05-23 00:44:33.343205
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	59	42	778	448	0.91	15905.88	67269	2024-05-22 22:03:20	43.58	False	True	True	True	3	c0778d	0.00006726	7128	7128	7128	-10.85	2024-05-23 00:46:54.582356
solana	raydium	AQjFqUDQ8bVKMiufB3KqgYYEkGC713t3tnZc2FXvz4F9	EpepcsxdonKExsptVY53yRyG3gqgUkDFEWBvPK7LJcNx	Epep	EPEP	58	29	802	466	0.87	14790.3	57896	2024-05-22 22:03:20	45.88	False	True	True	True	3	c0778d	0.00005789	6121	6121	6121	6.39	2024-05-23 00:49:12.533327
