chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	193	90	2802	2237	0.83	336915.25	5660959	2024-05-24 05:56:50	404.13	False	True	True	True	3	1f4ab7	0.005660	8730	2173	-12.47	-9.59	2024-05-24 14:40:58.068607
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	193	108	2720	2191	0.85	343654.81	5876952	2024-05-24 05:56:50	406.42	False	True	True	True	3	1f4ab7	0.005876	9067	1554	-16.24	-3.17	2024-05-24 14:43:14.986398
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	249	171	2836	2169	1.05	325031.95	5232580	2024-05-24 05:56:50	408.71	False	True	True	True	3	1f4ab7	0.005232	8062	1270	-27.89	-6.95	2024-05-24 14:45:32.820077
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	247	169	2827	2136	1.05	331606.3	5438382	2024-05-24 05:56:50	411.02	False	True	True	True	3	1f4ab7	0.005438	8383	1192	-25.68	-8.06	2024-05-24 14:47:51.434618
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	293	202	2978	2234	1.18	309500.81	4737406	2024-05-24 05:56:50	413.34	False	True	True	True	3	1f4ab7	0.004737	7290	891	-33.15	-13.71	2024-05-24 14:50:10.611028
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	465	339	3131	2387	1.78	315470.33	4874468	2024-05-24 05:56:50	415.66	False	True	True	True	3	1f4ab7	0.004874	7504	611	-27.51	-6.76	2024-05-24 14:52:29.530501
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	367	292	3124	2428	1.41	308701.02	4666647	2024-05-24 05:56:50	417.96	False	True	True	True	3	1f4ab7	0.004666	7179	643	-30.35	-2.44	2024-05-24 14:54:47.787362
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	333	200	3262	2475	1.23	299806.06	4392471	2024-05-24 05:56:50	420.27	False	True	True	True	3	1f4ab7	0.004392	6752	429	-36.6	-10.11	2024-05-24 14:57:06.156738
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	146	184	2749	2000	0.64	312808.7	4392787	2024-05-24 05:56:50	549.77	False	True	True	True	3	1f4ab7	0.004392	6752	-7.24	-13.31	8.56	2024-05-24 17:06:36.440174
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	213	244	2819	2098	0.91	346061.38	5345535	2024-05-24 05:56:50	552.31	False	True	True	True	3	1f4ab7	0.005345	8238	19.52	0.81	24.06	2024-05-24 17:09:08.704163
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	312	294	2924	2192	1.28	334385.84	4965683	2024-05-24 05:56:50	554.62	False	True	True	True	3	1f4ab7	0.004965	7646	15.54	-6.63	8.13	2024-05-24 17:11:27.142045
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	492	248	3241	2349	1.82	291809.64	3760694	2024-05-24 05:56:50	558.6	False	True	True	True	3	1f4ab7	0.003760	5766	-33.62	-25.65	-24.16	2024-05-24 17:15:25.738982
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	545	313	3472	2496	1.88	304962.39	4081696	2024-05-24 05:56:50	561.13	False	True	True	True	3	1f4ab7	0.004081	6267	-22.7	-22.23	-5.55	2024-05-24 17:17:57.602650
solana	raydium	5S6oAEZBvFmtjZ5UmGjc6DNJWTTyCnwdRHrorzVaJhz	FJup6BbEBoCeFJZtqW4qcaqABLco5SkV8683do38P9tu	Kabosu	Kabosu	249	265	3528	2564	0.85	304130.74	4036792	2024-05-24 05:56:50	563.72	False	True	True	True	3	1f4ab7	0.004036	6197	-20.59	-27.25	16.02	2024-05-24 17:20:33.233287
