chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	299	206	1149	686	3.12	11091	65942	2024-05-24 11:00:18	18.89	False	True	True	True	3	e96774	0.00006594	1890	1890	1890	96.51	2024-05-24 13:19:11.523164
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	367	250	1381	862	3.19	12883.88	87613	2024-05-24 11:00:18	21.52	False	True	True	True	3	e96774	0.00008761	2543	2543	2543	43.53	2024-05-24 13:21:49.057408
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	365	268	1577	990	2.78	13194.25	90861	2024-05-24 11:00:18	23.86	False	True	True	True	3	e96774	0.00009086	2641	2641	2641	13.1	2024-05-24 13:24:09.780494
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	271	200	1741	1116	1.87	14635.43	110707	2024-05-24 11:00:18	26.31	False	True	True	True	3	e96774	0.0001107	3240	3240	3240	28.66	2024-05-24 13:26:36.713621
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	307	233	1924	1251	1.91	13646.31	95457	2024-05-24 11:00:18	28.71	False	True	True	True	3	e96774	0.00009545	2780	2780	2780	-13.8	2024-05-24 13:29:00.312572
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	373	276	2115	1393	2.12	13109.8	87224	2024-05-24 11:00:18	31.09	False	True	True	True	3	e96774	0.00008722	2532	2532	2532	-16.65	2024-05-24 13:31:23.322494
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	298	259	2288	1552	1.56	10253.8	52627	2024-05-24 11:00:18	33.49	False	True	True	True	3	e96774	0.00005262	1488	1488	1488	-48.51	2024-05-24 13:33:47.378204
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	295	257	2421	1660	1.46	11435.12	64979	2024-05-24 11:00:18	35.89	False	True	True	True	3	e96774	0.00006497	1861	1861	1861	-24.65	2024-05-24 13:36:11.322819
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	101	79	2915	2247	0.42	13520.84	84037	2024-05-24 11:00:18	69.95	False	True	True	True	3	e96774	0.00008403	2436	2436	287	29.45	2024-05-24 14:10:14.785361
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	118	94	2847	2217	0.5	13581.93	84287	2024-05-24 11:00:18	72.26	False	True	True	True	3	e96774	0.00008428	2443	2443	194	31.06	2024-05-24 14:12:33.853663
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	105	94	2785	2185	0.45	11648.98	61965	2024-05-24 11:00:18	74.56	False	True	True	True	3	e96774	0.00006196	1770	1770	89.61	-29.18	2024-05-24 14:14:51.587312
solana	raydium	8cbjGv13XNRe2BeDaDGWF2o8LKLmS57SmiFP4tVktV2R	G61KMQUUfjR2Ma2Y3pGbsd97beipizLU1i29eCR9Azb2	Kabusowifhalo	$KABUSO	69	82	2710	2136	0.31	11659.65	61795	2024-05-24 11:00:18	76.9	False	True	True	True	3	e96774	0.00006180	1765	1765	1.25	-28.02	2024-05-24 14:17:11.723322
