chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	1	0	10	6	1.2	37634.14	113226	2024-05-25 05:45:47	624.94	False	True	True	True	3	37c9e7	0.0001269	95.65	6.88	-1.54	0.5	2024-05-25 18:10:43.369640
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	1	2	11	8	1.09	37586.24	112776	2024-05-25 05:45:47	627.25	False	True	True	True	3	37c9e7	0.0001264	94.88	3.09	-1.94	-0.4	2024-05-25 18:13:02.008912
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	1	2	11	8	1.09	37586.24	112776	2024-05-25 05:45:47	629.55	False	True	True	True	3	37c9e7	0.0001264	94.88	3.09	-1.94	-0.04	2024-05-25 18:15:20.001979
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	0	0	9	8		37586.24	112776	2024-05-25 05:45:47	631.85	False	True	True	True	3	37c9e7	0.0001264	94.88	0.98	-2.3	0	2024-05-25 18:17:38.176571
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	0	0	9	8		37586.24	112776	2024-05-25 05:45:47	634.13	False	True	True	True	3	37c9e7	0.0001264	94.88	0.98	-2.3	0	2024-05-25 18:19:54.582982
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	1	2	9	10	1.33	37336.02	111589	2024-05-25 05:45:47	636.42	False	True	True	True	3	37c9e7	0.0001251	92.83	-4.84	-3.27	-1.05	2024-05-25 18:22:12.483533
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	2	2	10	10	2.4	37281.52	111483	2024-05-25 05:45:47	638.7	False	True	True	True	3	37c9e7	0.0001249	92.64	-4.93	-3.36	-1.15	2024-05-25 18:24:28.729439
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	0	0	10	10		37281.52	111483	2024-05-25 05:45:47	640.97	False	True	True	True	3	37c9e7	0.0001249	92.64	-12.82	-3.36	0	2024-05-25 18:26:45.097128
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	1	1	11	11	1.09	37080.06	110181	2024-05-25 05:45:47	643.24	False	True	True	True	3	37c9e7	0.0001235	90.39	-14.78	-4.49	-1.17	2024-05-25 18:29:01.166809
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	1	2	10	12	1.2	37027.63	109692	2024-05-25 05:45:47	645.5	False	True	True	True	3	37c9e7	0.0001229	89.55	-15.68	-4.88	-1.61	2024-05-25 18:31:16.967606
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	0	2	10	13		36970.32	109405	2024-05-25 05:45:47	647.77	False	True	True	True	3	37c9e7	0.0001226	89.05	-16.51	-5.13	-0.7	2024-05-25 18:33:33.432493
solana	raydium	2yZmiKXEvnDH4Zhfbvn3fbuDGJYJqD7NaedmQw1mond4	GXkvTzFj1Kh1Eni2ZDPEzCQuDKqZdUP1WcwA49qMVM2K	If you sell, you go to hell	SELLHELL	1	1	11	11	1.09	37208.66	110732	2024-05-25 05:45:47	650.05	False	True	True	True	3	37c9e7	0.0001241	91.35	-15.84	-1.8	0.95	2024-05-25 18:35:50.076128
