chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	217	114	309	155	8.43	14223.96	95818	2024-05-25 18:30:00	6.03	False	True	True	True	4	c36b3b	0.0009581	73.41	73.41	73.41	27.46	2024-05-25 20:36:01.504395
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	219	114	423	213	6.21	12625.67	74279	2024-05-25 18:30:00	8.3	False	True	True	True	4	c36b3b	0.0007427	34.43	34.43	34.43	-15.49	2024-05-25 20:38:17.986649
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	181	102	508	261	4.28	13937.11	89346	2024-05-25 18:30:00	10.57	False	True	True	True	4	c36b3b	0.0008934	61.7	61.7	61.7	-7.16	2024-05-25 20:40:34.122114
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	169	87	596	301	3.4	14978.12	101764	2024-05-25 18:30:00	12.84	False	True	True	True	4	c36b3b	0.001017	84.17	84.17	84.17	21.62	2024-05-25 20:42:50.337664
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	172	82	680	343	3.04	15650.34	110020	2024-05-25 18:30:00	15.11	False	True	True	True	4	c36b3b	0.001100	99.11	99.11	99.11	23.14	2024-05-25 20:45:06.538141
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	154	81	746	381	2.48	17086.1	129662	2024-05-25 18:30:00	17.37	False	True	True	True	4	c36b3b	0.001296	135	135	135	36.78	2024-05-25 20:47:22.234335
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	133	75	828	425	1.93	17560.95	135897	2024-05-25 18:30:00	19.65	False	True	True	True	4	c36b3b	0.001358	146	146	146	18.85	2024-05-25 20:49:38.840152
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	148	77	911	469	1.95	18862.95	155335	2024-05-25 18:30:00	21.91	False	True	True	True	4	c36b3b	0.001553	181	181	181	8.85	2024-05-25 20:51:54.701199
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	197	100	1024	524	2.31	19364.19	161517	2024-05-25 18:30:00	24.19	False	True	True	True	4	c36b3b	0.001615	192	192	192	23.04	2024-05-25 20:54:11.358527
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	175	91	1117	579	1.88	18803.88	150528	2024-05-25 18:30:00	26.46	False	True	True	True	4	c36b3b	0.001505	172	172	172	-0.49	2024-05-25 20:56:27.503752
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	191	106	1219	637	1.88	20207.38	171613	2024-05-25 18:30:00	28.73	False	True	True	True	4	c36b3b	0.001716	211	211	211	21.63	2024-05-25 20:58:44.075760
solana	raydium	BLR1DSsRzythZQ5pkHy2NH3ER97C6jJjZodiPjuhEooE	HCnFnDkZrUWagCKgNMMPKxrEPedMeA5UboaTN2g3CAh3	SolTalk	TALK	182	113	1299	691	1.68	19125.71	152440	2024-05-25 18:30:00	31.02	False	True	True	True	4	c36b3b	0.001524	176	176	176	1.62	2024-05-25 21:01:01.188599
