chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	11	7	103	57	1.28	23118.9	1582134	2024-05-25 00:03:11	33.41	False	True	False	True	2	3fb868	0.001582	18739	18739	18739	58.76	2024-05-25 02:36:35.683284
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	14	8	111	62	1.51	25495.14	1922634	2024-05-25 00:03:11	35.7	False	True	False	True	2	3fb868	0.001922	22793	22793	22793	55.4	2024-05-25 02:38:53.236208
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	13	10	116	67	1.34	24369.46	1762944	2024-05-25 00:03:11	37.99	False	True	False	True	2	3fb868	0.001762	20892	20892	20892	11.43	2024-05-25 02:41:10.458215
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	7	8	120	71	0.7	25269.88	1890804	2024-05-25 00:03:11	40.27	False	True	False	True	2	3fb868	0.001890	22414	22414	22414	-3.64	2024-05-25 02:43:27.441505
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	8	8	124	76	0.77	25663.34	1951289	2024-05-25 00:03:11	42.56	False	True	False	True	2	3fb868	0.001951	23135	23135	23135	9.95	2024-05-25 02:45:44.843207
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	5	9	125	80	0.48	24077.51	1718386	2024-05-25 00:03:11	44.85	False	True	False	True	2	3fb868	0.001718	20361	20361	20361	-9.12	2024-05-25 02:48:01.806401
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	2	7	126	82	0.19	23851.31	1685947	2024-05-25 00:03:11	47.13	False	True	False	True	2	3fb868	0.001685	19975	19975	19975	-13.51	2024-05-25 02:50:18.517345
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	1	7	127	87	0.09	21508.26	1372181	2024-05-25 00:03:11	49.42	False	True	False	True	2	3fb868	0.001372	16239	16239	16239	-19.79	2024-05-25 02:52:35.973770
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	7	7	133	90	0.63	22811.44	1544206	2024-05-25 00:03:11	51.69	False	True	False	True	2	3fb868	0.001544	18287	18287	18287	-5.98	2024-05-25 02:54:52.609391
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	11	8	138	95	0.96	24878.48	1839180	2024-05-25 00:03:11	53.98	False	True	False	True	2	3fb868	0.001839	21800	21800	21800	34.03	2024-05-25 02:57:10.094089
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	6	7	140	99	0.51	23572.29	1651747	2024-05-25 00:03:11	56.26	False	True	False	True	2	3fb868	0.001651	19568	19568	19568	2.61	2024-05-25 02:59:26.591399
solana	raydium	3DZeesiHwkQwuHDBAA3CRF9HUbpcDfEzv4AXw1nf1KoH	catTiQMmBSMNPvLHodryqHFV2KR3xFJjYV6HBtGDWUm	Catbosu	Catbosu	5	8	144	103	0.42	25080.1	1867594	2024-05-25 00:03:11	58.53	False	True	False	True	2	3fb868	0.001867	22138	22138	22138	-0.53	2024-05-25 03:01:42.938267
