chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	E31qdQ84yxatput4nqrm8Sf5V5HnvRQ7ftqkaxAPdbXm	jgXUTp3HNkszRam745JmmU5usE9c5YJ8qtDYNWTddiw	Kabochan	KABOCHAN	196	125	369	224	6.37	24801.9	223541	2024-05-24 07:58:37	13.81	False	True	False	True	2	9d7441	0.02235	8863	8863	8863	726	2024-05-24 10:12:25.404904
solana	raydium	E31qdQ84yxatput4nqrm8Sf5V5HnvRQ7ftqkaxAPdbXm	jgXUTp3HNkszRam745JmmU5usE9c5YJ8qtDYNWTddiw	Kabochan	KABOCHAN	379	218	591	356	7.7	22992.78	190013	2024-05-24 07:58:37	16.19	False	True	False	True	2	9d7441	0.01900	7519	7519	7519	106	2024-05-24 10:14:48.566177
solana	raydium	E31qdQ84yxatput4nqrm8Sf5V5HnvRQ7ftqkaxAPdbXm	jgXUTp3HNkszRam745JmmU5usE9c5YJ8qtDYNWTddiw	Kabochan	KABOCHAN	400	251	777	481	6.18	19583.76	136074	2024-05-24 07:58:37	18.68	False	True	False	True	2	9d7441	0.01360	5356	5356	5356	-51.11	2024-05-24 10:17:17.560398
solana	raydium	E31qdQ84yxatput4nqrm8Sf5V5HnvRQ7ftqkaxAPdbXm	jgXUTp3HNkszRam745JmmU5usE9c5YJ8qtDYNWTddiw	Kabochan	KABOCHAN	229	195	896	597	3.07	22254.27	172948	2024-05-24 07:58:37	21.11	False	True	False	True	2	9d7441	0.01729	6835	6835	6835	-15.82	2024-05-24 10:19:43.541544
solana	raydium	E31qdQ84yxatput4nqrm8Sf5V5HnvRQ7ftqkaxAPdbXm	jgXUTp3HNkszRam745JmmU5usE9c5YJ8qtDYNWTddiw	Kabochan	KABOCHAN	204	172	998	673	2.45	20039.98	139280	2024-05-24 07:58:37	23.65	False	True	False	True	2	9d7441	0.01392	5485	5485	5485	-14.88	2024-05-24 10:22:15.708576
solana	raydium	E31qdQ84yxatput4nqrm8Sf5V5HnvRQ7ftqkaxAPdbXm	jgXUTp3HNkszRam745JmmU5usE9c5YJ8qtDYNWTddiw	Kabochan	KABOCHAN	161	128	1099	757	1.76	16046.3	89006	2024-05-24 07:58:37	26.07	False	True	False	True	2	9d7441	0.008900	3469	3469	3469	-59.71	2024-05-24 10:24:41.053401
solana	raydium	E31qdQ84yxatput4nqrm8Sf5V5HnvRQ7ftqkaxAPdbXm	jgXUTp3HNkszRam745JmmU5usE9c5YJ8qtDYNWTddiw	Kabochan	KABOCHAN	142	127	1175	821	1.45	16654.69	95649	2024-05-24 07:58:37	28.6	False	True	False	True	2	9d7441	0.009564	3735	3735	3735	-4.5	2024-05-24 10:27:13.096736
solana	raydium	E31qdQ84yxatput4nqrm8Sf5V5HnvRQ7ftqkaxAPdbXm	jgXUTp3HNkszRam745JmmU5usE9c5YJ8qtDYNWTddiw	Kabochan	KABOCHAN	81	65	1211	846	0.8	18621.4	119121	2024-05-24 07:58:37	31.02	False	True	False	True	2	9d7441	0.01191	4676	4676	4676	84.65	2024-05-24 10:29:38.334428
solana	raydium	E31qdQ84yxatput4nqrm8Sf5V5HnvRQ7ftqkaxAPdbXm	jgXUTp3HNkszRam745JmmU5usE9c5YJ8qtDYNWTddiw	Kabochan	KABOCHAN	55	63	1235	890	0.53	13600.25	62963	2024-05-24 07:58:37	33.45	False	True	False	True	2	9d7441	0.006296	2425	2425	2425	-30.52	2024-05-24 10:32:03.754970
solana	raydium	E31qdQ84yxatput4nqrm8Sf5V5HnvRQ7ftqkaxAPdbXm	jgXUTp3HNkszRam745JmmU5usE9c5YJ8qtDYNWTddiw	Kabochan	KABOCHAN	65	97	1274	941	0.61	12182.25	50629	2024-05-24 07:58:37	35.87	False	True	False	True	2	9d7441	0.005062	1930	1930	1930	-53.59	2024-05-24 10:34:29.136960
