chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	39	24	1363	935	0.34	26471.14	66544	2024-05-07 23:17:47	44.81	False	True	False	True	2	94302c	0.00006654	14.18	14.18	14.18	0.14	2024-05-08 02:02:35.675003
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	50	30	1390	952	0.43	27218.63	70061	2024-05-07 23:17:47	47.07	False	True	False	True	2	94302c	0.00007006	20.22	20.22	20.22	0.26	2024-05-08 02:04:51.298456
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	70	30	1432	965	0.59	30922.31	90253	2024-05-07 23:17:47	49.38	False	True	False	True	2	94302c	0.00009025	54.86	54.86	54.86	37.18	2024-05-08 02:07:09.774088
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	113	73	1508	1027	0.9	38852.7	142021	2024-05-07 23:17:47	51.69	False	True	False	True	2	94302c	0.0001420	144	144	144	85.23	2024-05-08 02:09:28.429806
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	131	127	1575	1099	1.0	36010.3	121369	2024-05-07 23:17:47	54.0	False	True	False	True	2	94302c	0.0001213	108	108	108	14.07	2024-05-08 02:11:46.819967
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	152	129	1660	1156	1.1	42488.88	168142	2024-05-07 23:17:47	56.28	False	True	False	True	2	94302c	0.0001681	189	189	189	18.39	2024-05-08 02:14:04.024878
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	150	105	1719	1195	1.05	40283	151435	2024-05-07 23:17:47	58.61	False	True	False	True	2	94302c	0.0001514	160	160	160	24.19	2024-05-08 02:16:23.370030
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	92	71	1572	1162	0.7	39109.95	142380	2024-05-07 23:17:47	60.9	False	True	False	True	2	94302c	0.0001423	144	144	432	-4.73	2024-05-08 02:18:41.249580
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	124	95	1508	1154	0.99	34185.99	107921	2024-05-07 23:17:47	63.2	False	True	False	True	2	94302c	0.0001079	85.18	85.18	217	-31.21	2024-05-08 02:20:58.820595
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	204	115	1518	1123	1.61	35782.35	118220	2024-05-07 23:17:47	65.49	False	True	False	True	2	94302c	0.0001182	103	103	401	-16.81	2024-05-08 02:23:16.562144
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	130	78	1438	1076	1.08	38867.58	139238	2024-05-07 23:17:47	67.85	False	True	False	True	2	94302c	0.0001392	139	139	125	38.49	2024-05-08 02:25:38.018356
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	118	67	1408	1038	1.01	39674.84	145485	2024-05-07 23:17:47	70.16	False	True	False	True	2	94302c	0.0001454	150	150	258	25.94	2024-05-08 02:27:56.659481
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	122	67	1406	1023	1.04	42264.76	165134	2024-05-07 23:17:47	72.43	False	True	False	True	2	94302c	0.0001651	183	183	216	15.47	2024-05-08 02:30:13.053647
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	71	63	1333	991	0.64	35457.62	116471	2024-05-07 23:17:47	74.7	False	True	False	True	2	94302c	0.0001164	99.85	99.85	88.03	-30.23	2024-05-08 02:32:28.790579
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	85	77	1333	976	0.77	33103.95	101477	2024-05-07 23:17:47	77.0	False	True	False	True	2	94302c	0.0001014	74.12	74.12	20.27	-35.25	2024-05-08 02:34:46.824192
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	96	74	1305	950	0.88	33809.09	105448	2024-05-07 23:17:47	79.26	False	True	False	True	2	94302c	0.0001054	80.94	80.94	100	-4.78	2024-05-08 02:37:02.845197
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	118	94	1304	949	1.09	29357.9	78899	2024-05-07 23:17:47	81.56	False	True	False	True	2	94302c	0.00007889	35.38	35.38	56.65	-32.03	2024-05-08 02:39:20.695531
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	146	94	1299	906	1.35	29658.8	80396	2024-05-07 23:17:47	83.87	False	True	False	True	2	94302c	0.00008039	37.95	37.95	121	-22.95	2024-05-08 02:41:38.970313
solana	raydium	5vt1MRvkuynbtjnDS5jxdnr9YnFfF9aEdfXUF9UVjkEZ	2H9RPHGRtaiEGFQ7rNPH5iyU1Yx1TWprKXKczHtQjYV4	No Cap	NOCAP	101	80	1285	932	0.94	23870.44	51860	2024-05-07 23:17:47	86.14	False	True	False	True	2	94302c	0.00005186	-11.01	-11.01	19	-23.03	2024-05-08 02:43:55.337704
