chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	61	13	61	13	12.0	24491.64	64557	2024-05-09 11:00:31	0.88	False	True	False	True	2	59ef54	0.00006488	20.09	20.09	20.09	20.09	2024-05-09 13:01:23.920795
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	222	82	222	82	12.0	26259.51	73879	2024-05-09 11:00:31	3.17	False	True	False	True	2	59ef54	0.00007424	37.43	37.43	37.43	37.43	2024-05-09 13:03:41.413943
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	284	115	355	133	9.6	29297.35	91589	2024-05-09 11:00:31	5.49	False	True	False	True	2	59ef54	0.00009204	70.37	70.37	70.37	44.23	2024-05-09 13:06:00.356812
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	388	242	610	324	7.63	35596.8	133866	2024-05-09 11:00:31	7.75	False	True	False	True	2	59ef54	0.0001345	149	149	149	81.2	2024-05-09 13:08:15.820336
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	330	215	764	416	5.18	36021.17	136513	2024-05-09 11:00:31	10.03	False	True	False	True	2	59ef54	0.0001371	154	154	154	-8.35	2024-05-09 13:10:32.627380
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	245	173	880	505	3.34	44122.06	203750	2024-05-09 11:00:31	12.31	False	True	False	True	2	59ef54	0.0002047	279	279	279	37.77	2024-05-09 13:12:49.528279
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	305	205	1074	627	3.41	45847.05	218507	2024-05-09 11:00:31	14.58	False	True	False	True	2	59ef54	0.0002196	306	306	306	63.43	2024-05-09 13:15:05.514438
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	319	223	1182	706	3.24	42870.53	190489	2024-05-09 11:00:31	16.83	False	True	False	True	2	59ef54	0.0001914	254	254	254	15.18	2024-05-09 13:17:20.561134
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	375	286	1474	928	3.05	32543.03	108102	2024-05-09 11:00:31	19.08	False	True	False	True	2	59ef54	0.0001086	101	101	101	-51.38	2024-05-09 13:19:35.767614
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	440	302	1651	1023	3.2	35797.89	129789	2024-05-09 11:00:31	21.33	False	True	False	True	2	59ef54	0.0001304	141	141	141	-32.84	2024-05-09 13:21:50.601293
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	264	171	1738	1099	1.82	37749.62	143912	2024-05-09 11:00:31	23.62	False	True	False	True	2	59ef54	0.0001446	168	168	168	33.13	2024-05-09 13:24:08.186314
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	177	156	1864	1203	1.14	37764.43	143467	2024-05-09 11:00:31	25.88	False	True	False	True	2	59ef54	0.0001441	167	167	167	-6.55	2024-05-09 13:26:23.702587
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	192	172	1953	1292	1.18	39999.02	160069	2024-05-09 11:00:31	28.16	False	True	False	True	2	59ef54	0.0001608	198	198	198	22.87	2024-05-09 13:28:40.602018
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	144	151	2013	1359	0.86	32018.98	102548	2024-05-09 11:00:31	30.42	False	True	False	True	2	59ef54	0.0001030	90.76	90.76	90.76	-45.08	2024-05-09 13:30:56.042819
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	199	147	2142	1432	1.11	34039.07	115415	2024-05-09 11:00:31	32.69	False	True	False	True	2	59ef54	0.0001159	115	115	115	-30.3	2024-05-09 13:33:12.514434
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	163	130	2226	1520	0.88	27597.91	75547	2024-05-09 11:00:31	34.97	False	True	False	True	2	59ef54	0.00007592	40.53	40.53	40.53	-29.67	2024-05-09 13:35:28.951744
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	162	154	2308	1589	0.84	27898.16	76943	2024-05-09 11:00:31	37.23	False	True	False	True	2	59ef54	0.00007732	43.13	43.13	43.13	-34.67	2024-05-09 13:37:44.653218
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	198	170	2425	1691	0.98	27995.64	76504	2024-05-09 11:00:31	39.52	False	True	False	True	2	59ef54	0.00007688	42.31	42.31	42.31	1.42	2024-05-09 13:40:02.173443
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	175	168	2482	1754	0.85	23937.66	56260	2024-05-09 11:00:31	41.77	False	True	False	True	2	59ef54	0.00005654	4.65	4.65	4.65	-29.69	2024-05-09 13:42:17.395006
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	100	101	2547	1808	0.47	23156.91	52281	2024-05-09 11:00:31	44.14	False	True	False	True	2	59ef54	0.00005254	-2.75	-2.75	-2.75	-20.28	2024-05-09 13:44:39.150711
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	114	73	2596	1827	0.53	26498.91	68357	2024-05-09 11:00:31	46.41	False	True	False	True	2	59ef54	0.00006870	27.16	27.16	27.16	21.5	2024-05-09 13:46:55.598910
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	109	52	2651	1855	0.49	27409.39	73053	2024-05-09 11:00:31	48.67	False	True	False	True	2	59ef54	0.00007341	35.89	35.89	35.89	36.78	2024-05-09 13:49:11.242913
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	89	53	2678	1879	0.4	24663.63	59111	2024-05-09 11:00:31	50.95	False	True	False	True	2	59ef54	0.00005940	9.96	9.96	9.96	-5.87	2024-05-09 13:51:28.032074
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	59	48	2715	1906	0.26	27052.35	71115	2024-05-09 11:00:31	53.23	False	True	False	True	2	59ef54	0.00007147	32.29	32.29	32.29	8.95	2024-05-09 13:53:45.088837
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	81	44	2761	1929	0.35	31444.64	95940	2024-05-09 11:00:31	55.5	False	True	False	True	2	59ef54	0.00009642	78.47	78.47	78.47	87.87	2024-05-09 13:56:00.934447
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	72	51	2786	1956	0.31	29369.21	83632	2024-05-09 11:00:31	57.77	False	True	False	True	2	59ef54	0.00008405	55.57	55.57	55.57	21.23	2024-05-09 13:58:16.929739
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	46	41	2753	1967	0.2	32301	100894	2024-05-09 11:00:31	60.03	False	True	False	True	2	59ef54	0.0001014	87.68	87.68	58.88	15.51	2024-05-09 14:00:33.016849
solana	raydium	8FSaUthPsJotZFR4wREexZuhBH8D7SUXRSADQyx4B4gh	2JkPBgB5qCAja4c17ijKiWEzRS95TuHDw8sEBBYnGScm	wallwifhat	WALLWIF	62	27	2631	1914	0.28	31691.82	96929	2024-05-09 11:00:31	62.29	False	True	False	True	2	59ef54	0.00009741	80.31	80.31	31.2	38.38	2024-05-09 14:02:48.193732
