chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5WE1odBCTNCu1ArbU1tzryxGkMJ6tVHq9wfQYVYKZx4o	2aq4YYPa67pKYh2omu7xBJyQz4K8U5HdMwZQHvVVGzo4	Phantem Cat	$Soul	20	12	138	89	1.74	13628.32	56284	2024-05-06 23:00:22	188.95	False	True	True	True	3	a4fc1e	0.00005628	4313	4313	161	30.26	2024-05-07 04:09:18.703522
solana	raydium	5WE1odBCTNCu1ArbU1tzryxGkMJ6tVHq9wfQYVYKZx4o	2aq4YYPa67pKYh2omu7xBJyQz4K8U5HdMwZQHvVVGzo4	Phantem Cat	$Soul	23	13	139	90	1.99	13750.64	57364	2024-05-06 23:00:22	191.13	False	True	True	True	3	a4fc1e	0.00005736	4397	4397	130	25.25	2024-05-07 04:11:29.963213
solana	raydium	5WE1odBCTNCu1ArbU1tzryxGkMJ6tVHq9wfQYVYKZx4o	2aq4YYPa67pKYh2omu7xBJyQz4K8U5HdMwZQHvVVGzo4	Phantem Cat	$Soul	21	16	150	103	1.68	15228.13	70337	2024-05-06 23:00:22	193.31	False	True	True	True	3	a4fc1e	0.00007033	5414	5414	127	24.97	2024-05-07 04:13:40.752819
solana	raydium	5WE1odBCTNCu1ArbU1tzryxGkMJ6tVHq9wfQYVYKZx4o	2aq4YYPa67pKYh2omu7xBJyQz4K8U5HdMwZQHvVVGzo4	Phantem Cat	$Soul	28	24	160	113	2.1	16561.42	83054	2024-05-06 23:00:22	195.5	False	True	True	True	3	a4fc1e	0.00008305	6411	6411	157	44.78	2024-05-07 04:15:51.795319
solana	raydium	5WE1odBCTNCu1ArbU1tzryxGkMJ6tVHq9wfQYVYKZx4o	2aq4YYPa67pKYh2omu7xBJyQz4K8U5HdMwZQHvVVGzo4	Phantem Cat	$Soul	33	33	171	128	2.32	15364.4	71450	2024-05-06 23:00:22	197.68	False	True	True	True	3	a4fc1e	0.00007145	5502	5502	112	7.83	2024-05-07 04:18:03.068742
solana	raydium	5WE1odBCTNCu1ArbU1tzryxGkMJ6tVHq9wfQYVYKZx4o	2aq4YYPa67pKYh2omu7xBJyQz4K8U5HdMwZQHvVVGzo4	Phantem Cat	$Soul	27	25	182	134	1.78	16218.09	79667	2024-05-06 23:00:22	199.85	False	True	True	True	3	a4fc1e	0.00007966	6146	6146	129	-4.86	2024-05-07 04:20:13.137925
solana	raydium	5WE1odBCTNCu1ArbU1tzryxGkMJ6tVHq9wfQYVYKZx4o	2aq4YYPa67pKYh2omu7xBJyQz4K8U5HdMwZQHvVVGzo4	Phantem Cat	$Soul	17	13	185	135	1.1	16464.65	82111	2024-05-06 23:00:22	202.02	False	True	True	True	3	a4fc1e	0.00008211	6337	6337	159	11.96	2024-05-07 04:22:23.192571
solana	raydium	5WE1odBCTNCu1ArbU1tzryxGkMJ6tVHq9wfQYVYKZx4o	2aq4YYPa67pKYh2omu7xBJyQz4K8U5HdMwZQHvVVGzo4	Phantem Cat	$Soul	15	12	188	135	0.96	16765.25	84740	2024-05-06 23:00:22	204.19	False	True	True	True	3	a4fc1e	0.00008473	6544	6544	163	7.62	2024-05-07 04:24:33.128864
solana	raydium	5WE1odBCTNCu1ArbU1tzryxGkMJ6tVHq9wfQYVYKZx4o	2aq4YYPa67pKYh2omu7xBJyQz4K8U5HdMwZQHvVVGzo4	Phantem Cat	$Soul	23	15	198	142	1.39	16465.62	81890	2024-05-06 23:00:22	206.36	False	True	True	True	3	a4fc1e	0.00008188	6320	6320	146	-0.27	2024-05-07 04:26:43.358474
solana	raydium	5WE1odBCTNCu1ArbU1tzryxGkMJ6tVHq9wfQYVYKZx4o	2aq4YYPa67pKYh2omu7xBJyQz4K8U5HdMwZQHvVVGzo4	Phantem Cat	$Soul	21	14	198	146	1.27	16557.07	82807	2024-05-06 23:00:22	208.53	False	True	True	True	3	a4fc1e	0.00008280	6392	6392	140	7.53	2024-05-07 04:28:53.698925
