chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	16	6	228	211	0.84	15558.06	81229	2024-05-10 22:51:16	29.31	False	True	True	True	3	6638c6	0.00008122	2677	2677	2677	6.03	2024-05-11 01:20:34.405825
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	20	13	240	219	1.0	16413.51	90372	2024-05-10 22:51:16	31.62	False	True	True	True	3	6638c6	0.00009037	2990	2990	2990	0.2	2024-05-11 01:22:53.139280
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	25	12	253	223	1.19	17769.67	105884	2024-05-10 22:51:16	33.91	False	True	True	True	3	6638c6	0.0001058	3520	3520	3520	30.35	2024-05-11 01:25:10.783675
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	24	8	263	227	1.1	19379.68	125917	2024-05-10 22:51:16	36.23	False	True	True	True	3	6638c6	0.0001259	4205	4205	4205	39.85	2024-05-11 01:27:29.551087
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	23	11	277	235	1.0	19284.68	124818	2024-05-10 22:51:16	38.5	False	True	True	True	3	6638c6	0.0001248	4168	4168	4168	17.08	2024-05-11 01:29:45.959919
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	26	15	289	242	1.08	19494.59	127336	2024-05-10 22:51:16	40.75	False	True	True	True	3	6638c6	0.0001273	4254	4254	4254	1.13	2024-05-11 01:32:01.000793
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	22	16	297	251	0.89	18565.09	115379	2024-05-10 22:51:16	43.1	False	True	True	True	3	6638c6	0.0001153	3845	3845	3845	-4.98	2024-05-11 01:34:21.964656
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	14	18	307	261	0.55	17284.36	99995	2024-05-10 22:51:16	45.38	False	True	True	True	3	6638c6	0.00009999	3319	3319	3319	-23.21	2024-05-11 01:36:38.958034
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	11	11	310	264	0.43	17041.58	97135	2024-05-10 22:51:16	47.67	False	True	True	True	3	6638c6	0.00009713	3221	3221	3221	-10.25	2024-05-11 01:38:55.987209
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	11	8	318	268	0.42	17270.36	99769	2024-05-10 22:51:16	49.94	False	True	True	True	3	6638c6	0.00009976	3311	3311	3311	-2.21	2024-05-11 01:41:12.456422
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	13	6	324	270	0.48	17827.1	106246	2024-05-10 22:51:16	52.22	False	True	True	True	3	6638c6	0.0001062	3533	3533	3533	8.52	2024-05-11 01:43:29.093215
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	9	2	328	270	0.33	18418.23	113414	2024-05-10 22:51:16	54.49	False	True	True	True	3	6638c6	0.0001134	3778	3778	3778	12.62	2024-05-11 01:45:45.391202
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	9	2	333	272	0.32	19168.34	123012	2024-05-10 22:51:16	56.79	False	True	True	True	3	6638c6	0.0001230	4106	4106	4106	15.78	2024-05-11 01:48:03.193513
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	10	6	337	276	0.36	18585.96	115638	2024-05-10 22:51:16	59.06	False	True	True	True	3	6638c6	0.0001156	3854	3854	3854	4.07	2024-05-11 01:50:19.801771
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	7	4	253	159	0.33	19139.21	122675	2024-05-10 22:51:16	61.36	False	True	True	True	3	6638c6	0.0001226	4094	4094	86.2	6.79	2024-05-11 01:52:37.427506
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	9	5	241	146	0.45	18813.88	118434	2024-05-10 22:51:16	63.63	False	True	True	True	3	6638c6	0.0001184	3949	3949	98.05	1.6	2024-05-11 01:54:53.664742
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	7	14	236	145	0.36	16171.44	87567	2024-05-10 22:51:16	65.92	False	True	True	True	3	6638c6	0.00008756	2894	2894	34.03	-28.62	2024-05-11 01:57:11.354405
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	16	14	234	142	0.82	17995.32	108457	2024-05-10 22:51:16	68.21	False	True	True	True	3	6638c6	0.0001084	3608	3608	44.5	3.36	2024-05-11 01:59:28.504819
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	21	10	228	146	1.11	17802.07	106210	2024-05-10 22:51:16	70.5	False	True	True	True	3	6638c6	0.0001062	3531	3531	9.9	21.29	2024-05-11 02:01:46.169073
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	10	9	219	143	0.55	17825.29	106042	2024-05-10 22:51:16	72.77	False	True	True	True	3	6638c6	0.0001060	3526	3526	10.46	-2.23	2024-05-11 02:04:01.978018
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	4	5	211	138	0.23	17925.25	107181	2024-05-10 22:51:16	75.06	False	True	True	True	3	6638c6	0.0001071	3565	3565	16.78	0.91	2024-05-11 02:06:19.326779
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	6	2	204	128	0.35	18056.42	108806	2024-05-10 22:51:16	77.31	False	True	True	True	3	6638c6	0.0001088	3620	3620	73.84	3.77	2024-05-11 02:08:34.643635
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	11	10	188	128	0.7	16435.18	90221	2024-05-10 22:51:16	79.57	False	True	True	True	3	6638c6	0.00009022	2985	2985	-11.06	-15.82	2024-05-11 02:10:50.111052
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	13	15	191	126	0.82	16745.67	93477	2024-05-10 22:51:16	81.86	False	True	True	True	3	6638c6	0.00009347	3096	3096	7.49	-14.09	2024-05-11 02:13:07.398795
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	21	10	195	123	1.29	16967.42	95974	2024-05-10 22:51:16	84.13	False	True	True	True	3	6638c6	0.00009597	3181	3181	26.05	2.64	2024-05-11 02:15:23.885718
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	28	9	198	126	1.7	15500.16	80043	2024-05-10 22:51:16	86.39	False	True	True	True	3	6638c6	0.00008004	2637	2637	-11.25	-14.37	2024-05-11 02:17:39.694622
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	27	10	205	125	1.58	16257.21	88009	2024-05-10 22:51:16	88.68	False	True	True	True	3	6638c6	0.00008800	2909	2909	8.35	-7.99	2024-05-11 02:19:57.041713
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	18	8	198	121	1.09	15544.81	80434	2024-05-10 22:51:16	90.97	False	True	True	True	3	6638c6	0.00008043	2650	2650	-10.66	-0.15	2024-05-11 02:22:14.354358
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	23	8	200	122	1.38	15841.23	83540	2024-05-10 22:51:16	93.24	False	True	True	True	3	6638c6	0.00008354	2756	2756	-24.73	-4.25	2024-05-11 02:24:30.677367
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	20	15	197	128	1.22	13750.36	62880	2024-05-10 22:51:16	95.54	False	True	True	True	3	6638c6	0.00006287	2050	2050	-50.06	-22.72	2024-05-11 02:26:48.115893
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	7	13	188	123	0.45	13961.86	64874	2024-05-10 22:51:16	97.79	False	True	True	True	3	6638c6	0.00006487	2118	2118	-46.57	-20.63	2024-05-11 02:29:03.159256
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	10	6	183	122	0.66	15182.04	76728	2024-05-10 22:51:16	100.05	False	True	True	True	3	6638c6	0.00007672	2523	2523	-43.65	22.02	2024-05-11 02:31:19.282429
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	9	6	175	111	0.62	15948.14	84877	2024-05-10 22:51:16	102.33	False	True	True	True	3	6638c6	0.00008487	2802	2802	-21.57	27.93	2024-05-11 02:33:35.595810
solana	raydium	Bt1E2Rsbx8ivubNWBeir8SGd5KHruebukKVwFJesb9jv	6ZZtgBqvbSmmvKBgz7xHxybHs1YEH1EqscAgJFyn5tb4	PresidentWifHat	TRUMP	10	6	174	107	0.69	16078.94	86283	2024-05-10 22:51:16	104.67	False	True	True	True	3	6638c6	0.00008628	2850	2850	-15.43	11.97	2024-05-11 02:35:56.404097
