chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	196	184	268	214	8.78	12747.44	51172	2024-05-07 07:10:00	5.72	False	True	True	True	3	53bd46	0.0005117	1341	1341	1341	425	2024-05-07 09:15:43.188288
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	300	127	430	295	8.37	12643.84	50056	2024-05-07 07:10:00	7.9	False	True	True	True	3	53bd46	0.0005005	1310	1310	1310	2.98	2024-05-07 09:17:54.172411
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	243	114	933	530	3.13	15321.73	70672	2024-05-07 07:10:00	16.62	False	True	True	True	3	53bd46	0.0007067	1891	1891	1891	59.94	2024-05-07 09:26:37.213340
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	209	113	1041	581	2.41	15492.02	71880	2024-05-07 07:10:00	18.83	False	True	True	True	3	53bd46	0.0007187	1925	1925	1925	51.16	2024-05-07 09:28:49.793557
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	261	112	1197	642	2.62	14509.1	62349	2024-05-07 07:10:00	21.0	False	True	True	True	3	53bd46	0.0006234	1656	1656	1656	-10.75	2024-05-07 09:31:00.047575
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	290	126	1321	705	2.63	14088.03	58397	2024-05-07 07:10:00	23.17	False	True	True	True	3	53bd46	0.0005839	1545	1545	1545	-16.52	2024-05-07 09:33:10.292014
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	293	144	1761	911	2.0	14061.74	56526	2024-05-07 07:10:00	29.7	False	True	True	True	3	53bd46	0.0005652	1492	1492	1492	10.24	2024-05-07 09:39:42.021031
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	275	186	1895	1020	1.74	16989.02	81527	2024-05-07 07:10:00	31.88	False	True	True	True	3	53bd46	0.0008152	2196	2196	2196	72.81	2024-05-07 09:41:52.708353
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	261	221	2018	1131	1.55	15094.18	63736	2024-05-07 07:10:00	34.04	False	True	True	True	3	53bd46	0.0006373	1695	1695	1695	15.13	2024-05-07 09:44:02.391836
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	244	193	2120	1203	1.38	14384.89	57111	2024-05-07 07:10:00	36.22	False	True	True	True	3	53bd46	0.0005711	1509	1509	1509	-10.28	2024-05-07 09:46:13.047428
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	193	142	2225	1285	1.04	15344.77	64299	2024-05-07 07:10:00	38.41	False	True	True	True	3	53bd46	0.0006429	1711	1711	1711	11.78	2024-05-07 09:48:24.831722
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	210	149	2345	1362	1.07	18329.7	91090	2024-05-07 07:10:00	40.58	False	True	True	True	3	53bd46	0.0009108	2466	2466	2466	52.41	2024-05-07 09:50:34.857034
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	225	147	2451	1437	1.1	20501.32	113263	2024-05-07 07:10:00	42.78	False	True	True	True	3	53bd46	0.001132	3090	3090	3090	98.75	2024-05-07 09:52:47.078051
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	245	158	2587	1518	1.14	19883.89	104592	2024-05-07 07:10:00	44.97	False	True	True	True	3	53bd46	0.001045	2846	2846	2846	5.93	2024-05-07 09:54:58.358414
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	256	182	2702	1611	1.14	19434.3	98711	2024-05-07 07:10:00	47.14	False	True	True	True	3	53bd46	0.0009871	2680	2680	2680	-17.02	2024-05-07 09:57:08.595797
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	267	206	2829	1708	1.13	17227.43	76502	2024-05-07 07:10:00	49.31	False	True	True	True	3	53bd46	0.0007650	2055	2055	2055	-22.87	2024-05-07 09:59:18.826213
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	335	256	2987	1832	1.35	17830.72	80140	2024-05-07 07:10:00	51.47	False	True	True	True	3	53bd46	0.0008014	2157	2157	2157	15.88	2024-05-07 10:01:28.414313
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	336	252	3168	1969	1.27	22450.49	124128	2024-05-07 07:10:00	53.67	False	True	True	True	3	53bd46	0.001241	3396	3396	3396	80.38	2024-05-07 10:03:40.063321
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	322	256	3314	2089	1.17	20994.42	106626	2024-05-07 07:10:00	55.84	False	True	True	True	3	53bd46	0.001066	2903	2903	2903	25.96	2024-05-07 10:05:50.692203
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	348	256	3491	2203	1.2	21104.24	105920	2024-05-07 07:10:00	58.03	False	True	True	True	3	53bd46	0.001059	2883	2883	2883	-7.7	2024-05-07 10:08:01.742480
solana	raydium	5bma5wgYxETt8ovGax5WzLLgP3zkv3HqHv1BqqVY9y2D	8ULPLxeJZvfP3ZwTbmahD3P7Q65ENDpoq18LBJFabWeG	IDO TRENDING	LAUNCHPAD	360	251	3651	2324	1.18	19576.38	89703	2024-05-07 07:10:00	60.22	False	True	True	True	3	53bd46	0.0008970	2427	2427	2427	-13.53	2024-05-07 10:10:13.339179
