chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	110	49	759	332	1.74	45887.2	288335	2024-05-16 11:23:57	22.17	False	True	True	True	3	12118e	0.0002883	9618	9618	9618	49.62	2024-05-16 13:46:07.014646
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	160	93	864	392	2.22	47152.67	303009	2024-05-16 11:23:57	24.43	False	True	True	True	3	12118e	0.0003030	10113	10113	10113	35.32	2024-05-16 13:48:22.829314
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	169	102	938	449	2.16	50028.16	339534	2024-05-16 11:23:57	26.74	False	True	True	True	3	12118e	0.0003395	11344	11344	11344	7.66	2024-05-16 13:50:41.281569
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	141	104	1006	500	1.68	49034.07	325008	2024-05-16 11:23:57	29.02	False	True	True	True	3	12118e	0.0003250	10854	10854	10854	13.45	2024-05-16 13:52:58.272978
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	132	85	1069	534	1.48	48258.38	313321	2024-05-16 11:23:57	31.31	False	True	True	True	3	12118e	0.0003133	10460	10460	10460	-7.2	2024-05-16 13:55:15.312434
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	101	75	1131	583	1.07	44260.31	262839	2024-05-16 11:23:57	33.58	False	True	True	True	3	12118e	0.0002628	8759	8759	8759	-19.61	2024-05-16 13:57:31.900579
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	128	92	1209	633	1.27	48884.46	319768	2024-05-16 11:23:57	35.85	False	True	True	True	3	12118e	0.0003197	10678	10678	10678	1.02	2024-05-16 13:59:48.240412
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	159	100	1290	682	1.48	51271.28	351183	2024-05-16 11:23:57	38.17	False	True	True	True	3	12118e	0.0003511	11736	11736	11736	33.63	2024-05-16 14:02:07.084471
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	170	117	1361	743	1.5	53040.86	374877	2024-05-16 11:23:57	40.47	False	True	True	True	3	12118e	0.0003748	12535	12535	12535	12.62	2024-05-16 14:04:24.977208
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	144	121	1447	811	1.19	57439.25	439845	2024-05-16 11:23:57	42.74	False	True	True	True	3	12118e	0.0004398	14725	14725	14725	21.09	2024-05-16 14:06:41.120293
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	188	154	1549	897	1.46	56057.32	417654	2024-05-16 11:23:57	45.06	False	True	True	True	3	12118e	0.0004176	13977	13977	13977	11.41	2024-05-16 14:09:00.465605
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	211	154	1650	953	1.53	51450.35	350164	2024-05-16 11:23:57	47.35	False	True	True	True	3	12118e	0.0003501	11702	11702	11702	-17.45	2024-05-16 14:11:18.240320
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	155	79	1728	991	1.08	50725.88	338341	2024-05-16 11:23:57	49.65	False	True	True	True	3	12118e	0.0003383	11304	11304	11304	-10.54	2024-05-16 14:13:36.052829
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	158	87	1815	1042	1.04	55849.86	409338	2024-05-16 11:23:57	51.93	False	True	True	True	3	12118e	0.0004093	13696	13696	13696	16.86	2024-05-16 14:15:52.552109
solana	raydium	HRcdaFHxegUMZFceAMnBUTpkta3Wg8UoBByFpXjA2UVn	8qZWno6DK7uphisrwxW5kJzB1A7wSBhSu5WGwmk1Z9EL	NOT SOL COIN	NOT	192	117	1919	1108	1.2	58096.26	440093	2024-05-16 11:23:57	54.2	False	True	True	True	3	12118e	0.0004400	14733	14733	14733	30.97	2024-05-16 14:18:08.885061
