chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	CcefkQrG6fHJwz2xuVKJ2UvgeRC5hctKe4LGD994Q2fn	BQxoGL6VuDboVcDW76SDtp4wtoBzeJfvZmWyTgtPkUd5	MalcolmdeX	$MALCOLM	17	11	309	250	0.66	25890.68	61877	2024-05-16 12:22:12	75.59	False	True	True	True	3	e5e8d3	0.00006192	-0.1	-0.1	-20.7	33.92	2024-05-16 15:37:47.477991
solana	raydium	CcefkQrG6fHJwz2xuVKJ2UvgeRC5hctKe4LGD994Q2fn	BQxoGL6VuDboVcDW76SDtp4wtoBzeJfvZmWyTgtPkUd5	MalcolmdeX	$MALCOLM	11	18	261	238	0.51	24691.34	56101	2024-05-16 12:22:12	77.9	False	True	True	True	3	e5e8d3	0.00005614	-9.42	-9.42	-3.51	16.25	2024-05-16 15:40:05.930820
solana	raydium	CcefkQrG6fHJwz2xuVKJ2UvgeRC5hctKe4LGD994Q2fn	BQxoGL6VuDboVcDW76SDtp4wtoBzeJfvZmWyTgtPkUd5	MalcolmdeX	$MALCOLM	13	12	251	218	0.62	25553.33	60292	2024-05-16 12:22:12	80.23	False	True	True	True	3	e5e8d3	0.00006033	-2.65	-2.65	-7.85	-4.03	2024-05-16 15:42:26.003858
solana	raydium	CcefkQrG6fHJwz2xuVKJ2UvgeRC5hctKe4LGD994Q2fn	BQxoGL6VuDboVcDW76SDtp4wtoBzeJfvZmWyTgtPkUd5	MalcolmdeX	$MALCOLM	18	2	247	193	0.87	26630.13	65578	2024-05-16 12:22:12	82.54	False	True	True	True	3	e5e8d3	0.00006562	5.88	5.88	-11.82	14.32	2024-05-16 15:44:44.221592
solana	raydium	CcefkQrG6fHJwz2xuVKJ2UvgeRC5hctKe4LGD994Q2fn	BQxoGL6VuDboVcDW76SDtp4wtoBzeJfvZmWyTgtPkUd5	MalcolmdeX	$MALCOLM	19	7	236	179	0.97	26197.89	63234	2024-05-16 12:22:12	84.84	False	True	True	True	3	e5e8d3	0.00006327	2.1	2.1	-12.55	4.88	2024-05-16 15:47:02.225122
solana	raydium	CcefkQrG6fHJwz2xuVKJ2UvgeRC5hctKe4LGD994Q2fn	BQxoGL6VuDboVcDW76SDtp4wtoBzeJfvZmWyTgtPkUd5	MalcolmdeX	$MALCOLM	11	8	225	168	0.59	26238.85	63328	2024-05-16 12:22:12	87.15	False	True	True	True	3	e5e8d3	0.00006337	2.25	2.25	2.05	-2.7	2024-05-16 15:49:20.768721
solana	raydium	CcefkQrG6fHJwz2xuVKJ2UvgeRC5hctKe4LGD994Q2fn	BQxoGL6VuDboVcDW76SDtp4wtoBzeJfvZmWyTgtPkUd5	MalcolmdeX	$MALCOLM	3	14	199	156	0.18	25848.8	61198	2024-05-16 12:22:12	89.44	False	True	True	True	3	e5e8d3	0.00006124	-1.19	-1.19	26.92	-3.51	2024-05-16 15:51:38.312113
solana	raydium	CcefkQrG6fHJwz2xuVKJ2UvgeRC5hctKe4LGD994Q2fn	BQxoGL6VuDboVcDW76SDtp4wtoBzeJfvZmWyTgtPkUd5	MalcolmdeX	$MALCOLM	6	13	178	152	0.4	26465.69	64315	2024-05-16 12:22:12	91.76	False	True	True	True	3	e5e8d3	0.00006436	3.84	3.84	7.1	2.58	2024-05-16 15:53:57.364466
solana	raydium	CcefkQrG6fHJwz2xuVKJ2UvgeRC5hctKe4LGD994Q2fn	BQxoGL6VuDboVcDW76SDtp4wtoBzeJfvZmWyTgtPkUd5	MalcolmdeX	$MALCOLM	8	5	170	140	0.56	26494.13	64449	2024-05-16 12:22:12	94.07	False	True	True	True	3	e5e8d3	0.00006449	4.06	4.06	12.97	6.61	2024-05-16 15:56:15.925525
solana	raydium	CcefkQrG6fHJwz2xuVKJ2UvgeRC5hctKe4LGD994Q2fn	BQxoGL6VuDboVcDW76SDtp4wtoBzeJfvZmWyTgtPkUd5	MalcolmdeX	$MALCOLM	8	4	158	120	0.61	26621.55	65138	2024-05-16 12:22:12	96.35	False	True	True	True	3	e5e8d3	0.00006518	5.17	5.17	42.72	2.59	2024-05-16 15:58:33.239395
