chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	CUPCWdsGJvE1J7PSz3XxKkePV6rTQpKHXbQkJS6XgMRa	CP2JQ3BKPH7kEDPHu77ZEccCczEetSYAvucXntwXHfRD	Roaring Kitty	ROARINGCAT	3	1	11	11	3.27	35425.01	19347304	2024-05-16 12:20:16	72.92	False	True	True	True	3	6cc7c9	0.001074	18.14	18.14	11.02	2.69	2024-05-16 15:33:11.084378
solana	raydium	CUPCWdsGJvE1J7PSz3XxKkePV6rTQpKHXbQkJS6XgMRa	CP2JQ3BKPH7kEDPHu77ZEccCczEetSYAvucXntwXHfRD	Roaring Kitty	ROARINGCAT	2	2	11	12	2.18	35367.68	19024083	2024-05-16 12:20:16	75.24	False	True	True	True	3	6cc7c9	0.001070	17.65	17.65	10.57	1.06	2024-05-16 15:35:30.283397
solana	raydium	CUPCWdsGJvE1J7PSz3XxKkePV6rTQpKHXbQkJS6XgMRa	CP2JQ3BKPH7kEDPHu77ZEccCczEetSYAvucXntwXHfRD	Roaring Kitty	ROARINGCAT	1	1	12	10	1.0	35391.62	19067444	2024-05-16 12:20:16	77.52	False	True	True	True	3	6cc7c9	0.001072	17.92	17.92	11.63	-0.18	2024-05-16 15:37:47.479985
solana	raydium	CUPCWdsGJvE1J7PSz3XxKkePV6rTQpKHXbQkJS6XgMRa	CP2JQ3BKPH7kEDPHu77ZEccCczEetSYAvucXntwXHfRD	Roaring Kitty	ROARINGCAT	1	1	12	10	1.0	35452.6	19052059	2024-05-16 12:20:16	79.83	False	True	True	True	3	6cc7c9	0.001072	17.83	17.83	11.87	0.15	2024-05-16 15:40:05.932831
solana	raydium	CUPCWdsGJvE1J7PSz3XxKkePV6rTQpKHXbQkJS6XgMRa	CP2JQ3BKPH7kEDPHu77ZEccCczEetSYAvucXntwXHfRD	Roaring Kitty	ROARINGCAT	2	1	14	10	1.71	35538.93	19203620	2024-05-16 12:20:16	82.17	False	True	True	True	3	6cc7c9	0.001080	18.76	18.76	12.76	0.71	2024-05-16 15:42:26.004875
solana	raydium	CUPCWdsGJvE1J7PSz3XxKkePV6rTQpKHXbQkJS6XgMRa	CP2JQ3BKPH7kEDPHu77ZEccCczEetSYAvucXntwXHfRD	Roaring Kitty	ROARINGCAT	3	2	15	12	2.4	35278.94	18966605	2024-05-16 12:20:16	84.47	False	True	True	True	3	6cc7c9	0.001067	17.3	17.3	11.36	-0.45	2024-05-16 15:44:44.223535
solana	raydium	CUPCWdsGJvE1J7PSz3XxKkePV6rTQpKHXbQkJS6XgMRa	CP2JQ3BKPH7kEDPHu77ZEccCczEetSYAvucXntwXHfRD	Roaring Kitty	ROARINGCAT	0	2	15	12		35278.94	18966605	2024-05-16 12:20:16	86.77	False	True	True	True	3	6cc7c9	0.001067	17.3	17.3	11.36	-1.87	2024-05-16 15:47:02.228022
solana	raydium	CUPCWdsGJvE1J7PSz3XxKkePV6rTQpKHXbQkJS6XgMRa	CP2JQ3BKPH7kEDPHu77ZEccCczEetSYAvucXntwXHfRD	Roaring Kitty	ROARINGCAT	1	0	16	12	0.75	35547.28	19154436	2024-05-16 12:20:16	89.08	False	True	True	True	3	6cc7c9	0.001077	18.46	18.46	12.47	0.99	2024-05-16 15:49:20.770742
solana	raydium	CUPCWdsGJvE1J7PSz3XxKkePV6rTQpKHXbQkJS6XgMRa	CP2JQ3BKPH7kEDPHu77ZEccCczEetSYAvucXntwXHfRD	Roaring Kitty	ROARINGCAT	2	0	12	10	2.0	35676.56	19237226	2024-05-16 12:20:16	91.37	False	True	True	True	3	6cc7c9	0.001082	18.97	18.97	3.58	1.43	2024-05-16 15:51:38.315062
solana	raydium	CUPCWdsGJvE1J7PSz3XxKkePV6rTQpKHXbQkJS6XgMRa	CP2JQ3BKPH7kEDPHu77ZEccCczEetSYAvucXntwXHfRD	Roaring Kitty	ROARINGCAT	1	0	11	8	1.09	35676.56	19237226	2024-05-16 12:20:16	93.69	False	True	True	True	3	6cc7c9	0.001082	18.97	18.97	0.36	0.43	2024-05-16 15:53:57.366470
