chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	226	176	1148	933	2.36	28237.41	118801	2024-05-06 18:19:59	16.72	False	True	True	True	3	3e6a81	0.0001188	7334	7334	7334	-15.72	2024-05-06 20:36:42.304563
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	209	169	1234	998	2.03	27842.91	114594	2024-05-06 18:19:59	18.96	False	True	True	True	3	3e6a81	0.0001145	7071	7071	7071	-7.48	2024-05-06 20:38:56.620265
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	211	169	1355	1094	1.87	27044.98	107410	2024-05-06 18:19:59	21.27	False	True	True	True	3	3e6a81	0.0001074	6621	6621	6621	-15.52	2024-05-06 20:41:15.339440
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	200	154	1410	1138	1.7	27273.19	109097	2024-05-06 18:19:59	23.47	False	True	True	True	3	3e6a81	0.0001090	6727	6727	6727	-2.64	2024-05-06 20:43:27.153126
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	95	83	1464	1186	0.78	29851.34	130308	2024-05-06 18:19:59	25.68	False	True	True	True	3	3e6a81	0.0001303	8054	8054	8054	24.28	2024-05-06 20:45:39.607208
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	76	57	1496	1210	0.61	29056.07	123272	2024-05-06 18:19:59	27.88	False	True	True	True	3	3e6a81	0.0001232	7614	7614	7614	19.59	2024-05-06 20:47:51.511340
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	88	53	1547	1235	0.68	28279.71	116366	2024-05-06 18:19:59	30.08	False	True	True	True	3	3e6a81	0.0001163	7182	7182	7182	-4.71	2024-05-06 20:50:03.865811
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	102	47	1595	1254	0.77	31758.28	146599	2024-05-06 18:19:59	32.28	False	True	True	True	3	3e6a81	0.0001465	9074	9074	9074	24.3	2024-05-06 20:52:15.532034
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	126	67	1663	1299	0.91	30092.9	130840	2024-05-06 18:19:59	34.48	False	True	True	True	3	3e6a81	0.0001308	8088	8088	8088	12.52	2024-05-06 20:54:27.905002
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	121	75	1721	1332	0.84	32641.46	153854	2024-05-06 18:19:59	36.75	False	True	True	True	3	3e6a81	0.0001538	9528	9528	9528	7.13	2024-05-06 20:56:43.863252
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	97	59	1761	1358	0.66	31714.78	145072	2024-05-06 18:19:59	39.01	False	True	True	True	3	3e6a81	0.0001450	8978	8978	8978	20.07	2024-05-06 20:58:59.748489
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	128	69	1848	1398	0.83	31389.6	141660	2024-05-06 18:19:59	41.23	False	True	True	True	3	3e6a81	0.0001416	8765	8765	8765	-3.69	2024-05-06 21:01:12.755820
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	138	74	1889	1428	0.88	32415.48	151134	2024-05-06 18:19:59	43.41	False	True	True	True	3	3e6a81	0.0001511	9358	9358	9358	7.84	2024-05-06 21:03:23.615804
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	100	81	1922	1471	0.62	31480.37	142053	2024-05-06 18:19:59	45.59	False	True	True	True	3	3e6a81	0.0001420	8789	8789	8789	-2.4	2024-05-06 21:05:34.524431
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	68	72	1959	1503	0.42	28676.69	117779	2024-05-06 18:19:59	47.84	False	True	True	True	3	3e6a81	0.0001177	7270	7270	7270	-16.53	2024-05-06 21:07:49.301119
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	64	48	1987	1520	0.39	29751.84	126643	2024-05-06 18:19:59	50.02	False	True	True	True	3	3e6a81	0.0001266	7825	7825	7825	-4.83	2024-05-06 21:10:00.383889
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	56	67	2011	1567	0.33	27110.15	104974	2024-05-06 18:19:59	52.3	False	True	True	True	3	3e6a81	0.0001049	6469	6469	6469	-13.54	2024-05-06 21:12:17.119618
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	91	94	2073	1612	0.53	27622.23	109139	2024-05-06 18:19:59	54.54	False	True	True	True	3	3e6a81	0.0001091	6730	6730	6730	-12.24	2024-05-06 21:14:31.184462
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	70	70	2093	1644	0.4	25423.37	92995	2024-05-06 18:19:59	56.89	False	True	True	True	3	3e6a81	0.00009299	5719	5719	5719	-2.95	2024-05-06 21:16:52.441335
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	69	84	2142	1697	0.39	24477.56	85842	2024-05-06 18:19:59	59.18	False	True	True	True	3	3e6a81	0.00008584	5272	5272	5272	-20.77	2024-05-06 21:19:09.689874
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	67	70	1974	1499	0.41	21017.42	63098	2024-05-06 18:19:59	61.51	False	True	True	True	3	3e6a81	0.00006309	3849	3849	2.28	-24.66	2024-05-06 21:21:29.650444
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	63	64	1945	1501	0.39	22425.81	71600	2024-05-06 18:19:59	63.76	False	True	True	True	3	3e6a81	0.00007160	4381	4381	25.52	-17.16	2024-05-06 21:23:44.400594
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	88	63	1974	1517	0.53	26844.23	102512	2024-05-06 18:19:59	65.98	False	True	True	True	3	3e6a81	0.0001025	6315	6315	124	46.46	2024-05-06 21:25:58.054706
solana	raydium	2VRviVPgDFE6KDo8F8ZpqHkq9irUWE3JNgsEVhUX4fVW	DqD7AWiJr2JUjtuLL5YGq8tziPhHVN94kGsr1JXLLXES	bukofcat	buca	96	68	1742	1356	0.66	28029.78	111401	2024-05-06 18:19:59	68.19	False	True	True	True	3	3e6a81	0.0001114	6871	6871	27.34	60.4	2024-05-06 21:28:10.446980
