chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	285	94	285	94	12.0	32868.78	110827	2024-05-09 18:23:51	2.77	False	True	True	True	3	d58751	0.0001108	74.82	74.82	74.82	74.82	2024-05-09 20:26:37.217536
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	367	144	406	146	10.85	37793.63	145954	2024-05-09 18:23:51	5.06	False	True	True	True	3	d58751	0.0001459	130	130	130	39.43	2024-05-09 20:28:54.694525
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	256	148	523	233	5.87	41572.5	175655	2024-05-09 18:23:51	7.4	False	True	True	True	3	d58751	0.0001756	177	177	177	57.73	2024-05-09 20:31:15.153422
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	230	170	687	351	4.02	39476.46	157715	2024-05-09 18:23:51	9.77	False	True	True	True	3	d58751	0.0001577	149	149	149	-1.84	2024-05-09 20:33:37.001787
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	235	147	796	413	3.54	40663.38	167610	2024-05-09 18:23:51	12.14	False	True	True	True	3	d58751	0.0001676	164	164	164	-19.92	2024-05-09 20:35:59.231264
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	188	117	874	468	2.58	43771.49	193795	2024-05-09 18:23:51	14.44	False	True	True	True	3	d58751	0.0001937	206	206	206	24.06	2024-05-09 20:38:17.237124
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	189	90	1004	513	2.26	42666.47	183930	2024-05-09 18:23:51	16.75	False	True	True	True	3	d58751	0.0001839	190	190	190	-0.52	2024-05-09 20:40:36.081568
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	264	140	1163	619	2.72	29197.2	85489	2024-05-09 18:23:51	19.09	False	True	True	True	3	d58751	0.00008548	34.85	34.85	34.85	-44.46	2024-05-09 20:42:56.153821
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	269	202	1273	714	2.54	27553.46	75960	2024-05-09 18:23:51	21.37	False	True	True	True	3	d58751	0.00007596	19.82	19.82	19.82	-59.25	2024-05-09 20:45:13.277489
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	227	174	1361	766	2.0	34099.62	116125	2024-05-09 18:23:51	23.65	False	True	True	True	3	d58751	0.0001161	83.18	83.18	83.18	4.45	2024-05-09 20:47:29.743845
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	126	89	1418	820	1.07	29510.98	86656	2024-05-09 18:23:51	25.95	False	True	True	True	3	d58751	0.00008665	36.69	36.69	36.69	6.48	2024-05-09 20:49:48.187345
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	145	147	1506	913	1.16	26679.97	70591	2024-05-09 18:23:51	28.27	False	True	True	True	3	d58751	0.00007059	11.35	11.35	11.35	-39.21	2024-05-09 20:52:06.933197
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	164	128	1581	947	1.24	31244.91	96551	2024-05-09 18:23:51	30.68	False	True	True	True	3	d58751	0.00009655	52.3	52.3	52.3	8.67	2024-05-09 20:54:31.732197
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	116	44	1634	965	0.85	33703.53	112008	2024-05-09 18:23:51	33.0	False	True	True	True	3	d58751	0.0001120	76.68	76.68	76.68	50.55	2024-05-09 20:56:50.802575
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	122	59	1703	1008	0.86	29536.01	85892	2024-05-09 18:23:51	35.29	False	True	True	True	3	d58751	0.00008589	35.49	35.49	35.49	-8.46	2024-05-09 20:59:08.539973
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	118	70	1746	1032	0.81	30343.37	90304	2024-05-09 18:23:51	37.58	False	True	True	True	3	d58751	0.00009030	42.45	42.45	42.45	-17.14	2024-05-09 21:01:25.522207
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	108	56	1823	1070	0.71	25832.83	65189	2024-05-09 18:23:51	39.91	False	True	True	True	3	d58751	0.00006518	2.83	2.83	2.83	-35.28	2024-05-09 21:03:45.873292
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	131	87	1883	1124	0.83	31641.15	97435	2024-05-09 18:23:51	42.26	False	True	True	True	3	d58751	0.00009743	53.69	53.69	53.69	28.25	2024-05-09 21:06:06.499345
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	94	85	1916	1155	0.59	29863.38	86817	2024-05-09 18:23:51	44.56	False	True	True	True	3	d58751	0.00008681	36.95	36.95	36.95	34.59	2024-05-09 21:08:24.868340
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	55	55	1945	1185	0.34	28112.03	76995	2024-05-09 18:23:51	46.91	False	True	True	True	3	d58751	0.00007699	21.45	21.45	21.45	-20.09	2024-05-09 21:10:45.581650
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	64	44	1980	1202	0.39	29232.75	83225	2024-05-09 18:23:51	49.28	False	True	True	True	3	d58751	0.00008322	31.28	31.28	31.28	-1.69	2024-05-09 21:13:07.600824
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	77	48	2016	1231	0.46	32361.54	101874	2024-05-09 18:23:51	51.57	False	True	True	True	3	d58751	0.0001018	60.7	60.7	60.7	41.42	2024-05-09 21:15:25.376798
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	48	35	2036	1245	0.28	30437.52	89861	2024-05-09 18:23:51	53.88	False	True	True	True	3	d58751	0.00008986	41.75	41.75	41.75	10.07	2024-05-09 21:17:43.684069
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	49	35	2067	1270	0.28	29796.9	86065	2024-05-09 18:23:51	56.19	False	True	True	True	3	d58751	0.00008606	35.76	35.76	35.76	-6.65	2024-05-09 21:20:02.434684
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	51	33	2090	1282	0.29	32881.46	104565	2024-05-09 18:23:51	58.52	False	True	True	True	3	d58751	0.0001045	64.94	64.94	64.94	21.94	2024-05-09 21:22:22.034863
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	58	41	1960	1263	0.36	37618.49	136852	2024-05-09 18:23:51	60.86	False	True	True	True	3	d58751	0.0001368	116	116	6.74	45.39	2024-05-09 21:24:42.734263
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	83	60	1844	1235	0.54	33334.99	107154	2024-05-09 18:23:51	63.19	False	True	True	True	3	d58751	0.0001071	69.03	69.03	1.12	1.15	2024-05-09 21:27:02.122399
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	82	54	1757	1184	0.56	33402.66	107427	2024-05-09 18:23:51	65.53	False	True	True	True	3	d58751	0.0001074	69.46	69.46	-33.14	-13.8	2024-05-09 21:29:23.044740
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	95	39	1649	1079	0.69	38217.04	139567	2024-05-09 18:23:51	67.98	False	True	True	True	3	d58751	0.0001395	120	120	-25.23	35.77	2024-05-09 21:31:49.579133
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	72	43	1572	1030	0.55	35100.3	117893	2024-05-09 18:23:51	70.38	False	True	True	True	3	d58751	0.0001178	85.97	85.97	-16.15	-3.2	2024-05-09 21:34:13.870696
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	39	34	1484	980	0.32	32975.76	104169	2024-05-09 18:23:51	72.78	False	True	True	True	3	d58751	0.0001041	64.32	64.32	-37.97	-24.28	2024-05-09 21:36:37.758425
solana	raydium	92z2GNJuKAzCkdXZhy2RiCSrHJi4Sv3oWzLwJqz1VCGM	EkfF91kJ3E2vuooA4X6MadcGv15ps8XtyXERGBVdJnYJ	Didi	DIDI	67	49	1411	968	0.57	32458.09	100599	2024-05-09 18:23:51	75.08	False	True	True	True	3	d58751	0.0001005	58.69	58.69	-44.24	-11.18	2024-05-09 21:38:56.003300
