chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	20	2	102	11	2.35	29326.3	90936	2024-05-12 20:08:32	11.74	False	False	True	True	3	431b5f	0.00009093	60.53	60.53	60.53	34.49	2024-05-12 22:20:16.249991
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	17	1	113	12	1.81	31089.02	102046	2024-05-12 20:08:32	14.12	False	False	True	True	3	431b5f	0.0001020	80.14	80.14	80.14	24.43	2024-05-12 22:22:39.016773
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	20	13	123	25	1.95	28727.04	87101	2024-05-12 20:08:32	16.52	False	False	True	True	3	431b5f	0.00008710	53.76	53.76	53.76	-10.94	2024-05-12 22:25:03.417787
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	12	18	124	30	1.16	28475.49	85646	2024-05-12 20:08:32	18.88	False	False	True	True	3	431b5f	0.00008564	51.19	51.19	51.19	-13.29	2024-05-12 22:27:24.901537
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	3	5	127	32	0.28	28650.31	86520	2024-05-12 20:08:32	21.24	False	False	True	True	3	431b5f	0.00008651	52.74	52.74	52.74	-0.03	2024-05-12 22:29:46.288829
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	5	1	129	32	0.47	28696.06	86814	2024-05-12 20:08:32	23.65	False	False	True	True	3	431b5f	0.00008681	53.25	53.25	53.25	1.47	2024-05-12 22:32:11.204990
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	5	1	132	33	0.45	30044.24	95223	2024-05-12 20:08:32	26.1	False	False	True	True	3	431b5f	0.00009522	68.1	68.1	68.1	10.06	2024-05-12 22:34:38.115464
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	8	3	138	35	0.7	32628.39	112075	2024-05-12 20:08:32	28.56	False	False	True	True	3	431b5f	0.0001120	97.85	97.85	97.85	29	2024-05-12 22:37:05.790011
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	8	3	143	37	0.67	32037.36	107934	2024-05-12 20:08:32	31.05	False	False	True	True	3	431b5f	0.0001079	90.54	90.54	90.54	7.44	2024-05-12 22:39:34.914077
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	7	3	145	39	0.58	31232.46	102521	2024-05-12 20:08:32	33.7	False	False	True	True	3	431b5f	0.0001025	80.98	80.98	80.98	-6.59	2024-05-12 22:42:13.725677
solana	raydium	UgbP68n8snTQKJ4GC7GD2fshaxrzHBbp6n4VfAFSsXH	G9PxreQvKxq8otbsDAyrG2k7UTnMP4jU1NWaVNS8fetd	My cat Bella	$bella	2	7	145	46	0.17	27741.46	80961	2024-05-12 20:08:32	36.21	False	False	True	True	3	431b5f	0.00008096	42.92	42.92	42.92	-20.66	2024-05-12 22:44:44.694743
