chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	143	137	627	418	2.74	15991.02	86662	2024-05-11 17:57:37	18.69	False	True	True	True	3	bf1c84	0.0001255	6653	6653	6653	157	2024-05-11 20:16:18.272487
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	162	124	727	471	2.67	15639.9	82526	2024-05-11 17:57:37	20.96	False	True	True	True	3	bf1c84	0.0001196	6331	6331	6331	24.13	2024-05-11 20:18:34.516633
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	167	113	805	541	2.49	17906.51	107362	2024-05-11 17:57:37	23.24	False	True	True	True	3	bf1c84	0.0001555	8266	8266	8266	43.25	2024-05-11 20:20:51.476164
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	199	145	926	616	2.58	19482.99	126679	2024-05-11 17:57:37	25.54	False	True	True	True	3	bf1c84	0.0001835	9771	9771	9771	53.5	2024-05-11 20:23:09.377052
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	243	162	1036	691	2.81	18178.6	109752	2024-05-11 17:57:37	27.81	False	True	True	True	3	bf1c84	0.0001590	8452	8452	8452	22.36	2024-05-11 20:25:25.415529
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	196	158	1134	789	2.07	20587.4	139971	2024-05-11 17:57:37	30.08	False	True	True	True	3	bf1c84	0.0002028	10807	10807	10807	5.48	2024-05-11 20:27:41.614677
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	261	211	1301	904	2.41	21202.08	146252	2024-05-11 17:57:37	32.38	False	True	True	True	3	bf1c84	0.0002119	11296	11296	11296	33.48	2024-05-11 20:29:59.771743
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	294	201	1417	979	2.49	20682.21	138665	2024-05-11 17:57:37	34.67	False	True	True	True	3	bf1c84	0.0002009	10705	10705	10705	-22.12	2024-05-11 20:32:17.142715
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	259	132	1588	1055	1.96	20097.48	129738	2024-05-11 17:57:37	36.95	False	True	True	True	3	bf1c84	0.0001880	10010	10010	10010	-18.36	2024-05-11 20:34:33.977531
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	597	143	2020	1127	3.55	20261.79	131159	2024-05-11 17:57:37	39.21	False	True	True	True	3	bf1c84	0.0001900	10120	10120	10120	-3.83	2024-05-11 20:36:49.439975
solana	raydium	H58pDx9Qba2HQsZZwo3jHeQzq1m1XaMNZ49Y3GwESgJB	H5HuZYDNE2dV7gEeFker2tLthSywu7LGS6xbmduVqZjk	croci	croci	559	349	2107	1400	3.18	19522.27	120986	2024-05-11 17:57:37	41.51	False	True	True	True	3	bf1c84	0.0001753	9328	9328	9328	3.69	2024-05-11 20:39:07.407870
