chain_id	dex_id	pair_address	token_address	token_name	token_symbol	token_m5_buys	token_m5_sells	token_h1_buys	token_h1_sells	token_h1_to_m5_buys	token_liquidity	token_market_cap	token_created_at	token_created_since	token_eti	token_header	token_website	token_twitter	token_links	token_img_key	token_price_usd	token_price_change_h24	token_price_change_h6	token_price_change_h1	token_price_change_m5	information_extracted_at
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	183	96	552	257	3.98	25708.19	197889	2024-05-16 13:15:09	8.88	False	True	True	True	3	362249	0.0001978	5256	5256	5256	-17.21	2024-05-16 15:24:02.064088
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	118	68	601	284	2.36	27189.88	220447	2024-05-16 13:15:09	11.18	False	True	True	True	3	362249	0.0002204	5867	5867	5867	7.07	2024-05-16 15:26:19.666800
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	91	77	658	338	1.66	26529.99	209343	2024-05-16 13:15:09	13.47	False	True	True	True	3	362249	0.0002093	5566	5566	5566	9.05	2024-05-16 15:28:37.057011
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	96	93	706	381	1.63	26556.72	209195	2024-05-16 13:15:09	15.74	False	True	True	True	3	362249	0.0002091	5562	5562	5562	-8.68	2024-05-16 15:30:53.594813
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	95	64	751	401	1.52	27751.07	226705	2024-05-16 13:15:09	18.01	False	True	True	True	3	362249	0.0002267	6036	6036	6036	4.45	2024-05-16 15:33:09.832269
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	79	47	778	420	1.22	28817.55	243994	2024-05-16 13:15:09	20.32	False	True	True	True	3	362249	0.0002439	6504	6504	6504	43.86	2024-05-16 15:35:28.251377
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	72	49	825	453	1.05	28544.77	238968	2024-05-16 13:15:09	22.61	False	True	True	True	3	362249	0.0002389	6368	6368	6368	4.46	2024-05-16 15:37:45.324847
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	85	62	864	484	1.18	29625.35	256505	2024-05-16 13:15:09	24.9	False	True	True	True	3	362249	0.0002565	6843	6843	6843	5.28	2024-05-16 15:40:02.822607
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	71	59	893	507	0.95	29853.61	261060	2024-05-16 13:15:09	27.24	False	True	True	True	3	362249	0.0002610	6966	6966	6966	1.73	2024-05-16 15:42:23.501875
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	73	46	943	536	0.93	30566.65	273445	2024-05-16 13:15:09	29.56	False	True	True	True	3	362249	0.0002734	7301	7301	7301	-1.85	2024-05-16 15:44:42.895744
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	70	45	965	553	0.87	31494.02	289035	2024-05-16 13:15:09	31.85	False	True	True	True	3	362249	0.0002890	7723	7723	7723	9.19	2024-05-16 15:47:00.111991
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	54	36	995	570	0.65	30221.81	265420	2024-05-16 13:15:09	34.17	False	True	True	True	3	362249	0.0002654	7084	7084	7084	-8.78	2024-05-16 15:49:19.464885
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	55	38	1027	594	0.64	30850.53	274945	2024-05-16 13:15:09	36.46	False	True	True	True	3	362249	0.0002749	7342	7342	7342	-3.45	2024-05-16 15:51:36.579956
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	54	54	1055	625	0.61	25539.46	188576	2024-05-16 13:15:09	38.78	False	True	True	True	3	362249	0.0001885	5004	5004	5004	-35.58	2024-05-16 15:53:55.784632
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	68	68	1084	650	0.75	22854.72	150917	2024-05-16 13:15:09	41.09	False	True	True	True	3	362249	0.0001509	3985	3985	3985	-36.8	2024-05-16 15:56:14.525060
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	75	98	1125	721	0.8	17379.29	87163	2024-05-16 13:15:09	43.37	False	True	True	True	3	362249	0.00008716	2259	2259	2259	-53.27	2024-05-16 15:58:31.236610
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	34	16	1204	833	0.34	14921.12	64056	2024-05-16 13:15:09	52.55	False	True	True	True	3	362249	0.00006405	1634	1634	1634	67.57	2024-05-16 16:07:41.749330
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	73	27	1253	854	0.7	18502.05	98331	2024-05-16 13:15:09	54.82	False	True	True	True	3	362249	0.00009833	2561	2561	2561	121	2024-05-16 16:09:58.181376
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	76	36	1279	868	0.71	18592.87	99412	2024-05-16 13:15:09	57.15	False	True	True	True	3	362249	0.00009941	2591	2591	2591	66.42	2024-05-16 16:12:18.023365
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	14	25	1287	885	0.13	15520.92	69211	2024-05-16 13:15:09	59.47	False	True	True	True	3	362249	0.00006921	1773	1773	1773	-33	2024-05-16 16:14:37.348758
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	31	28	1059	818	0.35	16823.85	81165	2024-05-16 13:15:09	61.78	False	True	True	True	3	362249	0.00008116	2097	2097	-55.98	-18.86	2024-05-16 16:16:55.547832
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	27	21	945	743	0.34	16657.52	79477	2024-05-16 13:15:09	64.07	False	True	True	True	3	362249	0.00007947	2051	2051	-66.75	13.91	2024-05-16 16:19:13.324446
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	20	15	842	691	0.29	18027.72	93589	2024-05-16 13:15:09	66.34	False	True	True	True	3	362249	0.00009358	2433	2433	-54.55	14.94	2024-05-16 16:21:29.434126
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	27	11	776	656	0.42	18497.78	98486	2024-05-16 13:15:09	68.65	False	True	True	True	3	362249	0.00009848	2566	2566	-48.7	21.85	2024-05-16 16:23:48.005630
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	29	16	745	635	0.47	18697.39	101070	2024-05-16 13:15:09	70.95	False	True	True	True	3	362249	0.0001010	2636	2636	-55.88	5.8	2024-05-16 16:26:05.727026
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	27	22	701	579	0.46	20448.45	120584	2024-05-16 13:15:09	73.23	False	True	True	True	3	362249	0.0001205	3164	3164	-31.85	18.34	2024-05-16 16:28:22.676608
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	29	26	662	564	0.53	22482.63	145559	2024-05-16 13:15:09	75.52	False	True	True	True	3	362249	0.0001455	3840	3840	-30.01	37.44	2024-05-16 16:30:40.023315
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	33	26	653	562	0.61	23382.21	157904	2024-05-16 13:15:09	77.82	False	True	True	True	3	362249	0.0001579	4174	4174	-30.97	30.95	2024-05-16 16:32:58.207716
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	33	39	641	564	0.62	21620.9	134505	2024-05-16 13:15:09	80.14	False	True	True	True	3	362249	0.0001345	3541	3541	-44.79	-7.98	2024-05-16 16:35:17.158395
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	41	29	616	530	0.8	25516.61	187146	2024-05-16 13:15:09	82.41	False	True	True	True	3	362249	0.0001871	4965	4965	-33.76	18.53	2024-05-16 16:37:33.526047
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	64	34	616	530	1.25	26939.37	208424	2024-05-16 13:15:09	84.68	False	True	True	True	3	362249	0.0002084	5541	5541	-25.19	53.59	2024-05-16 16:39:50.037674
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	59	40	616	530	1.15	28889.98	240017	2024-05-16 13:15:09	86.99	False	True	True	True	3	362249	0.0002400	6396	6396	-9.33	28.8	2024-05-16 16:42:08.157900
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	59	30	598	510	1.18	26972.95	209169	2024-05-16 13:15:09	89.32	False	True	True	True	3	362249	0.0002091	5561	5561	-30.94	1.34	2024-05-16 16:44:28.298826
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	44	29	587	514	0.9	25275.32	183846	2024-05-16 13:15:09	91.63	False	True	True	True	3	362249	0.0001838	4876	4876	-35.44	14.87	2024-05-16 16:46:46.635717
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	35	36	585	522	0.72	25814.53	191220	2024-05-16 13:15:09	93.94	False	True	True	True	3	362249	0.0001912	5076	5076	-34.68	-8.58	2024-05-16 16:49:05.464067
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	19	13	511	373	0.45	24647.46	176232	2024-05-16 13:15:09	105.38	False	True	True	True	3	362249	0.0001762	4670	4670	410	10.35	2024-05-16 17:00:31.582934
solana	raydium	Wmq9qLjhgBbAMF1RPVjUgnpe9AMyDzrtJoV728ntKke	HPJERYy2pshKN3JfCrD7VhtUY7wbxHEFqhmw842NmhYL	remi	remi	28	26	436	336	0.77	24110.87	168177	2024-05-16 13:15:09	120.85	False	True	True	True	3	362249	0.0001681	4452	4452	107	-21.34	2024-05-16 17:16:00.035818
